query_index,query_basename,gt_match_col,T_true,method,T_hat,Qerror,n_post,n_comment
0,query_cycle_4_0.graph,u1,491800.0,UN,267508.4382259616,0.4560625493575405,416,0
0,query_cycle_4_0.graph,u1,491800.0,PO,484236.74386347167,0.015378723335763182,416,0
0,query_cycle_4_0.graph,u1,491800.0,MAB,457188.96378527296,0.07037624281156371,232,0
0,query_cycle_4_0.graph,u1,491800.0,FOIS_nrs,529186.1426802771,0.07601899690987621,416,0
0,query_cycle_4_0.graph,u1,491800.0,FOIS_rs,537358.9765277548,0.09263720318778934,416,0
0,query_cycle_4_0.graph,u1,491800.0,POSS,488375.5775796923,0.006963038674883495,718,0
1,query_cycle_4_1.graph,u1,491800.0,UN,658827.2718439024,0.3396243835784921,410,0
1,query_cycle_4_1.graph,u1,491800.0,PO,661375.6543102914,0.34480612913845343,410,0
1,query_cycle_4_1.graph,u1,491800.0,MAB,722157.151238508,0.4683959968249452,222,0
1,query_cycle_4_1.graph,u1,491800.0,FOIS_nrs,532106.3368279703,0.08195676459530367,410,0
1,query_cycle_4_1.graph,u1,491800.0,FOIS_rs,512025.790523589,0.0411260482382859,410,0
1,query_cycle_4_1.graph,u1,491800.0,POSS,531091.3030403196,0.07989284880097516,697,0
2,query_cycle_4_10.graph,u0,130348.0,UN,184821.95441035597,0.41791170106450404,309,0
2,query_cycle_4_10.graph,u0,130348.0,PO,102634.0246389401,0.21261527112851675,309,0
2,query_cycle_4_10.graph,u0,130348.0,MAB,423437.93550383847,2.248518853406561,196,0
2,query_cycle_4_10.graph,u0,130348.0,FOIS_nrs,136897.5239757568,0.05024644778406117,309,0
2,query_cycle_4_10.graph,u0,130348.0,FOIS_rs,139618.42887451558,0.07112060694844247,309,0
2,query_cycle_4_10.graph,u0,130348.0,POSS,124985.74130673919,0.041138020477957546,500,0
224,query_cycle_6_125.graph,u1,5454872.0,baseline_uniform,6812728.38197411,0.24892543435924994,309,0
224,query_cycle_6_125.graph,u1,5454872.0,baseline_proxy,5005400.783733398,0.08239812341455534,309,0
224,query_cycle_6_125.graph,u1,5454872.0,baseline_proxy_a,5425387.0372800315,0.005405252904187031,309,0
224,query_cycle_6_125.graph,u1,5454872.0,baseline_proxy_a_unbiased_test1,5610149.85355858,0.02846590232705376,309,0
