vertex_id,asin,parent_asin
0,,b0788k1fdd
1,,b07cgddjbs
2,,b09rwmfzmz
3,,b07d7qbg73
4,,b000i1y2pk
5,,b0024nxw6u
6,,b07svl661w
7,,b07vmrhmzh
8,,b0b76hckxd
9,,b07ky5bnt3
10,,b0bxrlhd3z
11,,b08mc31qjp
12,,b01msysaqt
13,,b06zykq9ks
14,,b0b68qflc5
15,,b0c3qg91hz
16,,b007dzpqfo
17,,b08zcbj333
18,,b09k7pbt3c
19,,b00bm9d2fs
20,,b08y351qfy
21,,b0c571w9vc
22,,b00jpe9ok4
23,,b07f1633zz
24,,b01hmcwvdm
25,,b00v27sue8
26,,b01hqosot6
27,,b0b3nj75bx
28,,b00nskx0em
29,,b07b5485hv
30,,b09rzz9mrb
31,,b091cxzvxp
32,,b0bsv549sk
33,,b07lfw6vqx
34,,b007auaviy
35,,b0bz58yvyl
36,,b09jk75h6m
37,,b086glszs1
38,,b0bjzztph3
39,,b09vgrkcvb
40,,b08d3ccljv
41,,b0bh522xmg
42,,b08c9hr8rh
43,,b0c1f7sdg7
44,,b07y1mgsb6
45,,b001xus6ac
46,,b07f8kmk9d
47,,b00m13rbbu
48,,b001n3gkkm
49,,b007o3mzou
50,,b0bzt2bzzm
51,,b01ms4d0so
52,,b00b4bju1e
53,,b07jnc6vm1
54,,b07rdm8lb6
55,,b07cfx25mx
56,,b0c32v2btm
57,,b004k1e3ik
58,,b07bhjv5rz
59,,b07d4cwmv8
60,,b09zmpcnhn
61,,b08gcylty2
62,,b08l5mchmr
63,,b09j4njlqs
64,,b01am5fnls
65,,b0b883bbqm
66,,b00cv31vts
67,,b0bg9yh6tw
68,,b07k756gwn
69,,b01i3c0cs6
70,,b0c2y3rtq1
71,,b004b9rki6
72,,b07m72ht1d
73,,b00004zb5m
74,,b0bgnjxqqz
75,,b071gpv6jn
76,,b09vtpks27
77,,b08b5jp79j
78,,b0bs22bs79
79,,b01n6m65ib
80,,b0bk33d3g1
81,,b076gqyjc6
82,,b0c3lxzg75
83,,b0bq1nxxxq
84,,b07bl32nrg
85,,b08np3p533
86,,b087m4qx7p
87,,b06wrwqfm6
88,,b07xw3f5sz
89,,b0816ff3x9
90,,b01d029ar8
91,,b0836cdtlw
92,,b08dr1bv41
93,,b0bb2zx9yr
94,,b081g4stbw
95,,b00rn4y5iy
96,,b09jsm9gpb
97,,b0bks966sh
98,,b01evnd8qe
99,,b005qb4uls
100,,b07qmb2kph
101,,b072frcqvc
102,,b01m3x1t8b
103,,b01eg4gqte
104,,b09j21wf91
105,,b07ddmcwyj
106,,b07twmx5dm
107,,b09325m6tk
108,,b0c13bv492
109,,b0127devra
110,,b00n754dq2
111,,b09wb2njtf
112,,b083b6t545
113,,b08fcbvy8g
114,,b07vbxpjxq
115,,b00mw5toj4
116,,b014fj0bzk
117,,b01bisd5jk
118,,b077tp7y39
119,,b083ym8l46
120,,b00513seh2
121,,b007kwa44i
122,,b07jvbyfvl
123,,b07rjjnt3f
124,,b00l2ehnjy
125,,b07cqzf45k
126,,b01m3w4d6z
127,,b00x6djmmk
128,,b084gv8msd
129,,b013zoq3rg
130,,b005fq2552
131,,b001i98op0
132,,b084r5yj2m
133,,b07s343xc3
134,,b07x1ts6qh
135,,b08lp9k3j9
136,,b09v6hhszt
137,,b07g7rswkx
138,,b07pwz5fwx
139,,b08wjhq818
140,,b08gws8hyv
141,,b016azdyjm
142,,b09yhf1c39
143,,b07b8qtyb2
144,,b07gxhz5n3
145,,b0000daq7i
146,,b071dr3wd6
147,,b08gq9ssfn
148,,b0000632sx
149,,b011euab30
150,,b09kl1x21c
151,,b001gbckc8
152,,b0c4dmstn7
153,,b019j00g7s
154,,b0b2f5f492
155,,b0c5z2q6vj
156,,b09dkc7bd7
157,,b07p16ff6j
158,,b07chxqb28
159,,b01jssgsri
160,,b00oe7x6wy
161,,b079tx7ws8
162,,b07z36kp8d
163,,b002e5as1a
164,,b07xplbhn3
165,,b07pvcyf3n
166,,b00wjytuva
167,,b0b19kr1wl
168,,b0002jnmeu
169,,b0bg2y3x8b
170,,b0096d83zg
171,,b07qxsdbd3
172,,b001bffi3m
173,,b0bgnj6w8n
174,,b01g41km3i
175,,b07r6ttb2m
176,,b087wgd15t
177,,b07blnyl85
178,,b0b87rbfny
179,,b07hg5ntpm
180,,b076wvb6lb
181,,b0b6gkgw5c
182,,b08j4grwff
183,,b078gvy67c
184,,b06xq8nr5s
185,,b07s1zckgy
186,,b07sjvkh11
187,,b000i66p6o
188,,b001ta3o7g
189,,b001b0s2h6
190,,b01lx42xmp
191,,b0c1c88xxx
192,,b07pmq83qh
193,,b00lht87ey
194,,b07fdl1zx4
195,,b07jxygcm5
196,,b00kd1210i
197,,b09vp521ty
198,,b005mmnbo8
199,,b077kwjdv6
200,,b0bs8s6h5b
201,,b09r4yqnvb
202,,b0b4jb8xh4
203,,b015q7voom
204,,b077sqbhv2
205,,b07b8x92bq
206,,b0bbcdmkwt
207,,b0b72bb92g
208,,b091d7vvdp
209,,b0b711m6sp
210,,b0c3grykxt
211,,b07jmzvc3c
212,,b09tzzqll9
213,,b0c39k2nrn
214,,b000ejm3zm
215,,b06y673hfm
216,,b08lqlv5zt
217,,b07tg8psl7
218,,b09tzzfcpx
219,,b07bmh6q2p
220,,b07vvcqjc8
221,,b07hpbphvh
222,,b0000cftdw
223,,b088f5ldgm
224,,b07tw5yq6j
225,,b076zh62f9
226,,b08j9y7ddb
227,,b003if1vno
228,,b08378n65q
229,,b0bnlxj55w
230,,b0065k5fao
231,,b0bjs8ptbn
232,,b08w55vvpc
233,,b005hkumw4
234,,b078ylch9w
235,,b07zyjmczy
236,,b01mt2xirz
237,,b073rphyd7
238,,b071x7lrjz
239,,b09htrjcbl
240,,b079zzch38
241,,b09mstsvkx
242,,b081w817pn
243,,b07bdjwwfc
244,,b09nvqw984
245,,b00fn3ooco
246,,b0bbpv3v83
247,,b09k2shn2v
248,,b008c7ic94
249,,b00158nqji
250,,b00cady2k4
251,,b0024frq56
252,,b00bjhgucu
253,,b0brybc7s9
254,,b008pnhtps
255,,b016cahbjo
256,,b00bl6ue76
257,,b09dzm5cr1
258,,b0bzzg8kdp
259,,b0000byduc
260,,b07ff7c3mn
261,,b01ekru3dm
262,,b07k49cngl
263,,b005o379ck
264,,b07fbbt3my
265,,b006ep59my
266,,b0bvv7sbm3
267,,b00tg50ilq
268,,b08n6f4cbd
269,,b0190tbo1u
270,,b0c7hkyb1r
271,,b0971mpdrd
272,,b0b8nr4x29
273,,b00fzuiuvg
274,,b0786ckc5j
275,,b01b2svuzm
276,,b0846qxg5z
277,,b0025dn5r0
278,,b09jcpl4x9
279,,b08ckny3nh
280,,b001uanlm8
281,,b08hlmqh9c
282,,b0c581fy3g
283,,b01e9rzteq
284,,b08r9kf7cw
285,,b01mucyn2v
286,,b08drj49nz
287,,b0b4ns6npw
288,,b077y88fz5
289,,b01n3a9222
290,,b07wxmt392
291,,b0bbb2mdv7
292,,b000tdtf18
293,,b00biskpmg
294,,b0c4j8wwkw
295,,b09jv4h8zn
296,,b01bhy1sqm
297,,b01lx27qrc
298,,b001fb4z2m
299,,b000qranhc
300,,b0097odmb4
301,,b07qks7y7q
302,,b00epl2hu6
303,,b01m8i0e4g
304,,b0000dducj
305,,b01n6qbjg0
306,,b08rbqcwtv
307,,b01egw44ok
308,,b01aw9xdpw
309,,b005woh0ha
310,,b0c6w9qdn7
311,,b07bqlfqqd
312,,b09k7477xy
313,,b07cs9j4f2
314,,b08rqvqt26
315,,b0c1twppxq
316,,b07mjc4qgj
317,,b0cdmkxx2x
318,,b0c14d6dtc
319,,b0c34cy9t7
320,,b07clz2mmf
321,,b07q5756hx
322,,b0bjyk4y56
323,,b0058obglu
324,,b0844qkm3q
325,,b01252s76e
326,,b0bwyz2p5t
327,,b07dg2mvm4
328,,b01n7m3a5a
329,,b07f9b78tg
330,,b07dd86ld3
331,,b016aq0jm6
332,,b078yh2tkx
333,,b093tq5fk6
334,,b077zs29c3
335,,b08r6c2trv
336,,b0bp2xt33g
337,,b0821symf1
338,,b0bpr74p1w
339,,b07q6w5rkb
340,,b000no12qe
341,,b00132fta0
342,,b00t0o7g8g
343,,b07nvsbpbt
344,,b07yq5p9q7
345,,b00r6pfzlg
346,,b09r6d21xc
347,,b010hutvra
348,,b0brx4thsc
349,,b07cmtdtjp
350,,b00e005qv4
351,,b0716w8cn5
352,,b08ksdjwc3
353,,b000f5v1n0
354,,b000wacw9a
355,,b071lqsxgd
356,,b0bl9486mn
357,,b09l5r8435
358,,b0085j6rza
359,,b07vjjpmmg
360,,b07nqldbjp
361,,b001k21xks
362,,b074d64lls
363,,b000zm4p7c
364,,b07qvdtfcg
365,,b0971qv8rg
366,,b09bb8d9xv
367,,b08mcmt53x
368,,b01c3h0ue8
369,,b0b15jspfq
370,,b000tv8egc
371,,b07fkyj7h4
372,,b09mdsvv4b
373,,b07l89xcc3
374,,b08f2b3cx3
375,,b07kt29xdx
376,,b0bptbr8t4
377,,b09z9pq6y9
378,,b016i98g84
379,,b00kz5pux2
380,,b0blw8gt8l
381,,b078jgl5dn
382,,b07s5hw1cf
383,,b00z6mx68a
384,,b083wp4swj
385,,b08crrh7jd
386,,b07y198578
387,,b07t94z6qx
388,,b0b282p8g3
389,,b07w68grkr
390,,b00fdn73a4
391,,b0bwhj2k5x
392,,b0b2pd6zzz
393,,b07bn5kr3y
394,,b0000dasbi
395,,b01a1b46io
396,,b0021aeaik
397,,b09mlcspxh
398,,b07dmhq4rq
399,,b00ny94p5k
400,,b082pzvfh7
401,,b09mx1lj48
402,,b07tvjrxk6
403,,b07djcjln8
404,,b00bflkvx4
405,,b0016lxgd0
406,,b07rmzj8bw
407,,b005s8urde
408,,b08d4w9h46
409,,b0c4h1fctc
410,,b0bfxppy41
411,,b0bgpxdxph
412,,b08mfs7vnp
413,,b07fljsm54
414,,b07v4g2656
415,,b00440dygy
416,,b002nxdzbi
417,,b073qtq735
418,,b0bgrg6xkh
419,,b0bb9s7fq4
420,,b07zqzqbb8
421,,b0c4y18xm8
422,,b0bmlgj588
423,,b07txrvqxc
424,,b003kzke4y
425,,b07vlk36bl
426,,b002x7aajo
427,,b0017kofki
428,,b08p2cr61j
429,,b09m9jfyhp
430,,b0bwf92z7b
431,,b007molsxk
432,,b07f8dpbn8
433,,b088pm5w7j
434,,b095wcjw8t
435,,b00lw8i45c
436,,b093gpgq2d
437,,b07dnhnpqg
438,,b004f0p5d8
439,,b09ymtnfy8
440,,b07mwws9tv
441,,b00x3tsc14
442,,b084z1427d
443,,b077zx134t
444,,b08zr3fx14
445,,b09bz2mfn2
446,,b0c23nctz4
447,,b08bzdlf5d
448,,b00d9og3xm
449,,b09pf6jl6y
450,,b09pztbpvt
451,,b07h3mx3cw
452,,b01n5776h5
453,,b0b7r514dk
454,,b0byzdwrn7
455,,b07bftzk5g
456,,b01m9bgf51
457,,b07chxlhd6
458,,b0bv29dh44
459,,b01m9e8l73
460,,b07py792vf
461,,b079vq1nwd
462,,b0bk36nf3g
463,,b07d8fh9xk
464,,b078mhr5nd
465,,b08c7kbpvc
466,,b09rldpwjj
467,,b0054svzio
468,,b00lksns78
469,,b09c31zkjt
470,,b07771scc6
471,,b00wrhtnjs
472,,b0bw56lv8p
473,,b0brl6p18l
474,,b08n9mrphf
475,,b07s57r66b
476,,b09x4tbgkg
477,,b0brzrblkp
478,,b09fz2vlyp
479,,b004vcje1y
480,,b01d0lqm0c
481,,b0788c3nxh
482,,b078b9qnbc
483,,b07p5w1l2r
484,,b095nmq537
485,,b07ncb7gwv
486,,b001bqylzm
487,,b0bn1ql5ly
488,,b07xkqzwhf
489,,b0149mc034
490,,b07mdkqmry
491,,b07jglkl3n
492,,b07znqh3sv
493,,b07zkmlmvp
494,,b00g2dnhr2
495,,b00jlte4yo
496,,b081k6t7rq
497,,b07wg7c5ts
498,,b07vnhb34p
499,,b0bznj299y
500,,b0bhsk55g1
501,,b09gsg1j4v
502,,b0byyttrgs
503,,b0c5s69ck8
504,,b07p1bwxvt
505,,b09x7kvf17
506,,b08yrfnjv7
507,,b07y4xgm3w
508,,b0bb6xt289
509,,b072fqz5rb
510,,b00t8vqtma
511,,b09qsy3j6m
512,,b0bkxyr33p
513,,b0bzht7d75
514,,b008bskecw
515,,b0b524n3w2
516,,b0c4y743gk
517,,b00o2y4im6
518,,b07sb4tvbk
519,,b09jg43rdl
520,,b08lmlw3dp
521,,b0c4lxnmkc
522,,b07d7zyp65
523,,b08dn7b8n6
524,,b001qxdecq
525,,b098ksy1z5
526,,b0019tr8m4
527,,b008dge1k8
528,,b081w1th8t
529,,b07r81sx7b
530,,b000yhg4wc
531,,b09g83ddy6
532,,b00mi9bs7a
533,,b0c542by7y
534,,b00zl7oye0
535,,b000mzydf6
536,,b07tlfnctj
537,,b09hng8ch2
538,,b014vijtki
539,,b00lh505f2
540,,b019h22wum
541,,b08gcgkx66
542,,b0c3lq8h7v
543,,b00yyfmtds
544,,b0829f5qqs
545,,b06y3ylq9s
