query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_product,n_review,oracle_cost,method
query_3_120.graph,1,0.01,85,22.59998838559814,13.944141414141416,0.38300227521234786,85,1,86,Exact_structureO
query_3_120.graph,2,0.01,85,22.59998838559814,21.159000000000006,0.06376058080261698,81,11,92,Exact_structureO
query_3_120.graph,3,0.01,85,22.59998838559814,29.99191609977324,0.327076615618334,84,12,96,Exact_structureO
query_3_120.graph,4,0.01,85,22.59998838559814,26.091006647673314,0.15446991398897472,79,17,96,Exact_structureO
query_3_120.graph,5,0.01,85,22.59998838559814,20.19948863636364,0.10621685764954739,84,11,95,Exact_structureO
query_3_120.graph,1,0.05,428,22.59998838559814,21.600678654292334,0.04421726747181065,325,44,369,Exact_structureO
query_3_120.graph,2,0.05,428,22.59998838559814,20.097469435454876,0.11073098390342526,336,65,401,Exact_structureO
query_3_120.graph,3,0.05,428,22.59998838559814,24.60642125480153,0.08878026107668213,327,59,386,Exact_structureO
query_3_120.graph,4,0.05,428,22.59998838559814,21.97466962305987,0.0276689860131413,325,52,377,Exact_structureO
query_3_120.graph,5,0.05,428,22.59998838559814,24.371974373907975,0.07840649995373591,312,51,363,Exact_structureO
query_3_120.graph,1,0.075,642,22.59998838559814,21.101030003834346,0.06632562619895008,436,70,506,Exact_structureO
query_3_120.graph,2,0.075,642,22.59998838559814,19.634270613107834,0.13122651754901846,429,91,520,Exact_structureO
query_3_120.graph,3,0.075,642,22.59998838559814,23.975145569620242,0.06084769428016256,426,79,505,Exact_structureO
query_3_120.graph,4,0.075,642,22.59998838559814,21.30733448447145,0.05719710466534734,438,78,516,Exact_structureO
query_3_120.graph,5,0.075,642,22.59998838559814,20.671457720863025,0.08533325910751682,441,78,519,Exact_structureO
query_3_120.graph,1,0.1,856,22.59998838559814,20.724711571089237,0.08297689284229569,521,99,620,Exact_structureO
query_3_120.graph,2,0.1,856,22.59998838559814,20.860064511677653,0.0769878215968136,520,116,636,Exact_structureO
query_3_120.graph,3,0.1,856,22.59998838559814,23.32845877289666,0.03223321954283554,518,108,626,Exact_structureO
query_3_120.graph,4,0.1,856,22.59998838559814,20.59080524049569,0.08890195476307432,512,112,624,Exact_structureO
query_3_120.graph,5,0.1,856,22.59998838559814,23.48916167967073,0.03934397128448147,536,108,644,Exact_structureO
query_3_120.graph,1,0.125,1071,22.59998838559814,22.492309095053564,0.0047645728266478456,599,123,722,Exact_structureO
query_3_120.graph,2,0.125,1071,22.59998838559814,22.211110257481277,0.017207005662209878,581,137,718,Exact_structureO
query_3_120.graph,3,0.125,1071,22.59998838559814,24.341930062764195,0.07707710497214712,588,131,719,Exact_structureO
query_3_120.graph,4,0.125,1071,22.59998838559814,20.62889769630915,0.08721644700247153,581,133,714,Exact_structureO
query_3_120.graph,5,0.125,1071,22.59998838559814,20.43832292221523,0.0956489634640889,588,133,721,Exact_structureO
query_3_120.graph,1,0.15,1285,22.59998838559814,23.21512506300951,0.027218451041477697,657,147,804,Exact_structureO
query_3_120.graph,2,0.15,1285,22.59998838559814,23.76998659808037,0.0517698590158484,649,171,820,Exact_structureO
query_3_120.graph,3,0.15,1285,22.59998838559814,26.195812545854743,0.15910734549527658,645,163,808,Exact_structureO
query_3_120.graph,4,0.15,1285,22.59998838559814,21.904433731152384,0.030776770438032626,653,171,824,Exact_structureO
query_3_120.graph,5,0.15,1285,22.59998838559814,19.83973361660403,0.12213522953636059,654,171,825,Exact_structureO
query_3_120.graph,1,0.2,1713,22.59998838559814,21.694629581760843,0.040060144650969784,733,201,934,Exact_structureO
query_3_120.graph,2,0.2,1713,22.59998838559814,23.722814664954612,0.049682604265053165,732,221,953,Exact_structureO
query_3_120.graph,3,0.2,1713,22.59998838559814,25.42786463402997,0.12512733193411257,742,229,971,Exact_structureO
query_3_120.graph,4,0.2,1713,22.59998838559814,21.724646596012054,0.0387319574971065,732,238,970,Exact_structureO
query_3_120.graph,5,0.2,1713,22.59998838559814,20.001192607209568,0.11499102274073107,740,239,979,Exact_structureO
query_3_120.graph,1,0.3,2570,22.59998838559814,22.463702129186473,0.006030368427026159,861,363,1224,Exact_structureO
query_3_120.graph,2,0.3,2570,22.59998838559814,22.827813316127425,0.010080754319080336,858,371,1229,Exact_structureO
query_3_120.graph,3,0.3,2570,22.59998838559814,23.330510666836204,0.032324011356730985,863,375,1238,Exact_structureO
query_3_120.graph,4,0.3,2570,22.59998838559814,21.754259929612864,0.03742163232810413,854,392,1246,Exact_structureO
query_3_120.graph,5,0.3,2570,22.59998838559814,20.741624693271344,0.08222852421955407,859,373,1232,Exact_structureO
query_3_120.graph,1,0.4,3427,22.59998838559814,23.08544276212318,0.02148029318609711,932,522,1454,Exact_structureO
query_3_120.graph,2,0.4,3427,22.59998838559814,22.553783820433996,0.0020444508366911354,929,534,1463,Exact_structureO
query_3_120.graph,3,0.4,3427,22.59998838559814,22.90621425595743,0.013549824235946547,916,525,1441,Exact_structureO
query_3_120.graph,4,0.4,3427,22.59998838559814,22.938328762558747,0.014970820833528088,919,517,1436,Exact_structureO
query_3_120.graph,5,0.4,3427,22.59998838559814,20.65093012705878,0.08624156018511063,931,517,1448,Exact_structureO
query_3_120.graph,1,0.5,4284,22.59998838559814,22.784884778532334,0.00818126052896635,950,640,1590,Exact_structureO
query_3_120.graph,2,0.5,4284,22.59998838559814,22.591079904210474,0.00039418079494874246,949,651,1600,Exact_structureO
query_3_120.graph,3,0.5,4284,22.59998838559814,23.137122896679198,0.023767025978798553,947,658,1605,Exact_structureO
query_3_120.graph,4,0.5,4284,22.59998838559814,23.12797486645697,0.02336224567244859,949,675,1624,Exact_structureO
query_3_120.graph,5,0.5,4284,22.59998838559814,22.84779342781036,0.010964830511600231,956,664,1620,Exact_structureO
query_3_120.graph,1,0.6,5140,22.59998838559814,23.402823593492368,0.035523700021272295,965,725,1690,Exact_structureO
query_3_120.graph,2,0.6,5140,22.59998838559814,22.781645190594574,0.008037915856283951,961,745,1706,Exact_structureO
query_3_120.graph,3,0.6,5140,22.59998838559814,22.76646613598365,0.007366275926566189,963,723,1686,Exact_structureO
query_3_120.graph,4,0.6,5140,22.59998838559814,22.70500229415934,0.004646635510136704,958,741,1699,Exact_structureO
