query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_product,n_review,oracle_cost,method
query_5_12.graph,1,0.01,4,1202.53,0.0,1.0,5,0,5,Exact_structureO
query_5_12.graph,2,0.01,4,1202.53,0.0,1.0,4,0,4,Exact_structureO
query_5_12.graph,3,0.01,4,1202.53,0.0,1.0,4,0,4,Exact_structureO
query_5_12.graph,4,0.01,4,1202.53,0.0,1.0,5,0,5,Exact_structureO
query_5_12.graph,5,0.01,4,1202.53,0.0,1.0,4,1,5,Exact_structureO
query_5_12.graph,1,0.05,23,1202.53,3683.5673076923076,2.063181216013162,23,6,29,Exact_structureO
query_5_12.graph,2,0.05,23,1202.53,1376.3616,0.1445548967593324,24,2,26,Exact_structureO
query_5_12.graph,3,0.05,23,1202.53,136.52692307692308,0.8864669296591993,24,1,25,Exact_structureO
query_5_12.graph,4,0.05,23,1202.53,1219.5223076923078,0.014130464680555,24,4,28,Exact_structureO
query_5_12.graph,5,0.05,23,1202.53,2288.9572,0.9034512236700954,24,5,29,Exact_structureO
query_5_12.graph,1,0.075,34,1202.53,2660.3541666666665,1.2122975448983948,33,6,39,Exact_structureO
query_5_12.graph,2,0.075,34,1202.53,860.226,0.28465318952541724,35,2,37,Exact_structureO
query_5_12.graph,3,0.075,34,1202.53,540.6871428571429,0.5503753396113669,32,3,35,Exact_structureO
query_5_12.graph,4,0.075,34,1202.53,849.2278571428571,0.2937990261009229,36,5,41,Exact_structureO
query_5_12.graph,5,0.075,34,1202.53,1683.0567647058824,0.3995964879927174,33,6,39,Exact_structureO
query_5_12.graph,1,0.1,46,1202.53,2124.862075471698,0.766992986014235,46,7,53,Exact_structureO
query_5_12.graph,2,0.1,46,1202.53,1270.9415384615386,0.05688967299072673,47,5,52,Exact_structureO
query_5_12.graph,3,0.1,46,1202.53,1871.66,0.5564351824902498,44,6,50,Exact_structureO
query_5_12.graph,4,0.1,46,1202.53,963.0550943396227,0.19914256248108347,45,6,51,Exact_structureO
query_5_12.graph,5,0.1,46,1202.53,1167.835306122449,0.0288514164948491,47,6,53,Exact_structureO
query_5_12.graph,1,0.125,57,1202.53,1846.1916393442623,0.5352562009631879,52,7,59,Exact_structureO
query_5_12.graph,2,0.125,57,1202.53,1265.1376666666667,0.05206328878836019,55,6,61,Exact_structureO
query_5_12.graph,3,0.125,57,1202.53,1396.7611940298507,0.16151879290317142,58,8,66,Exact_structureO
query_5_12.graph,4,0.125,57,1202.53,917.5933823529411,0.23694761681376666,57,7,64,Exact_structureO
query_5_12.graph,5,0.125,57,1202.53,885.908552631579,0.26329609021681033,59,8,67,Exact_structureO
query_5_12.graph,1,0.15,69,1202.53,1521.749756097561,0.26545679201147665,66,8,74,Exact_structureO
query_5_12.graph,2,0.15,69,1202.53,1079.3006756756758,0.1024750520355618,66,7,73,Exact_structureO
query_5_12.graph,3,0.15,69,1202.53,1737.2753424657535,0.4446835775122064,63,11,74,Exact_structureO
query_5_12.graph,4,0.15,69,1202.53,896.1839999999999,0.2547512328174766,66,9,75,Exact_structureO
query_5_12.graph,5,0.15,69,1202.53,935.2334117647058,0.22227851965048204,66,9,75,Exact_structureO
query_5_12.graph,1,0.2,92,1202.53,1401.7387962962964,0.16565806782059195,83,10,93,Exact_structureO
query_5_12.graph,2,0.2,92,1202.53,1090.9742307692309,0.09276755609487422,84,11,95,Exact_structureO
query_5_12.graph,3,0.2,92,1202.53,1666.761165048544,0.3860453918393254,82,12,94,Exact_structureO
query_5_12.graph,4,0.2,92,1202.53,1246.9226785714288,0.03691606743401733,88,11,99,Exact_structureO
query_5_12.graph,5,0.2,92,1202.53,800.3735514018691,0.3344252938372688,82,11,93,Exact_structureO
query_5_12.graph,1,0.3,138,1202.53,1841.8870833333337,0.5316766179083547,117,20,137,Exact_structureO
query_5_12.graph,2,0.3,138,1202.53,1232.645472972973,0.025043427584320613,116,18,134,Exact_structureO
query_5_12.graph,3,0.3,138,1202.53,1447.792987804878,0.2039558163246473,117,18,135,Exact_structureO
query_5_12.graph,4,0.3,138,1202.53,1182.6824528301888,0.0165048249688666,118,16,134,Exact_structureO
query_5_12.graph,5,0.3,138,1202.53,989.3688636363637,0.1772605559642057,119,16,135,Exact_structureO
query_5_12.graph,1,0.4,184,1202.53,1603.6918930041152,0.3335982412115417,154,26,180,Exact_structureO
query_5_12.graph,2,0.4,184,1202.53,1069.6440358744396,0.11050532138537945,155,22,177,Exact_structureO
query_5_12.graph,3,0.4,184,1202.53,1067.8626859504136,0.11198665650718599,155,21,176,Exact_structureO
query_5_12.graph,4,0.4,184,1202.53,995.2092477876108,0.17240380881340936,154,19,173,Exact_structureO
query_5_12.graph,5,0.4,184,1202.53,1208.4359109311742,0.004911237916038915,156,21,177,Exact_structureO
query_5_12.graph,1,0.5,230,1202.53,1452.4770608108108,0.2078509981545665,180,31,211,Exact_structureO
query_5_12.graph,2,0.5,230,1202.53,1509.74582278481,0.2554745601230821,185,30,215,Exact_structureO
query_5_12.graph,3,0.5,230,1202.53,1096.2934615384615,0.08834418971796,179,23,202,Exact_structureO
query_5_12.graph,4,0.5,230,1202.53,1070.9349504950496,0.1094318224950316,186,26,212,Exact_structureO
query_5_12.graph,5,0.5,230,1202.53,1168.3432278481016,0.028429038902895037,184,26,210,Exact_structureO
query_5_12.graph,1,0.6,276,1202.53,1485.445785340314,0.23526713291170612,209,35,244,Exact_structureO
query_5_12.graph,2,0.6,276,1202.53,1564.9368137254899,0.30137028907843455,212,34,246,Exact_structureO
query_5_12.graph,3,0.6,276,1202.53,1194.1984924623116,0.006928315749036088,210,29,239,Exact_structureO
query_5_12.graph,4,0.6,276,1202.53,888.0267980295566,0.2615345995280312,212,31,243,Exact_structureO
query_5_12.graph,5,0.6,276,1202.53,1100.6831134564645,0.08469384260146146,209,29,238,Exact_structureO
query_5_12.graph,1,0.7,322,1202.53,1360.9534086242297,0.1317417516604407,237,40,277,Exact_structureO
query_5_12.graph,2,0.7,322,1202.53,1636.1819011406837,0.36061628494980064,238,42,280,Exact_structureO
query_5_12.graph,3,0.7,322,1202.53,1133.1810505836577,0.05766920527250239,238,36,274,Exact_structureO
query_5_12.graph,4,0.7,322,1202.53,893.0240858208955,0.2573789545201404,241,35,276,Exact_structureO
query_5_12.graph,5,0.7,322,1202.53,1071.4970528455285,0.10896438937446172,239,39,278,Exact_structureO
query_5_12.graph,1,0.8,368,1202.53,1340.4496999999994,0.11469127589332447,265,44,309,Exact_structureO
query_5_12.graph,2,0.8,368,1202.53,1658.6088167388166,0.37926606133636304,262,47,309,Exact_structureO
query_5_12.graph,3,0.8,368,1202.53,1211.1631769437,0.007179178019425659,264,44,308,Exact_structureO
query_5_12.graph,4,0.8,368,1202.53,1081.4716245006655,0.10066973422645131,266,44,310,Exact_structureO
query_5_12.graph,5,0.8,368,1202.53,1095.4919376026273,0.08901072106090713,262,44,306,Exact_structureO
query_5_12.graph,1,0.9,414,1202.53,1345.3641182078168,0.11877800820587994,291,50,341,Exact_structureO
query_5_12.graph,2,0.9,414,1202.53,1535.7200000000003,0.2770741686278099,289,52,341,Exact_structureO
query_5_12.graph,3,0.9,414,1202.53,1176.7642791127548,0.021426260373749638,290,48,338,Exact_structureO
query_5_12.graph,4,0.9,414,1202.53,1153.2630029732409,0.04096945359097827,289,48,337,Exact_structureO
query_5_12.graph,5,0.9,414,1202.53,1110.0969321851453,0.07686549841987698,287,53,340,Exact_structureO
query_5_2.graph,1,0.01,4,792.7200000000001,0.0,1.0,5,0,5,Exact_structureO
query_5_2.graph,2,0.01,4,792.7200000000001,0.0,1.0,4,0,4,Exact_structureO
query_5_2.graph,3,0.01,4,792.7200000000001,7672.410000000001,8.678587647593096,4,2,6,Exact_structureO
query_5_2.graph,4,0.01,4,792.7200000000001,0.0,1.0,4,0,4,Exact_structureO
query_5_2.graph,5,0.01,4,792.7200000000001,0.0,1.0,4,0,4,Exact_structureO
query_5_2.graph,1,0.05,23,792.7200000000001,0.0,1.0,23,2,25,Exact_structureO
query_5_2.graph,2,0.05,23,792.7200000000001,309.08875,0.6100908895953174,23,1,24,Exact_structureO
query_5_2.graph,3,0.05,23,792.7200000000001,1949.4800000000002,1.4592289837521446,22,5,27,Exact_structureO
query_5_2.graph,4,0.05,23,792.7200000000001,648.2184000000001,0.18228580078716322,25,4,29,Exact_structureO
query_5_2.graph,5,0.05,23,792.7200000000001,243.01173913043476,0.6934456817912571,22,1,23,Exact_structureO
query_5_2.graph,1,0.075,35,792.7200000000001,643.15725,0.18867033757190452,37,5,42,Exact_structureO
query_5_2.graph,2,0.075,35,792.7200000000001,408.6284615384615,0.4845235877252227,37,3,40,Exact_structureO
query_5_2.graph,3,0.075,35,792.7200000000001,1318.5885000000003,0.6633723130487437,33,6,39,Exact_structureO
query_5_2.graph,4,0.075,35,792.7200000000001,548.7278571428571,0.3077910773755462,39,4,43,Exact_structureO
query_5_2.graph,5,0.075,35,792.7200000000001,888.1462500000001,0.12037825461701479,34,4,38,Exact_structureO
query_5_2.graph,1,0.1,46,792.7200000000001,625.711914893617,0.21067726953575433,43,6,49,Exact_structureO
query_5_2.graph,2,0.1,46,792.7200000000001,837.2877551020409,0.05622130777833382,46,4,50,Exact_structureO
query_5_2.graph,3,0.1,46,792.7200000000001,909.371379310345,0.1471533193439611,48,7,55,Exact_structureO
query_5_2.graph,4,0.1,46,792.7200000000001,743.3840425531915,0.06223629711223206,44,6,50,Exact_structureO
query_5_2.graph,5,0.1,46,792.7200000000001,786.8684482758621,0.007381612327351475,48,6,54,Exact_structureO
query_5_2.graph,1,0.125,58,792.7200000000001,690.5153225806451,0.12892910159874227,53,7,60,Exact_structureO
query_5_2.graph,2,0.125,58,792.7200000000001,792.669,6.433545261903099e-05,55,7,62,Exact_structureO
query_5_2.graph,3,0.125,58,792.7200000000001,1070.3430434782608,0.3502157678351254,57,9,66,Exact_structureO
query_5_2.graph,4,0.125,58,792.7200000000001,813.3962903225806,0.02608271561532506,56,9,65,Exact_structureO
query_5_2.graph,5,0.125,58,792.7200000000001,772.3323529411765,0.025718598065929493,56,7,63,Exact_structureO
query_5_2.graph,1,0.15,70,792.7200000000001,615.564705882353,0.22347776531139257,68,9,77,Exact_structureO
query_5_2.graph,2,0.15,70,792.7200000000001,1094.795769230769,0.3810623791890818,67,10,77,Exact_structureO
query_5_2.graph,3,0.15,70,792.7200000000001,923.170875,0.16456109975779576,64,9,73,Exact_structureO
query_5_2.graph,4,0.15,70,792.7200000000001,741.9288157894738,0.06407203578883634,65,10,75,Exact_structureO
query_5_2.graph,5,0.15,70,792.7200000000001,995.0244444444444,0.2552029019634224,67,8,75,Exact_structureO
query_5_2.graph,1,0.2,93,792.7200000000001,657.896347826087,0.17007726835946252,88,13,101,Exact_structureO
query_5_2.graph,2,0.2,93,792.7200000000001,1162.073571428571,0.4659319449850778,82,15,97,Exact_structureO
query_5_2.graph,3,0.2,93,792.7200000000001,816.8162857142858,0.030396969565906762,86,10,96,Exact_structureO
query_5_2.graph,4,0.2,93,792.7200000000001,755.6744554455447,0.046732193655332814,85,12,97,Exact_structureO
query_5_2.graph,5,0.2,93,792.7200000000001,799.9294067796609,0.009094518593779332,86,12,98,Exact_structureO
query_5_2.graph,1,0.3,140,792.7200000000001,870.8223417721518,0.09852450016670664,116,19,135,Exact_structureO
query_5_2.graph,2,0.3,140,792.7200000000001,1017.2128481012659,0.28319311749579384,121,19,140,Exact_structureO
query_5_2.graph,3,0.3,140,792.7200000000001,709.2130000000002,0.10534236552628914,117,16,133,Exact_structureO
query_5_2.graph,4,0.3,140,792.7200000000001,585.3985975609756,0.2615316914408927,121,17,138,Exact_structureO
query_5_2.graph,5,0.3,140,792.7200000000001,661.886094674556,0.16504428464709367,120,17,137,Exact_structureO
query_5_2.graph,1,0.4,186,792.7200000000001,803.2861016949153,0.013328920293313045,157,20,177,Exact_structureO
query_5_2.graph,2,0.4,186,792.7200000000001,1014.9466666666667,0.28033437615635604,153,20,173,Exact_structureO
query_5_2.graph,3,0.4,186,792.7200000000001,587.9943317972352,0.2582572260101485,159,21,180,Exact_structureO
query_5_2.graph,4,0.4,186,792.7200000000001,486.35731914893626,0.38647023015827003,156,22,178,Exact_structureO
