query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_product,n_review,oracle_cost,method
query_5_12.graph,1,0.01,4,189.2,0.0,1.0,4,0,4,Exact_structureO
query_5_12.graph,2,0.01,4,189.2,0.0,1.0,4,0,4,Exact_structureO
query_5_12.graph,3,0.01,4,189.2,0.0,1.0,4,0,4,Exact_structureO
query_5_12.graph,4,0.01,4,189.2,0.0,1.0,5,0,5,Exact_structureO
query_5_12.graph,5,0.01,4,189.2,0.0,1.0,4,1,5,Exact_structureO
query_5_12.graph,1,0.05,23,189.2,391.85,1.0710887949260044,23,6,29,Exact_structureO
query_5_12.graph,2,0.05,23,189.2,172.875,0.08628435517970397,23,2,25,Exact_structureO
query_5_12.graph,3,0.05,23,189.2,0.0,1.0,23,0,23,Exact_structureO
query_5_12.graph,4,0.05,23,189.2,270.5869565217391,0.4301636179795938,21,4,25,Exact_structureO
query_5_12.graph,5,0.05,23,189.2,366.70454545454544,0.9381847011339612,22,5,27,Exact_structureO
query_5_12.graph,1,0.075,34,189.2,268.1078947368421,0.41706075442305574,35,6,41,Exact_structureO
query_5_12.graph,2,0.075,34,189.2,109.1842105263158,0.4229164348503393,34,2,36,Exact_structureO
query_5_12.graph,3,0.075,34,189.2,104.02051282051282,0.4502087060226595,34,3,37,Exact_structureO
query_5_12.graph,4,0.075,34,189.2,224.27027027027026,0.18536083652362723,32,5,37,Exact_structureO
query_5_12.graph,5,0.075,34,189.2,237.27941176470588,0.25411951249844555,33,6,39,Exact_structureO
query_5_12.graph,1,0.1,46,189.2,247.09600000000003,0.30600422832980995,44,7,51,Exact_structureO
query_5_12.graph,2,0.1,46,189.2,125.12857142857143,0.3386439142253095,44,4,48,Exact_structureO
query_5_12.graph,3,0.1,46,189.2,188.7490566037736,0.0023834217559534497,46,7,53,Exact_structureO
query_5_12.graph,4,0.1,46,189.2,214.32456140350877,0.13279366492340794,48,7,55,Exact_structureO
query_5_12.graph,5,0.1,46,189.2,171.64893617021278,0.09276460797984784,45,6,51,Exact_structureO
query_5_12.graph,1,0.125,57,189.2,193.04375000000002,0.020315803382663998,54,7,61,Exact_structureO
query_5_12.graph,2,0.125,57,189.2,169.80166666666668,0.10252818886539806,55,6,61,Exact_structureO
query_5_12.graph,3,0.125,57,189.2,156.3078125,0.17384877114164893,55,8,63,Exact_structureO
query_5_12.graph,4,0.125,57,189.2,182.33582089552237,0.036280016408444055,56,7,63,Exact_structureO
query_5_12.graph,5,0.125,57,189.2,137.05405405405406,0.27561282212444993,57,7,64,Exact_structureO
query_5_12.graph,1,0.15,69,189.2,175.29382716049383,0.07349985644559279,65,8,73,Exact_structureO
query_5_12.graph,2,0.15,69,189.2,161.35,0.14719873150105706,68,7,75,Exact_structureO
query_5_12.graph,3,0.15,69,189.2,171.41408450704228,0.09400589584015705,61,10,71,Exact_structureO
query_5_12.graph,4,0.15,69,189.2,178.6375,0.055827167019027485,66,9,75,Exact_structureO
query_5_12.graph,5,0.15,69,189.2,176.90875,0.0649643234672304,62,9,71,Exact_structureO
query_5_12.graph,1,0.2,92,189.2,181.54424778761063,0.040463806619394076,87,12,99,Exact_structureO
query_5_12.graph,2,0.2,92,189.2,192.58598130841122,0.01789630712690926,87,11,98,Exact_structureO
query_5_12.graph,3,0.2,92,189.2,191.6564814814815,0.012983517343982653,84,12,96,Exact_structureO
query_5_12.graph,4,0.2,92,189.2,210.1990825688073,0.11098880850320997,86,11,97,Exact_structureO
query_5_12.graph,5,0.2,92,189.2,145.70892857142857,0.22986824222289334,85,11,96,Exact_structureO
query_5_12.graph,1,0.3,138,189.2,216.773595505618,0.1457378197971354,122,21,143,Exact_structureO
query_5_12.graph,2,0.3,138,189.2,190.12670807453418,0.0048980342205824,119,18,137,Exact_structureO
query_5_12.graph,3,0.3,138,189.2,205.6769230769231,0.08708733127337791,121,18,139,Exact_structureO
query_5_12.graph,4,0.3,138,189.2,199.42134831460675,0.0540240397177947,124,16,140,Exact_structureO
query_5_12.graph,5,0.3,138,189.2,164.35652173913044,0.13130802463461705,123,17,140,Exact_structureO
query_5_12.graph,1,0.4,184,189.2,208.18174603174603,0.10032635323333003,158,26,184,Exact_structureO
query_5_12.graph,2,0.4,184,189.2,189.50042553191489,0.0015878727902478686,157,23,180,Exact_structureO
query_5_12.graph,3,0.4,184,189.2,176.7801652892562,0.06564394667412157,155,21,176,Exact_structureO
query_5_12.graph,4,0.4,184,189.2,170.2918103448276,0.0999375774586278,158,19,177,Exact_structureO
query_5_12.graph,5,0.4,184,189.2,178.0079831932773,0.05915442286851309,150,20,170,Exact_structureO
query_5_12.graph,1,0.5,230,189.2,226.36282051282055,0.196420827234781,185,32,217,Exact_structureO
query_5_12.graph,2,0.5,230,189.2,220.68516129032255,0.16641205755984445,181,30,211,Exact_structureO
query_5_12.graph,3,0.5,230,189.2,160.71945288753798,0.1505314329411311,187,24,211,Exact_structureO
