query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_3_0.graph,1,0.01,135,9040.0,352.207792207792,0.9610389610389611,135,0,135,FastestO
query_3_0.graph,1,0.05,543,9040.0,670.623145400593,0.9258160237388724,543,0,543,FastestO
query_3_0.graph,1,0.075,742,9040.0,667.510548523207,0.9261603375527426,742,0,742,FastestO
query_3_0.graph,1,0.1,918,9040.0,789.324546952224,0.9126853377265238,918,0,918,FastestO
query_3_0.graph,1,0.15,1238,9040.0,816.995305164319,0.90962441314554,1238,0,1238,FastestO
query_3_0.graph,1,0.2,1482,9040.0,716.212560386473,0.9207729468599034,1482,0,1482,FastestO
query_3_0.graph,1,0.3,1720,9040.0,743.79746835443,0.9177215189873418,1720,0,1720,FastestO
query_3_0.graph,1,0.4,1907,9040.0,676.293754289636,0.9251887439945092,1907,0,1907,FastestO
query_3_0.graph,1,0.5,2000,9040.0,751.853307138179,0.91683038637852,2000,0,2000,FastestO
query_3_0.graph,1,0.6,2111,9040.0,697.480409885473,0.9228450874020494,2111,0,2111,FastestO
query_3_0.graph,1,0.7,2204,9040.0,656.976744186047,0.9273255813953489,2204,0,2204,FastestO
query_3_0.graph,1,0.8,2301,9040.0,680.430107526882,0.924731182795699,2301,0,2301,FastestO
query_3_0.graph,1,0.9,500,9040.0,557.662337662338,0.9383116883116883,500,0,500,FastestO
query_3_0.graph,2,0.01,135,9040.0,610.810810810811,0.9324324324324326,135,0,135,FastestO
query_3_0.graph,2,0.05,543,9040.0,814.16149068323,0.9099378881987579,543,0,543,FastestO
query_3_0.graph,2,0.075,742,9040.0,708.64406779661,0.9216101694915255,742,0,742,FastestO
query_3_0.graph,2,0.1,918,9040.0,524.903225806452,0.9419354838709678,918,0,918,FastestO
query_3_0.graph,2,0.15,1238,9040.0,670.023529411765,0.9258823529411765,1238,0,1238,FastestO
query_3_0.graph,2,0.2,1482,9040.0,771.184834123223,0.914691943127962,1482,0,1482,FastestO
query_3_0.graph,2,0.3,1720,9040.0,737.2288202692,0.9184481393507522,1720,0,1720,FastestO
query_3_0.graph,2,0.4,1907,9040.0,733.806275579809,0.9188267394270122,1907,0,1907,FastestO
query_3_0.graph,2,0.5,2000,9040.0,804.730344379467,0.9109811565951917,2000,0,2000,FastestO
query_3_0.graph,2,0.6,2111,9040.0,725.600482800241,0.91973445986723,2111,0,2111,FastestO
query_3_0.graph,2,0.7,2204,9040.0,740.813753581662,0.9180515759312321,2204,0,2204,FastestO
query_3_0.graph,2,0.8,2301,9040.0,796.497297297297,0.9118918918918919,2301,0,2301,FastestO
query_3_0.graph,2,0.9,500,9040.0,604.682274247492,0.9331103678929765,500,0,500,FastestO
query_3_0.graph,3,0.01,135,9040.0,1308.42105263158,0.8552631578947368,135,0,135,FastestO
query_3_0.graph,3,0.05,543,9040.0,936.094674556213,0.8964497041420119,543,0,543,FastestO
query_3_0.graph,3,0.075,742,9040.0,603.965517241379,0.9331896551724139,742,0,742,FastestO
query_3_0.graph,3,0.1,918,9040.0,978.950930626057,0.8917089678510999,918,0,918,FastestO
query_3_0.graph,3,0.15,1238,9040.0,673.527357392317,0.9254947613504074,1238,0,1238,FastestO
query_3_0.graph,3,0.2,1482,9040.0,803.935666982025,0.9110690633869442,1482,0,1482,FastestO
query_3_0.graph,3,0.3,1720,9040.0,760.440251572327,0.9158805031446541,1720,0,1720,FastestO
query_3_0.graph,3,0.4,1907,9040.0,708.288659793814,0.9216494845360825,1907,0,1907,FastestO
