query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_3_120.graph,1,0.01,125,173580115.0,12656.7466666667,0.999927084120974,125,0,125,FastestO
query_3_120.graph,1,0.05,526,173580115.0,22229.7836307692,0.9998719335816159,526,0,526,FastestO
query_3_120.graph,1,0.075,725,173580115.0,23896.5903820225,0.9998623310603175,725,0,725,FastestO
query_3_120.graph,1,0.1,930,173580115.0,21182.72,0.999877965745097,930,0,930,FastestO
query_3_120.graph,1,0.15,1222,173580115.0,20079.2276380729,0.9998843229961101,1222,0,1222,FastestO
query_3_120.graph,1,0.2,1457,173580115.0,15808.7301930502,0.9999089254538571,1457,0,1457,FastestO
query_3_120.graph,1,0.3,1793,173580115.0,22464.9365853659,0.9998705788587283,1793,0,1793,FastestO
query_3_120.graph,1,0.4,1968,173580115.0,23020.7530353569,0.9998673767842856,1968,0,1968,FastestO
query_3_120.graph,1,0.5,2078,173580115.0,18678.3269586675,0.9998923936249342,2078,0,2078,FastestO
query_3_120.graph,1,0.6,2198,173580115.0,18018.2060210035,0.9998961966005092,2198,0,2198,FastestO
query_3_120.graph,1,0.7,2314,173580115.0,16717.9265867639,0.9999036875474661,2314,0,2314,FastestO
query_3_120.graph,1,0.8,2434,173580115.0,19592.6312219451,0.9998871262919606,2434,0,2434,FastestO
query_3_120.graph,2,0.01,125,173580115.0,40063.2067605634,0.9997691947216387,125,0,125,FastestO
query_3_120.graph,2,0.05,526,173580115.0,12832.474517134,0.9999260717478086,526,0,526,FastestO
query_3_120.graph,2,0.075,725,173580115.0,23032.1530434783,0.9998673111085133,725,0,725,FastestO
query_3_120.graph,2,0.1,930,173580115.0,20327.557993311,0.9998828923578411,930,0,930,FastestO
query_3_120.graph,2,0.15,1222,173580115.0,19829.9544876325,0.9998857590658491,1222,0,1222,FastestO
query_3_120.graph,2,0.2,1457,173580115.0,17048.853957115,0.9999017810654341,1457,0,1457,FastestO
query_3_120.graph,2,0.3,1793,173580115.0,22694.7572976986,0.9998692548550409,1793,0,1793,FastestO
query_3_120.graph,2,0.4,1968,173580115.0,21340.1290530557,0.9998770589070467,1968,0,1968,FastestO
query_3_120.graph,2,0.5,2078,173580115.0,16868.0641400876,0.9999028226007335,2078,0,2078,FastestO
query_3_120.graph,2,0.6,2198,173580115.0,18462.4668378063,0.9998936372012555,2198,0,2198,FastestO
query_3_120.graph,2,0.7,2314,173580115.0,18961.4994675186,0.9998907622600232,2314,0,2314,FastestO
query_3_120.graph,2,0.8,2434,173580115.0,19356.5415947181,0.9998884864110459,2434,0,2434,FastestO
query_3_120.graph,3,0.01,125,173580115.0,24138.9176470588,0.9998609350060227,125,0,125,FastestO
query_3_120.graph,3,0.05,526,173580115.0,19964.1914110429,0.9998849857230994,526,0,526,FastestO
query_3_120.graph,3,0.075,725,173580115.0,28063.8171428571,0.9998383235479315,725,0,725,FastestO
