query_basename,T_hat_double_truncation,total_instances,accepted_instances,budget_limit_B,budget_used,total_oracle_calls
46.graph,nan,1,1,500,0,0
query_3_103.graph,9421.8616,11020,8291,1102,1102,1102
query_3_101.graph,895.0564,8425,900,766,766,766
query_3_106.graph,714.9131,9024,713,768,768,768
query_3_100.graph,874.0716,8736,888,772,772,772
query_3_109.graph,936.862,8462,945,816,816,816
query_3_108.graph,9740.1596,11141,8450,1114,1114,1114
query_3_111.graph,920.6332,8423,899,784,784,784
query_3_105.graph,9669.062,11162,8478,1116,1116,1116
query_3_10.graph,961.9447,8498,962,819,819,819
query_3_0.graph,713.5564,9029,711,769,769,769
query_3_1.graph,904.3322,8426,900,776,776,776
query_3_114.graph,9489.9263,10913,8260,1091,1091,1091
query_3_110.graph,933.4953,8496,933,812,812,812
query_3_107.graph,853.1076,8088,840,734,734,734
query_3_117.graph,701.5045,9024,713,767,767,767
query_3_112.graph,948.5335,8407,927,802,802,802
query_3_11.graph,871.5568,8224,866,724,724,724
query_3_104.graph,704.9466,8990,703,776,776,776
query_3_118.graph,940.923,8318,933,801,801,801
query_3_113.graph,909.5323,8428,901,772,772,772
query_3_122.graph,816.5412,8620,818,778,778,778
query_3_116.graph,674.1796,8977,676,741,741,741
query_3_125.graph,9442.0445,10962,8293,1096,1096,1096
query_3_127.graph,9541.2675,11128,8360,1112,1112,1112
query_3_123.graph,9576.4831,11134,8371,1113,1113,1113
query_3_115.graph,706.2976,8991,705,764,764,764
query_3_129.graph,942.4231,8491,943,807,807,807
query_3_130.graph,829.1996,8627,819,777,777,777
query_3_119.graph,941.2392,8456,944,807,807,807
query_3_12.graph,900.5379,8426,900,775,775,775
query_3_102.graph,707.5301,9022,714,761,761,761
query_3_121.graph,972.8668,8505,964,820,820,820
query_3_131.graph,886.8976,8738,889,777,777,777
query_3_132.graph,672.2318,8978,677,747,747,747
query_3_124.graph,851.531,8224,856,736,736,736
query_3_133.graph,820.151,8568,819,776,776,776
query_3_134.graph,876.8276,8369,877,762,762,762
query_3_136.graph,884.6795,8125,862,734,734,734
query_3_13.graph,714.1595,9031,713,766,766,766
query_3_137.graph,863.6428,8664,862,774,774,774
query_3_128.graph,9714.8054,11210,8466,1121,1121,1121
query_3_142.graph,9678.3724,11149,8466,1114,1114,1114
query_3_141.graph,939.1179,8319,933,793,793,793
query_3_144.graph,7471.9899,6084,3704,1174,1174,1174
query_3_143.graph,9470.5338,11042,8272,1104,1104,1104
query_3_146.graph,872.2208,8371,876,760,760,760
query_3_145.graph,939.686,8460,946,811,811,811
query_3_149.graph,951.4936,8494,945,800,800,800
query_3_18.graph,7645.2065,6317,3744,1217,1217,1217
query_3_15.graph,9420.6966,11030,8263,1103,1103,1103
query_3_148.graph,9652.3456,11125,8442,1112,1112,1112
query_3_147.graph,644.2213,8884,671,746,746,746
query_3_120.graph,829.4412,8570,823,774,774,774
query_3_19.graph,9458.0911,7727,820,669,669,669
query_3_17.graph,876.6525,8668,863,778,778,778
query_3_2.graph,941.0144,8632,935,788,788,788
query_3_20.graph,9493.2224,11124,8348,1112,1112,1112
query_3_16.graph,942.7924,8463,946,812,812,812
query_3_138.graph,9465.3296,10909,8249,1090,1090,1090
query_3_26.graph,7539.7122,6323,3752,1220,1220,1220
query_3_27.graph,7575.5489,6322,3743,1218,1218,1218
query_3_22.graph,706.626,9025,712,757,757,757
query_3_23.graph,9530.2524,11136,8355,1113,1113,1113
query_3_139.graph,921.7459,8404,928,803,803,803
query_3_32.graph,7522.8009,6317,3751,1214,1214,1214
query_3_126.graph,835.3848,8626,819,783,783,783
query_3_25.graph,823.3003,8620,815,773,773,773
query_3_135.graph,9422.2757,10940,8261,1094,1094,1094
query_3_140.graph,877.4887,8427,900,786,786,786
query_3_29.graph,670.3103,8884,671,752,752,752
query_3_31.graph,897.6171,8559,900,782,782,782
query_3_30.graph,679.7217,8971,681,752,752,752
query_3_33.graph,984.9213,8502,972,813,813,813
query_3_3.graph,979.2484,8503,964,821,821,821
query_3_14.graph,947.5932,8463,947,822,822,822
query_3_21.graph,862.7325,8648,856,785,785,785
query_3_34.graph,7462.001,6326,3750,1219,1219,1219
query_3_28.graph,676.2758,8978,679,760,760,760
query_3_36.graph,821.1449,8627,819,776,776,776
query_3_40.graph,948.7228,8457,947,815,815,815
query_3_41.graph,841.2295,8650,842,780,780,780
query_3_42.graph,9350.757,11005,8251,1100,1100,1100
query_3_43.graph,920.599,8499,933,810,810,810
query_3_38.graph,847.7908,8371,873,765,765,765
query_3_44.graph,938.4196,8629,936,789,789,789
query_3_24.graph,9418.7399,10941,8266,1094,1094,1094
