query_basename,T_hat_double_truncation,total_instances,accepted_instances,budget_limit_B,budget_used,total_oracle_calls
query_3_17.graph,18222.4181,8663,859,759,759,759
query_3_137.graph,18475.6776,8667,856,753,753,753
query_3_133.graph,19108.6775,8573,823,761,761,761
query_3_122.graph,18963.8547,8622,816,754,754,754
query_3_21.graph,20071.0903,8650,845,755,755,755
query_4_102.graph,4308.6304,2511,218,271,271,271
query_4_103.graph,4733.9687,2476,235,272,272,272
query_3_88.graph,19697.8092,8643,845,763,763,763
query_4_0.graph,4130.1634,2436,184,371,371,371
query_3_130.graph,18004.9738,8621,815,758,758,758
query_4_119.graph,5281.2465,2525,234,277,277,277
query_3_36.graph,18311.1608,8623,818,764,764,764
query_3_120.graph,19179.5637,8573,823,768,768,768
query_3_41.graph,19694.0877,8652,844,756,756,756
query_3_126.graph,18295.7832,8627,816,752,752,752
query_3_39.graph,18412.1455,8625,816,746,746,746
query_4_125.graph,3882.944,2432,158,351,351,351
query_4_140.graph,4573.7556,2458,210,263,263,263
query_3_8.graph,18607.8164,8667,858,764,764,764
query_4_25.graph,4498.8301,2554,214,288,288,288
query_3_62.graph,19048.1045,8569,823,752,752,752
query_4_27.graph,3659.2372,2489,170,350,350,350
query_4_15.graph,4097.6934,2615,195,387,387,387
query_3_25.graph,18935.8715,8624,816,750,750,750
query_4_28.graph,5102.4631,2304,222,267,267,267
query_4_136.graph,193625.8932,8289,788,672,672,672
query_4_147.graph,209586.2025,8173,780,663,663,663
query_4_42.graph,4272.2712,2544,223,269,269,269
query_3_53.graph,18489.9241,8627,816,758,758,758
query_4_115.graph,224673.6987,8219,791,666,666,666
query_4_18.graph,210084.1326,8203,764,664,664,664
query_4_60.graph,4623.1351,2266,197,260,260,260
query_4_12.graph,204494.9113,8250,801,661,661,661
query_4_20.graph,208287.7307,8209,753,658,658,658
query_4_67.graph,4176.171,2436,186,365,365,365
query_5_101.graph,1076.0723,498,49,67,67,67
query_4_83.graph,5216.752,2548,244,285,285,285
query_4_87.graph,5993.5839,2259,231,263,263,263
query_5_11.graph,534.1746,464,22,70,70,70
query_5_113.graph,264.3206,502,6,69,69,69
query_5_116.graph,984.7563,483,35,48,48,48
query_5_117.graph,811.6771,466,29,57,57,57
query_4_77.graph,3984.7692,2443,173,359,359,359
query_5_12.graph,1343.8862,461,47,60,60,60
query_5_1.graph,60071.502,2313,228,244,244,244
query_4_96.graph,4730.8982,2617,236,277,277,277
query_5_120.graph,476.4953,426,24,44,44,44
query_3_96.graph,18334.6684,8570,823,761,761,761
query_4_124.graph,201538.0549,8157,755,662,662,662
query_5_138.graph,65174.0295,2485,247,256,256,256
query_5_33.graph,1148.4922,519,57,69,69,69
query_5_2.graph,881.8261,467,51,59,59,59
query_5_37.graph,938.3819,468,32,56,56,56
query_4_57.graph,5179.8435,2437,230,281,281,281
query_5_105.graph,2695452.1847,6424,553,471,471,471
query_4_120.graph,188763.558,8124,767,654,654,654
query_4_79.graph,4693.7468,2476,235,271,271,271
query_5_144.graph,2518464.1696,6507,557,474,474,474
query_5_5.graph,842.7462,428,42,53,53,53
query_5_56.graph,848.5576,478,38,86,86,86
query_5_55.graph,50005.6217,2417,185,330,330,330
query_5_45.graph,3692388.5753,6955,613,519,519,519
query_5_61.graph,47103.4063,2452,235,254,254,254
query_5_130.graph,3460769.9514,6556,576,502,502,502
query_5_62.graph,1107.2164,542,31,47,47,47
query_5_48.graph,3340577.4927,6881,604,506,506,506
query_5_70.graph,1192.9142,519,56,71,71,71
query_5_8.graph,1164.7239,206,17,25,25,25
query_5_88.graph,954.181,523,50,71,71,71
query_5_75.graph,566.1347,526,28,63,63,63
query_5_35.graph,3032923.3084,6913,626,515,515,515
query_5_47.graph,67812.2264,2520,233,259,259,259
query_5_89.graph,277.993,447,8,63,63,63
query_4_51.graph,225000.9475,8254,792,676,676,676
query_5_92.graph,1375.1833,461,47,59,59,59
query_5_95.graph,1040.0362,515,54,68,68,68
query_5_90.graph,73413.4683,2244,227,237,237,237
query_6_101.graph,861.5941,234,12,18,18,18
query_5_93.graph,58615.5688,2537,242,264,264,264
query_6_107.graph,12894.7655,526,43,54,54,54
query_5_59.graph,3527600.9999,6562,587,488,488,488
query_5_115.graph,33032.1559,21057,1150,889,889,889
query_5_86.graph,2874510.1635,6894,615,520,520,520
query_6_10.graph,53327275.3972,5106,423,352,352,352
query_5_97.graph,61901809.6707,5272,439,375,375,375
query_6_110.graph,10049.8173,4152,311,312,312,312
query_5_131.graph,35008.0364,21602,1316,920,920,920
query_6_126.graph,8077.5341,452,41,58,58,58
query_5_99.graph,51947.9822,2602,233,248,248,248
query_6_106.graph,691925.7744,6441,547,459,459,459
query_5_51.graph,3254398.9746,6609,555,489,489,489
query_6_133.graph,10705.3685,518,51,69,69,69
query_6_113.graph,15022.1262,3878,359,302,302,302
query_6_115.graph,3095.3924,5502,78,248,248,248
query_6_0.graph,957652.8821,6300,547,468,468,468
query_6_136.graph,698306.8859,2260,157,273,273,273
query_6_109.graph,12710.6668,6502,502,461,461,461
query_4_29.graph,176084.4686,8166,753,642,642,642
query_6_140.graph,8211.8479,346,24,41,41,41
query_6_119.graph,63443419.5583,5404,457,386,386,386
query_4_19.graph,136403.0369,35579,2081,1216,1216,1216
query_6_132.graph,6443.4335,6368,244,229,229,229
query_6_134.graph,64302052.138,4962,389,348,348,348
query_6_21.graph,683082.6836,2363,193,219,219,219
query_4_61.graph,148204.9825,36111,2215,1244,1244,1244
query_6_130.graph,12318.2397,6148,470,431,431,431
query_6_137.graph,956064.4113,6543,589,469,469,469
query_6_15.graph,79525743.4616,5288,458,372,372,372
query_6_57.graph,511.8997,242,18,21,21,21
query_6_51.graph,12660.489,476,49,58,58,58
query_5_38.graph,53533.9425,7275,652,565,565,565
query_6_23.graph,56829869.764,5250,439,347,347,347
query_6_42.graph,8103.6027,545,46,64,64,64
query_6_141.graph,15482.199,7586,653,522,522,522
query_6_37.graph,8991.0076,3998,341,296,296,296
query_5_139.graph,2122026.1588,33459,1920,950,950,950
query_6_64.graph,55809418.3348,5214,415,361,361,361
query_6_61.graph,11294.3716,5701,441,400,400,400
query_6_40.graph,11196.2472,7754,542,498,498,498
query_6_80.graph,59025500.0905,5277,446,367,367,367
query_7_103.graph,74.8401,34,3,29,29,29
query_6_71.graph,719262.6007,6158,562,456,456,456
query_6_73.graph,5736.5879,6632,233,273,273,273
query_7_113.graph,83750.1767,487,33,48,48,48
query_6_81.graph,60306419.2942,5300,453,377,377,377
query_6_118.graph,551205.6982,20278,1051,762,762,762
query_6_127.graph,627386.4577,20205,1230,765,765,765
query_7_146.graph,142410.8332,465,42,56,56,56
query_6_83.graph,1088135.2697,6402,597,482,482,482
query_7_140.graph,163848.467,4019,303,270,270,270
query_7_15.graph,178177.1539,402,34,52,52,52
query_7_17.graph,386445.5361,475,50,63,63,63
query_6_84.graph,6922.0005,6589,304,454,454,454
query_6_91.graph,9534.6289,6320,385,378,378,378
query_7_32.graph,6.2796,26,1,25,25,25
query_7_33.graph,52.4695,86,1,34,34,34
query_7_35.graph,6440.8303,489,2,59,59,59
query_7_53.graph,0.0,8,0,7,7,7
query_7_44.graph,150205.8142,525,45,62,62,62
query_7_55.graph,221646.7947,433,31,55,55,55
query_7_125.graph,108634.5398,6631,375,382,382,382
query_7_65.graph,12702140.5531,1888,113,224,224,224
query_6_8.graph,74441041.6374,5406,443,385,385,385
query_7_86.graph,20.5839,18,1,19,19,19
query_7_36.graph,155775.2949,3657,356,262,262,262
query_7_149.graph,54957.4022,6176,279,350,350,350
query_7_87.graph,13426946.1755,1632,127,148,148,148
query_7_23.graph,277980.0426,6375,621,373,373,373
query_8_1.graph,662.5119,41,4,40,40,40
query_7_83.graph,14657266.339,5037,414,340,340,340
query_6_129.graph,468157.5823,31767,1515,871,871,871
query_6_148.graph,38020129.9869,27512,1504,671,671,671
query_6_14.graph,43084411.3675,28932,1611,686,686,686
query_7_98.graph,262263.8308,6661,559,406,406,406
query_8_103.graph,1788257.6395,5499,196,275,275,275
query_8_21.graph,986325.1773,351,11,21,21,21
query_8_29.graph,3092078.538,3499,270,236,236,236
query_8_130.graph,8623664.2664,6041,699,422,422,422
query_8_51.graph,1634906.0477,430,31,57,57,57
