query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_3_120.graph,1,0.1,857,22.59998838559814,21.949083353083022,0.028801122434642886,425,360,785,8_POSSA
query_3_120.graph,1,0.1,857,22.59998838559814,22.22763938641545,0.016475627899878505,299,478,777,MAB
query_3_120.graph,1,0.1,857,22.59998838559814,19.498599623458997,0.1372296617690081,292,582,874,PO
query_3_120.graph,1,0.1,857,22.59998838559814,27.82638355893826,0.23125654244453697,510,98,608,UN
query_3_120.graph,1,0.1,857,22.59998838559814,20.381866364566033,0.0981470425199691,516,121,637,WO
query_3_120.graph,2,0.1,857,22.59998838559814,22.486859142129763,0.005005721310037057,429,367,796,8_POSSA
query_3_120.graph,2,0.1,857,22.59998838559814,21.107794349473274,0.0660263187159764,300,483,783,MAB
query_3_120.graph,2,0.1,857,22.59998838559814,23.393199712189382,0.03509786434654608,302,562,864,PO
query_3_120.graph,2,0.1,857,22.59998838559814,23.58675658650968,0.04366233221342523,520,115,635,UN
query_3_120.graph,2,0.1,857,22.59998838559814,21.030066124185158,0.0694656224873734,512,113,625,WO
query_3_120.graph,3,0.1,857,22.59998838559814,21.959431911025398,0.028343221405411824,422,352,774,8_POSSA
query_3_120.graph,3,0.1,857,22.59998838559814,23.625247597850677,0.045365475183424556,302,466,768,MAB
query_3_120.graph,3,0.1,857,22.59998838559814,22.168597668409365,0.019088094640954786,297,575,872,PO
query_3_120.graph,3,0.1,857,22.59998838559814,20.706219254850904,0.08379513734414322,530,109,639,UN
query_3_120.graph,3,0.1,857,22.59998838559814,18.853479349623235,0.1657748212986858,512,123,635,WO
query_3_120.graph,4,0.1,857,22.59998838559814,23.0303983672121,0.019044699239236695,413,350,763,8_POSSA
query_3_120.graph,4,0.1,857,22.59998838559814,23.314529012195,0.03161685813308643,302,484,786,MAB
query_3_120.graph,4,0.1,857,22.59998838559814,22.02081591845557,0.02562711348611362,291,570,861,PO
query_3_120.graph,4,0.1,857,22.59998838559814,23.96509095850405,0.06040279975434945,511,108,619,UN
query_3_120.graph,4,0.1,857,22.59998838559814,20.83177088732158,0.07823975252143761,510,107,617,WO
query_3_120.graph,5,0.1,857,22.59998838559814,20.395824742779315,0.0975294148479931,422,382,804,8_POSSA
query_3_120.graph,5,0.1,857,22.59998838559814,21.96902965888161,0.027918542078482256,290,493,783,MAB
query_3_120.graph,5,0.1,857,22.59998838559814,25.16489879874285,0.11349166952577727,301,558,859,PO
query_3_120.graph,5,0.1,857,22.59998838559814,19.274042272130117,0.1471658328633251,516,115,631,UN
query_3_120.graph,5,0.1,857,22.59998838559814,24.472135780542907,0.08283842287891582,517,101,618,WO
query_3_122.graph,1,0.1,862,22.269976162097734,19.33595979681712,0.13174762038022053,429,381,810,8_POSSA
query_3_122.graph,1,0.1,862,22.269976162097734,18.371373858930212,0.17506091047383907,326,29,355,MAB
query_3_122.graph,1,0.1,862,22.269976162097734,21.029690640761856,0.055693167891520914,304,554,858,PO
query_3_122.graph,1,0.1,862,22.269976162097734,20.732484635733034,0.06903875941193982,504,117,621,UN
query_3_122.graph,1,0.1,862,22.269976162097734,19.86325152764551,0.10807037317571702,517,108,625,WO
query_3_122.graph,2,0.1,862,22.269976162097734,21.093657617713074,0.05282082638178523,427,353,780,8_POSSA
query_3_122.graph,2,0.1,862,22.269976162097734,27.472351715342214,0.23360489995039305,305,469,774,MAB
query_3_122.graph,2,0.1,862,22.269976162097734,21.016077127870822,0.056304462344282984,295,568,863,PO
query_3_122.graph,2,0.1,862,22.269976162097734,21.493900010009803,0.03484853986547008,523,108,631,UN
query_3_122.graph,2,0.1,862,22.269976162097734,21.399835869840178,0.03907234951326471,517,105,622,WO
query_3_122.graph,3,0.1,862,22.269976162097734,22.981285575768126,0.031940286262227856,427,343,770,8_POSSA
query_3_122.graph,3,0.1,862,22.269976162097734,23.88705779413774,0.0726126341703135,295,467,762,MAB
query_3_122.graph,3,0.1,862,22.269976162097734,22.17980775540066,0.004048877557872564,295,546,841,PO
query_3_122.graph,3,0.1,862,22.269976162097734,19.418641864207224,0.12803490570157516,526,122,648,UN
query_3_122.graph,3,0.1,862,22.269976162097734,22.042486601967276,0.01021507874434246,521,108,629,WO
query_3_122.graph,4,0.1,862,22.269976162097734,24.12659976928448,0.08336890860020833,438,354,792,8_POSSA
query_3_122.graph,4,0.1,862,22.269976162097734,21.545957784090827,0.032510963313878434,338,447,785,MAB
query_3_122.graph,4,0.1,862,22.269976162097734,22.94122247522028,0.03014131260117686,309,554,863,PO
query_3_122.graph,4,0.1,862,22.269976162097734,25.162402474726687,0.1298800812167775,509,100,609,UN
query_3_122.graph,4,0.1,862,22.269976162097734,29.633931806061344,0.33066742372614905,507,86,593,WO
query_3_122.graph,5,0.1,862,22.269976162097734,25.50341544914495,0.14519275923385808,425,344,769,8_POSSA
query_3_122.graph,5,0.1,862,22.269976162097734,32.52889236731431,0.4606613015902858,297,473,770,MAB
query_3_122.graph,5,0.1,862,22.269976162097734,22.7407193549217,0.021138019609789525,301,562,863,PO
query_3_122.graph,5,0.1,862,22.269976162097734,22.05345919973509,0.009722370638687219,515,115,630,UN
query_3_122.graph,5,0.1,862,22.269976162097734,20.210753189756524,0.09246633033428629,495,109,604,WO
query_3_126.graph,1,0.1,862,22.269976162097734,22.383363946353608,0.005091509008835566,425,370,795,8_POSSA
query_3_126.graph,1,0.1,862,22.269976162097734,23.090833328801523,0.03685936440744118,303,463,766,MAB
query_3_126.graph,1,0.1,862,22.269976162097734,21.621734288319185,0.02910833262955263,300,547,847,PO
query_3_126.graph,1,0.1,862,22.269976162097734,18.354898741030695,0.17580070102321366,524,118,642,UN
query_3_126.graph,1,0.1,862,22.269976162097734,21.783849117333233,0.021828808492029842,512,123,635,WO
query_3_126.graph,2,0.1,862,22.269976162097734,24.02517927822206,0.07881477300867447,416,359,775,8_POSSA
query_3_126.graph,2,0.1,862,22.269976162097734,20.912015374965684,0.06097719985184468,285,481,766,MAB
query_3_126.graph,2,0.1,862,22.269976162097734,22.884283448099804,0.027584550676241278,290,572,862,PO
