query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_3_53.graph,1,0.1,862,18684.51,19188.930013921112,0.026996694798050013,510,113,623,UN
query_3_53.graph,2,0.1,862,18684.51,15299.177845475637,0.18118388732294086,530,97,627,UN
query_3_53.graph,3,0.1,862,18684.51,23785.950063805103,0.2730304441382249,481,119,600,UN
query_3_53.graph,4,0.1,862,18684.51,22588.5654987239,0.2089461002040675,524,121,645,UN
query_3_53.graph,5,0.1,862,18684.51,18865.714755104415,0.009698127224338028,501,119,620,UN
query_3_53.graph,1,0.1,862,18684.51,16731.084752256313,0.10454784459125158,295,557,852,PO
query_3_53.graph,2,0.1,862,18684.51,18128.724926136652,0.029745766619694393,309,548,857,PO
query_3_53.graph,3,0.1,862,18684.51,17476.056129518533,0.06467677613603279,296,556,852,PO
query_3_53.graph,4,0.1,862,18684.51,17066.83781571734,0.08657825034120024,296,566,862,PO
query_3_53.graph,5,0.1,862,18684.51,16316.880570364327,0.12671616379748102,309,535,844,PO
query_3_53.graph,1,0.1,862,18684.51,18937.494092002536,0.013539776638645494,507,109,616,WO
query_3_53.graph,2,0.1,862,18684.51,18137.126694493738,0.029296101717746978,476,90,566,WO
query_3_53.graph,3,0.1,862,18684.51,15754.530449645594,0.15681329349040488,520,100,620,WO
query_3_53.graph,4,0.1,862,18684.51,18965.336412924815,0.015029905142003532,492,105,597,WO
query_3_53.graph,5,0.1,862,18684.51,20211.60084134609,0.08173031250731719,490,110,600,WO
query_3_53.graph,1,0.1,862,18684.51,17385.81753535641,0.06950636996333259,292,439,731,MAB
query_3_53.graph,2,0.1,862,18684.51,18049.982889968433,0.03396006157140679,293,454,747,MAB
query_3_53.graph,3,0.1,862,18684.51,18053.013244023306,0.03379787620744092,289,425,714,MAB
query_3_53.graph,4,0.1,862,18684.51,18024.38579586263,0.03533002493174131,283,452,735,MAB
query_3_53.graph,5,0.1,862,18684.51,17655.181698470456,0.05508992751372886,295,446,741,MAB
query_3_53.graph,1,0.1,862,18684.51,18134.288782625965,0.02944798752410599,402,349,751,8_POSSA
query_3_53.graph,2,0.1,862,18684.51,18802.20462196177,0.006299047818849475,402,355,757,8_POSSA
query_3_53.graph,3,0.1,862,18684.51,17874.564921347926,0.043348478426893294,408,332,740,8_POSSA
query_3_53.graph,4,0.1,862,18684.51,18488.844470332166,0.010472071767888629,397,346,743,8_POSSA
query_3_53.graph,5,0.1,862,18684.51,18989.501744129306,0.01632324016681772,405,354,759,8_POSSA
query_3_133.graph,1,0.1,857,19458.59,20165.165514235705,0.036311753021966375,521,117,638,UN
query_3_133.graph,2,0.1,857,19458.59,20677.95295694282,0.06266450739456556,503,112,615,UN
query_3_133.graph,3,0.1,857,19458.59,20884.96739871645,0.07330322488507386,502,118,620,UN
query_3_133.graph,4,0.1,857,19458.59,20838.16802193699,0.07089814945157835,508,119,627,UN
query_3_133.graph,5,0.1,857,19458.59,25478.396804317377,0.30936500559996266,497,116,613,UN
query_3_133.graph,1,0.1,857,19458.59,18424.27154934747,0.05315485092458028,310,550,860,PO
query_3_133.graph,2,0.1,857,19458.59,18741.910308178554,0.03683101868231182,303,566,869,PO
query_3_133.graph,3,0.1,857,19458.59,19883.47349558561,0.021835266357203217,276,579,855,PO
query_3_133.graph,4,0.1,857,19458.59,17730.015274350655,0.08883350364283049,313,544,857,PO
query_3_133.graph,5,0.1,857,19458.59,18620.259140176688,0.04308281637175728,304,566,870,PO
query_3_133.graph,1,0.1,857,19458.59,16482.895035333688,0.15292449065766392,488,104,592,WO
query_3_133.graph,2,0.1,857,19458.59,17552.826274001112,0.0979394563531524,484,103,587,WO
