query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_5_113.graph,1,0.1,50,0.0,0.0,0.0,48,0,48,UN
query_5_113.graph,2,0.1,50,0.0,0.0,0.0,51,0,51,UN
query_5_113.graph,3,0.1,50,0.0,0.0,0.0,51,0,51,UN
query_5_113.graph,4,0.1,50,0.0,0.0,0.0,54,0,54,UN
query_5_113.graph,5,0.1,50,0.0,0.0,0.0,48,0,48,UN
query_5_113.graph,1,0.1,50,0.0,0.0,0.0,50,0,50,PO
query_5_113.graph,2,0.1,50,0.0,0.0,0.0,52,0,52,PO
query_5_113.graph,3,0.1,50,0.0,0.0,0.0,49,0,49,PO
query_5_113.graph,4,0.1,50,0.0,0.0,0.0,47,0,47,PO
query_5_113.graph,5,0.1,50,0.0,0.0,0.0,49,0,49,PO
query_5_113.graph,1,0.1,50,0.0,0.0,0.0,53,0,53,WO
query_5_113.graph,2,0.1,50,0.0,0.0,0.0,47,0,47,WO
query_5_113.graph,3,0.1,50,0.0,0.0,0.0,51,0,51,WO
query_5_113.graph,4,0.1,50,0.0,0.0,0.0,51,0,51,WO
query_5_113.graph,5,0.1,50,0.0,0.0,0.0,50,0,50,WO
query_5_113.graph,1,0.1,50,0.0,0.0,0.0,49,0,49,MAB
query_5_113.graph,2,0.1,50,0.0,0.0,0.0,51,0,51,MAB
query_5_113.graph,3,0.1,50,0.0,0.0,0.0,46,0,46,MAB
query_5_113.graph,4,0.1,50,0.0,0.0,0.0,48,0,48,MAB
query_5_113.graph,5,0.1,50,0.0,0.0,0.0,50,0,50,MAB
query_5_113.graph,1,0.1,50,0.0,0.0,0.0,54,0,54,8_POSSA
query_5_113.graph,2,0.1,50,0.0,0.0,0.0,49,0,49,8_POSSA
query_5_113.graph,3,0.1,50,0.0,0.0,0.0,51,0,51,8_POSSA
query_5_113.graph,4,0.1,50,0.0,0.0,0.0,50,0,50,8_POSSA
query_5_113.graph,5,0.1,50,0.0,0.0,0.0,49,0,49,8_POSSA
query_5_113.graph,1,0.5,251,0.0,0.0,0.0,209,0,209,UN
query_5_113.graph,2,0.5,251,0.0,0.0,0.0,207,0,207,UN
query_5_113.graph,3,0.5,251,0.0,0.0,0.0,206,0,206,UN
query_5_113.graph,4,0.5,251,0.0,0.0,0.0,209,0,209,UN
query_5_113.graph,5,0.5,251,0.0,0.0,0.0,195,0,195,UN
query_5_113.graph,1,0.5,251,0.0,0.0,0.0,198,0,198,PO
query_5_113.graph,2,0.5,251,0.0,0.0,0.0,198,0,198,PO
query_5_113.graph,3,0.5,251,0.0,0.0,0.0,197,0,197,PO
query_5_113.graph,4,0.5,251,0.0,0.0,0.0,202,0,202,PO
query_5_113.graph,5,0.5,251,0.0,0.0,0.0,202,0,202,PO
query_5_113.graph,1,0.5,251,0.0,0.0,0.0,207,0,207,WO
query_5_113.graph,2,0.5,251,0.0,0.0,0.0,207,0,207,WO
query_5_113.graph,3,0.5,251,0.0,0.0,0.0,212,0,212,WO
query_5_113.graph,4,0.5,251,0.0,0.0,0.0,203,0,203,WO
query_5_113.graph,5,0.5,251,0.0,0.0,0.0,202,0,202,WO
query_5_113.graph,1,0.5,251,0.0,0.0,0.0,208,0,208,MAB
query_5_113.graph,2,0.5,251,0.0,0.0,0.0,208,0,208,MAB
query_5_113.graph,3,0.5,251,0.0,0.0,0.0,207,0,207,MAB
query_5_113.graph,4,0.5,251,0.0,0.0,0.0,211,0,211,MAB
query_5_113.graph,5,0.5,251,0.0,0.0,0.0,213,0,213,MAB
query_5_113.graph,1,0.5,251,0.0,0.0,0.0,199,0,199,8_POSSA
query_5_113.graph,2,0.5,251,0.0,0.0,0.0,201,0,201,8_POSSA
query_5_113.graph,3,0.5,251,0.0,0.0,0.0,200,0,200,8_POSSA
query_5_113.graph,4,0.5,251,0.0,0.0,0.0,201,0,201,8_POSSA
query_5_113.graph,5,0.5,251,0.0,0.0,0.0,192,0,192,8_POSSA
query_5_117.graph,1,0.1,46,13.2,0.0,1.0,41,0,41,UN
query_5_117.graph,2,0.1,46,13.2,0.0,1.0,44,0,44,UN
query_5_117.graph,3,0.1,46,13.2,0.0,1.0,40,0,40,UN
query_5_117.graph,4,0.1,46,13.2,0.0,1.0,41,0,41,UN
query_5_117.graph,5,0.1,46,13.2,0.0,1.0,39,0,39,UN
query_5_117.graph,1,0.1,46,13.2,8.5983,0.34861363636363635,28,6,34,PO
query_5_117.graph,2,0.1,46,13.2,8.5983,0.34861363636363635,32,6,38,PO
query_5_117.graph,3,0.1,46,13.2,8.5983,0.34861363636363635,30,6,36,PO
query_5_117.graph,4,0.1,46,13.2,8.5983,0.34861363636363635,30,4,34,PO
query_5_117.graph,5,0.1,46,13.2,8.5983,0.34861363636363635,29,6,35,PO
query_5_117.graph,1,0.1,46,13.2,0.0,1.0,37,1,38,WO
query_5_117.graph,2,0.1,46,13.2,0.0,1.0,39,0,39,WO
query_5_117.graph,3,0.1,46,13.2,0.0,1.0,39,2,41,WO
query_5_117.graph,4,0.1,46,13.2,63.07714152562908,3.7785713276991735,43,2,45,WO
query_5_117.graph,5,0.1,46,13.2,63.07714152562908,3.7785713276991735,39,3,42,WO
query_5_117.graph,1,0.1,46,13.2,0.0,1.0,38,0,38,MAB
query_5_117.graph,2,0.1,46,13.2,0.0,1.0,45,0,45,MAB
query_5_117.graph,3,0.1,46,13.2,8.970841837939798,0.3203907698530456,36,2,38,MAB
query_5_117.graph,4,0.1,46,13.2,0.0,1.0,40,1,41,MAB
query_5_117.graph,5,0.1,46,13.2,0.0,1.0,43,0,43,MAB
query_5_117.graph,1,0.1,46,13.2,0.0,1.0,30,0,30,8_POSSA
query_5_117.graph,2,0.1,46,13.2,0.0,1.0,32,2,34,8_POSSA
query_5_117.graph,3,0.1,46,13.2,10.495138245088626,0.2049137693114677,32,2,34,8_POSSA
query_5_117.graph,4,0.1,46,13.2,10.495138245088626,0.2049137693114677,32,2,34,8_POSSA
query_5_117.graph,5,0.1,46,13.2,35.74619402409857,1.7080450018256494,29,2,31,8_POSSA
query_5_117.graph,1,0.5,233,13.2,0.0,1.0,166,2,168,UN
query_5_117.graph,2,0.5,233,13.2,28.7322,1.1766818181818182,169,8,177,UN
query_5_117.graph,3,0.5,233,13.2,9.7704,0.2598181818181817,161,4,165,UN
query_5_117.graph,4,0.5,233,13.2,11.5356,0.126090909090909,163,3,166,UN
query_5_117.graph,5,0.5,233,13.2,7.4262,0.4374090909090909,169,5,174,UN
query_5_117.graph,1,0.5,233,13.2,14.3661,0.08834090909090911,145,8,153,PO
query_5_117.graph,2,0.5,233,13.2,14.3661,0.08834090909090911,143,8,151,PO
query_5_117.graph,3,0.5,233,13.2,14.3661,0.08834090909090911,141,9,150,PO
query_5_117.graph,4,0.5,233,13.2,14.3661,0.08834090909090911,141,8,149,PO
query_5_117.graph,5,0.5,233,13.2,14.3661,0.08834090909090911,142,8,150,PO
query_5_117.graph,1,0.5,233,13.2,11.400096986595688,0.136356288894266,146,2,148,WO
query_5_117.graph,2,0.5,233,13.2,21.33893688477248,0.6165861276342789,153,4,157,WO
query_5_117.graph,3,0.5,233,13.2,0.0,1.0,159,2,161,WO
query_5_117.graph,4,0.5,233,13.2,22.326020463470904,0.6913651866265837,146,7,153,WO
query_5_117.graph,5,0.5,233,13.2,12.387180565294113,0.06157722990196111,154,2,156,WO
query_5_117.graph,1,0.5,233,13.2,6.33187833970666,0.5203122469919197,152,6,158,MAB
query_5_117.graph,2,0.5,233,13.2,5.277353058988782,0.6002005258341832,86,2,88,MAB
query_5_117.graph,3,0.5,233,13.2,2.5825150745584264,0.8043549185940586,154,6,160,MAB
query_5_117.graph,4,0.5,233,13.2,5.707431381514504,0.5676188347337496,152,3,155,MAB
query_5_117.graph,5,0.5,233,13.2,7.989244273811545,0.3947542216809435,148,4,152,MAB
query_5_117.graph,1,0.5,233,13.2,14.366099999985632,0.08834090908982069,142,8,150,8_POSSA
query_5_117.graph,2,0.5,233,13.2,14.366099999985632,0.08834090908982069,143,8,151,8_POSSA
query_5_117.graph,3,0.5,233,13.2,14.366099999985632,0.08834090908982069,142,8,150,8_POSSA
query_5_117.graph,4,0.5,233,13.2,14.366099999985632,0.08834090908982069,143,8,151,8_POSSA
query_5_117.graph,5,0.5,233,13.2,14.366099999985632,0.08834090908982069,142,8,150,8_POSSA
query_5_12.graph,1,0.1,46,78.2,47.124221739130434,0.39738846880907375,45,1,46,UN
query_5_12.graph,2,0.1,46,78.2,51.97574565217391,0.33534852107194485,42,1,43,UN
query_5_12.graph,3,0.1,46,78.2,43.659706521739125,0.441691732458579,42,1,43,UN
query_5_12.graph,4,0.1,46,78.2,49.58055,0.3659776214833759,46,1,47,UN
query_5_12.graph,5,0.1,46,78.2,94.59519565217391,0.20965723340375844,46,2,48,UN
query_5_12.graph,1,0.1,46,78.2,68.98117487520582,0.11788778931961866,41,12,53,PO
query_5_12.graph,2,0.1,46,78.2,83.94285938904272,0.07343809960412687,39,13,52,PO
query_5_12.graph,3,0.1,46,78.2,77.19058828748561,0.012908078165145683,40,13,53,PO
query_5_12.graph,4,0.1,46,78.2,63.79567791761302,0.18419849210213532,40,12,52,PO
query_5_12.graph,5,0.1,46,78.2,63.84946060379652,0.1835107339667964,42,11,53,PO
query_5_12.graph,1,0.1,46,78.2,89.9897258491853,0.15076375766221614,46,3,49,WO
query_5_12.graph,2,0.1,46,78.2,91.64627417910137,0.1719472401419612,44,3,47,WO
query_5_12.graph,3,0.1,46,78.2,47.3490334348446,0.39451363894060615,44,2,46,WO
query_5_12.graph,4,0.1,46,78.2,0.0,1.0,45,1,46,WO
query_5_12.graph,5,0.1,46,78.2,90.94288741342507,0.16295252446835123,45,3,48,WO
query_5_12.graph,1,0.1,46,78.2,0.0,1.0,44,1,45,MAB
