query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_5_12.graph,1,0.01,4,1202.53,3349.5856498321127,1.7854487204744274,4,3,7,8_POSSA
query_5_12.graph,2,0.01,4,1202.53,794.0657933931271,0.33967069978035713,4,1,5,8_POSSA
query_5_12.graph,3,0.01,4,1202.53,770.7357339762515,0.359071512580766,4,1,5,8_POSSA
query_5_12.graph,4,0.01,4,1202.53,1503.6652729544935,0.25041809597639436,4,3,7,8_POSSA
query_5_12.graph,5,0.01,4,1202.53,1272.9452025012665,0.058555880103836534,4,2,6,8_POSSA
query_5_12.graph,1,0.05,23,1202.53,654.319787164187,0.45588069556336475,23,6,29,8_POSSA
query_5_12.graph,2,0.05,23,1202.53,1454.8724459414889,0.2098429527259103,21,11,32,8_POSSA
query_5_12.graph,3,0.05,23,1202.53,1479.3478640115452,0.23019622297285325,20,11,31,8_POSSA
query_5_12.graph,4,0.05,23,1202.53,1039.3306998395346,0.1357132879516231,22,10,32,8_POSSA
query_5_12.graph,5,0.05,23,1202.53,1526.2059723030732,0.2691624926638614,22,11,33,8_POSSA
query_5_12.graph,1,0.075,34,1202.53,1031.0830706102263,0.14257185216982005,31,11,42,8_POSSA
query_5_12.graph,2,0.075,34,1202.53,1373.4173904704494,0.14210655074754844,30,16,46,8_POSSA
query_5_12.graph,3,0.075,34,1202.53,1214.7396378319515,0.01015329167002201,29,11,40,8_POSSA
query_5_12.graph,4,0.075,34,1202.53,1142.0303127104748,0.05031033511806369,33,13,46,8_POSSA
query_5_12.graph,5,0.075,34,1202.53,689.1193629359781,0.42694206137395485,31,13,44,8_POSSA
query_5_12.graph,1,0.1,46,1202.53,1194.7004242594473,0.00651091926234907,40,22,62,8_POSSA
query_5_12.graph,2,0.1,46,1202.53,850.8961606962462,0.29241169808965584,43,16,59,8_POSSA
query_5_12.graph,3,0.1,46,1202.53,1161.3667961558192,0.0342305005647932,39,20,59,8_POSSA
query_5_12.graph,4,0.1,46,1202.53,1275.185012911505,0.060418461835883584,40,20,60,8_POSSA
query_5_12.graph,5,0.1,46,1202.53,1077.1639858546357,0.10425188073924498,43,18,61,8_POSSA
query_5_12.graph,1,0.125,57,1202.53,1020.846534567426,0.15108435168567433,48,19,67,8_POSSA
query_5_12.graph,2,0.125,57,1202.53,1183.7297650115383,0.015633901015743162,49,22,71,8_POSSA
query_5_12.graph,3,0.125,57,1202.53,1224.1412744677245,0.01797150546574686,52,25,77,8_POSSA
query_5_12.graph,4,0.125,57,1202.53,1162.591676487631,0.03321191447395817,51,23,74,8_POSSA
query_5_12.graph,5,0.125,57,1202.53,1352.4980340042832,0.12471043051257204,53,23,76,8_POSSA
query_5_12.graph,1,0.15,69,1202.53,1178.8607347747738,0.019682889595458015,57,31,88,8_POSSA
query_5_12.graph,2,0.15,69,1202.53,1117.244929489545,0.0709213662116163,58,27,85,8_POSSA
query_5_12.graph,3,0.15,69,1202.53,1082.9083888630396,0.09947494959540334,56,29,85,8_POSSA
query_5_12.graph,4,0.15,69,1202.53,1107.4399363931298,0.07907500320729646,60,24,84,8_POSSA
query_5_12.graph,5,0.15,69,1202.53,1398.8396928419809,0.1632472311227004,58,30,88,8_POSSA
query_5_12.graph,1,0.2,92,1202.53,1154.2609669090118,0.040139566656123477,75,33,108,8_POSSA
query_5_12.graph,2,0.2,92,1202.53,1202.5169169915355,1.0879569295145473e-05,74,37,111,8_POSSA
query_5_12.graph,3,0.2,92,1202.53,1263.2922762853973,0.05052869889765521,73,36,109,8_POSSA
