QueryGraph,Elapsed(ms),Cardinality
query_cycle_4_0.graph,370.9,230938
query_cycle_4_1.graph,368.9,230398
query_cycle_4_10.graph,590.0,393025
query_cycle_4_11.graph,368.5,229547
query_cycle_4_12.graph,240.3,243509
query_cycle_4_13.graph,358.6,222241
query_cycle_4_14.graph,255.9,158094
query_cycle_4_15.graph,357.7,222241
query_cycle_4_16.graph,228.9,397653
query_cycle_4_17.graph,104.0,153514
query_cycle_4_18.graph,150.0,230398
query_cycle_4_19.graph,226.0,239086
query_cycle_4_2.graph,369.1,230405
query_cycle_4_20.graph,399.9,236094
query_cycle_4_21.graph,395.0,233642
query_cycle_4_22.graph,370.8,230398
query_cycle_4_23.graph,149.7,227174
query_cycle_4_24.graph,175.5,243509
query_cycle_4_25.graph,225.8,403138
query_cycle_4_26.graph,146.5,223780
query_cycle_4_27.graph,192.1,229547
query_cycle_4_28.graph,360.5,222755
query_cycle_4_29.graph,377.5,230405
query_cycle_4_3.graph,357.0,221160
query_cycle_4_30.graph,171.6,233642
query_cycle_4_31.graph,175.7,236584
query_cycle_4_32.graph,30.8,11546
query_cycle_4_33.graph,372.3,232452
query_cycle_4_34.graph,255.3,158464
query_cycle_4_35.graph,364.0,227174
query_cycle_4_36.graph,400.7,236094
query_cycle_4_37.graph,327.0,246321
query_cycle_4_38.graph,369.9,230405
query_cycle_4_39.graph,149.6,227174
query_cycle_4_4.graph,19.0,2288
query_cycle_4_40.graph,18.7,2158
query_cycle_4_41.graph,573.1,383586
query_cycle_4_42.graph,364.1,223780
query_cycle_4_43.graph,373.6,232609
query_cycle_4_44.graph,141.1,153669
query_cycle_4_45.graph,178.5,246321
query_cycle_4_46.graph,221.6,394626
query_cycle_4_47.graph,256.9,225087
query_cycle_4_48.graph,249.7,153514
query_cycle_4_49.graph,402.8,237278
query_cycle_4_5.graph,370.2,229547
query_cycle_4_6.graph,311.5,229547
query_cycle_4_7.graph,394.2,397653
query_cycle_4_8.graph,774.1,475704
query_cycle_4_9.graph,95.5,49228
query_cycle_6_1.graph,1759.2,847718
query_cycle_6_10.graph,50.9,10279
query_cycle_6_11.graph,11629.4,5779363
query_cycle_6_15.graph,923.4,425687
query_cycle_6_16.graph,244.9,106765
query_cycle_6_17.graph,92.2,34218
query_cycle_6_18.graph,435.0,182305
query_cycle_6_20.graph,865.2,410329
query_cycle_6_21.graph,1874.6,851226
query_cycle_6_22.graph,1595.0,761918
query_cycle_6_25.graph,339.7,149278
query_cycle_6_27.graph,222.1,84044
query_cycle_6_28.graph,50.0,9410
query_cycle_6_29.graph,2860.0,1670906
query_cycle_6_31.graph,52.4,11127
query_cycle_6_32.graph,199.2,71541
query_cycle_6_33.graph,1559.1,823186
query_cycle_6_35.graph,98.8,30316
query_cycle_6_36.graph,3351.2,1548499
query_cycle_6_37.graph,41.7,9330
query_cycle_6_38.graph,408.8,165594
query_cycle_6_39.graph,112.5,41097
query_cycle_6_4.graph,21320.8,16766923
query_cycle_6_40.graph,385.6,465608
query_cycle_6_42.graph,612.0,798330
query_cycle_6_43.graph,19404.1,15354035
query_cycle_6_44.graph,48720.6,34701809
query_cycle_6_45.graph,341.6,382506
query_cycle_6_46.graph,49.5,9681
query_cycle_6_48.graph,39.7,7000
query_cycle_6_6.graph,928.5,443652
query_cycle_6_7.graph,651.6,825980
query_cycle_6_8.graph,636.3,835945
query_cycle_6_9.graph,7895.5,6149000
query_cycle_8_0.graph,92.7,41272
query_cycle_8_10.graph,66.1,29192
query_cycle_8_12.graph,2516.2,1628441
query_cycle_8_18.graph,146.9,41135
query_cycle_8_19.graph,100459.4,46558745
query_cycle_8_20.graph,31945.0,13001153
query_cycle_8_23.graph,104.9,27508
query_cycle_8_24.graph,150881.4,59803383
query_cycle_8_26.graph,94.1,22509
query_cycle_8_28.graph,43901.5,17272560
query_cycle_8_29.graph,4529.4,2506456
query_cycle_8_3.graph,139.2,40231
query_cycle_8_31.graph,1457.0,558178
query_cycle_8_33.graph,7288.0,2740718
query_cycle_8_35.graph,1367.0,522537
query_cycle_8_36.graph,235.0,106801
query_cycle_8_37.graph,6649.1,3050810
query_cycle_8_39.graph,829.4,310564
query_cycle_8_40.graph,203996.5,85123574
query_cycle_8_41.graph,1659.3,1327806
query_cycle_8_42.graph,99.6,23933
query_cycle_8_44.graph,54.0,7293
query_cycle_8_46.graph,13542.3,8699777
query_cycle_8_47.graph,38.4,5092
query_cycle_8_48.graph,134327.1,57595764
query_cycle_8_49.graph,46.1,17582
query_cycle_8_5.graph,170054.9,76770445
query_cycle_8_6.graph,565.4,547862
query_cycle_8_8.graph,187589.6,89040609
