query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_0.graph,1,0.01,117,6444.6303107789145,3336.213953488372,0.4823265582963829,106,10,116,Exact_structureO
query_cycle_4_0.graph,2,0.01,117,6444.6303107789145,2215.421686746988,0.6562375838623974,91,15,106,Exact_structureO
query_cycle_4_0.graph,3,0.01,117,6444.6303107789145,12510.107189542485,0.9411675435623988,102,14,116,Exact_structureO
query_cycle_4_0.graph,4,0.01,117,6444.6303107789145,7037.588744588745,0.09200813781638993,105,14,119,Exact_structureO
query_cycle_4_0.graph,5,0.01,117,6444.6303107789145,1505.5281690140846,0.7663902975945687,102,14,116,Exact_structureO
query_cycle_4_0.graph,1,0.05,585,6444.6303107789145,8008.017691922982,0.24258759707740507,356,65,421,Exact_structureO
query_cycle_4_0.graph,2,0.05,585,6444.6303107789145,4503.534155597724,0.3011958889146249,360,83,443,Exact_structureO
query_cycle_4_0.graph,3,0.05,585,6444.6303107789145,6628.068137824235,0.028463669473563644,362,69,431,Exact_structureO
query_cycle_4_0.graph,4,0.05,585,6444.6303107789145,7185.663875012245,0.11498465055379833,359,61,420,Exact_structureO
query_cycle_4_0.graph,5,0.05,585,6444.6303107789145,7112.888339920947,0.10369222079726484,357,74,431,Exact_structureO
query_cycle_4_0.graph,1,0.075,877,6444.6303107789145,7236.610123367198,0.1228898748875733,507,104,611,Exact_structureO
query_cycle_4_0.graph,2,0.075,877,6444.6303107789145,4378.892121212121,0.32053633644613555,496,117,613,Exact_structureO
query_cycle_4_0.graph,3,0.075,877,6444.6303107789145,8022.814300243362,0.24488355628791744,489,108,597,Exact_structureO
query_cycle_4_0.graph,4,0.075,877,6444.6303107789145,7363.049382217556,0.14250919403438037,517,98,615,Exact_structureO
query_cycle_4_0.graph,5,0.075,877,6444.6303107789145,7887.7837619442025,0.22393114601958677,502,108,610,Exact_structureO
query_cycle_4_0.graph,1,0.1,1170,6444.6303107789145,6094.217851178326,0.054372778996261285,633,151,784,Exact_structureO
query_cycle_4_0.graph,2,0.1,1170,6444.6303107789145,5174.479350942475,0.19708670607715983,657,171,828,Exact_structureO
query_cycle_4_0.graph,3,0.1,1170,6444.6303107789145,7611.964301354312,0.18113280890960995,636,152,788,Exact_structureO
query_cycle_4_0.graph,4,0.1,1170,6444.6303107789145,5678.718843877561,0.11884490342608704,648,139,787,Exact_structureO
