query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_16.graph,1,0.01,84,17672.0,22853.620689655174,0.2932107678618817,82,9,91,Exact_structureO
query_cycle_4_16.graph,2,0.01,84,17672.0,12557.463157894737,0.28941471492220816,87,4,91,Exact_structureO
query_cycle_4_16.graph,3,0.01,84,17672.0,28069.623529411765,0.5883671078209464,79,7,86,Exact_structureO
query_cycle_4_16.graph,4,0.01,84,17672.0,17872.044943820223,0.011319881384123083,86,7,93,Exact_structureO
query_cycle_4_16.graph,5,0.01,84,17672.0,18075.136363636364,0.02281215276348823,82,6,88,Exact_structureO
query_cycle_4_16.graph,1,0.05,421,17672.0,21442.073529411766,0.21333598514100077,333,35,368,Exact_structureO
query_cycle_4_16.graph,2,0.05,421,17672.0,17993.34841628959,0.018184043474965546,352,27,379,Exact_structureO
query_cycle_4_16.graph,3,0.05,421,17672.0,11911.264976958526,0.3259809315890377,340,22,362,Exact_structureO
query_cycle_4_16.graph,4,0.05,421,17672.0,11165.2030237581,0.36819810866013464,346,20,366,Exact_structureO
query_cycle_4_16.graph,5,0.05,421,17672.0,17171.379545454547,0.02832845487468611,347,28,375,Exact_structureO
query_cycle_4_16.graph,1,0.075,632,17672.0,16908.99853372434,0.043175728059962566,500,45,545,Exact_structureO
query_cycle_4_16.graph,2,0.075,632,17672.0,17917.504360465115,0.013892279338225136,508,39,547,Exact_structureO
query_cycle_4_16.graph,3,0.075,632,17672.0,13347.793006993006,0.24469256411311643,512,39,551,Exact_structureO
query_cycle_4_16.graph,4,0.075,632,17672.0,10343.57514450867,0.4146913114243623,507,28,535,Exact_structureO
query_cycle_4_16.graph,5,0.075,632,17672.0,16265.073342736248,0.07961332374738296,510,44,554,Exact_structureO
query_cycle_4_16.graph,1,0.1,843,17672.0,15387.794297352342,0.12925564184289598,670,56,726,Exact_structureO
query_cycle_4_16.graph,2,0.1,843,17672.0,18468.074110671936,0.045047199562694436,679,58,737,Exact_structureO
query_cycle_4_16.graph,3,0.1,843,17672.0,14771.079178885631,0.1641535095696225,675,55,730,Exact_structureO
query_cycle_4_16.graph,4,0.1,843,17672.0,10236.611881188119,0.4207440085339453,684,42,726,Exact_structureO
query_cycle_4_16.graph,5,0.1,843,17672.0,18255.526946107784,0.03301985887889227,660,62,722,Exact_structureO
query_cycle_4_16.graph,1,0.125,1054,17672.0,17459.404996214987,0.012030047747001614,825,69,894,Exact_structureO
query_cycle_4_16.graph,2,0.125,1054,17672.0,16671.787267080745,0.05659872866224849,822,66,888,Exact_structureO
query_cycle_4_16.graph,3,0.125,1054,17672.0,14804.653760238272,0.16225363511553462,825,74,899,Exact_structureO
query_cycle_4_16.graph,4,0.125,1054,17672.0,12115.98984375,0.3143962288507243,822,60,882,Exact_structureO
query_cycle_4_16.graph,5,0.125,1054,17672.0,17773.88409090909,0.00576528355076338,818,81,899,Exact_structureO
query_cycle_4_16.graph,1,0.15,1264,17672.0,16740.73032336791,0.05269746925260816,952,78,1030,Exact_structureO
query_cycle_4_16.graph,2,0.15,1264,17672.0,17547.30953926022,0.007055820548878507,959,83,1042,Exact_structureO
query_cycle_4_16.graph,3,0.15,1264,17672.0,16972.993902439026,0.0395544419172122,961,93,1054,Exact_structureO
query_cycle_4_16.graph,4,0.15,1264,17672.0,13305.308712121212,0.2470966097713212,956,75,1031,Exact_structureO
query_cycle_4_16.graph,5,0.15,1264,17672.0,17383.737704918032,0.016311809364076942,959,92,1051,Exact_structureO
query_cycle_4_16.graph,1,0.2,1686,17672.0,16438.735014468788,0.0697863844234502,1216,106,1322,Exact_structureO
query_cycle_4_16.graph,2,0.2,1686,17672.0,17135.64682363394,0.0303504513561601,1224,110,1334,Exact_structureO
query_cycle_4_16.graph,3,0.2,1686,17672.0,14857.364835164835,0.1592708898163855,1210,117,1327,Exact_structureO
query_cycle_4_16.graph,4,0.2,1686,17672.0,15348.629547471162,0.1314718454350859,1218,104,1322,Exact_structureO
query_cycle_4_16.graph,5,0.2,1686,17672.0,17310.9719547928,0.02042938236799458,1221,110,1331,Exact_structureO
query_cycle_4_16.graph,1,0.3,2529,17672.0,17875.76441207076,0.011530353783994972,1807,162,1969,Exact_structureO
query_cycle_4_16.graph,2,0.3,2529,17672.0,17226.519165343616,0.025208286252624723,1784,181,1965,Exact_structureO
query_cycle_4_16.graph,3,0.3,2529,17672.0,15902.662899369701,0.10012093145259725,1797,188,1985,Exact_structureO
query_cycle_4_16.graph,4,0.3,2529,17672.0,17201.498124034428,0.026624144180940033,1817,172,1989,Exact_structureO
query_cycle_4_16.graph,5,0.3,2529,17672.0,17184.136156351793,0.027606600478056076,1804,174,1978,Exact_structureO
query_cycle_4_16.graph,1,0.4,3373,17672.0,18538.025236200894,0.04900550227483557,2335,224,2559,Exact_structureO
query_cycle_4_16.graph,2,0.4,3373,17672.0,18414.664101226193,0.042024903872011854,2343,249,2592,Exact_structureO
query_cycle_4_16.graph,3,0.4,3373,17672.0,16337.008601874439,0.07554274548016983,2344,243,2587,Exact_structureO
query_cycle_4_16.graph,4,0.4,3373,17672.0,16633.045701006973,0.05879098568317264,2345,232,2577,Exact_structureO
query_cycle_4_16.graph,5,0.4,3373,17672.0,16151.954783497255,0.08601432868394893,2350,226,2576,Exact_structureO
query_cycle_4_16.graph,1,0.5,4216,17672.0,18081.070420223245,0.02314794138882099,2825,281,3106,Exact_structureO
query_cycle_4_16.graph,2,0.5,4216,17672.0,17878.178635778637,0.011666966714499594,2824,300,3124,Exact_structureO
query_cycle_4_16.graph,3,0.5,4216,17672.0,16914.29203093477,0.04287618657001085,2826,295,3121,Exact_structureO
