query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_40.graph,1,0.01,17,80348.0,6814.736842105263,0.9151847358726382,19,1,20,Exact_structureO
query_cycle_4_40.graph,2,0.01,17,80348.0,4562628.571428572,55.785838744319356,14,2,16,Exact_structureO
query_cycle_4_40.graph,3,0.01,17,80348.0,0.0,1.0,19,0,19,Exact_structureO
query_cycle_4_40.graph,4,0.01,17,80348.0,0.0,1.0,14,0,14,Exact_structureO
query_cycle_4_40.graph,5,0.01,17,80348.0,4720.625,0.9412477597451088,16,2,18,Exact_structureO
query_cycle_4_40.graph,1,0.05,89,80348.0,148083.44827586206,0.8430259406066368,80,9,89,Exact_structureO
query_cycle_4_40.graph,2,0.05,89,80348.0,948162.1573033708,10.800693947619987,85,9,94,Exact_structureO
query_cycle_4_40.graph,3,0.05,89,80348.0,0.0,1.0,82,3,85,Exact_structureO
query_cycle_4_40.graph,4,0.05,89,80348.0,2132.906976744186,0.9734541372934711,84,4,88,Exact_structureO
query_cycle_4_40.graph,5,0.05,89,80348.0,1116.2068965517242,0.9861078446687942,82,6,88,Exact_structureO
query_cycle_4_40.graph,1,0.075,134,80348.0,105342.91780821918,0.31108326041991313,133,12,145,Exact_structureO
query_cycle_4_40.graph,2,0.075,134,80348.0,645159.6335877862,7.029566804248845,125,10,135,Exact_structureO
query_cycle_4_40.graph,3,0.075,134,80348.0,16223.812949640287,0.7980806871404356,128,6,134,Exact_structureO
query_cycle_4_40.graph,4,0.075,134,80348.0,76842.90909090909,0.043623872518182304,130,7,137,Exact_structureO
query_cycle_4_40.graph,5,0.075,134,80348.0,356291.7123287671,3.4343569513711247,136,11,147,Exact_structureO
query_cycle_4_40.graph,1,0.1,178,80348.0,79724.26666666666,0.007762898060105257,175,14,189,Exact_structureO
query_cycle_4_40.graph,2,0.1,178,80348.0,532130.659574468,5.62282396045288,173,14,187,Exact_structureO
query_cycle_4_40.graph,3,0.1,178,80348.0,11745.364583333334,0.8538188307943778,171,8,179,Exact_structureO
query_cycle_4_40.graph,4,0.1,178,80348.0,57834.4,0.2802011251057898,173,8,181,Exact_structureO
query_cycle_4_40.graph,5,0.1,178,80348.0,287333.7037037037,2.576115195197189,167,14,181,Exact_structureO
query_cycle_4_40.graph,1,0.125,223,80348.0,92123.02521008403,0.1465503212287055,210,19,229,Exact_structureO
query_cycle_4_40.graph,2,0.125,223,80348.0,487567.26086956525,5.068194116462951,209,15,224,Exact_structureO
query_cycle_4_40.graph,3,0.125,223,80348.0,109737.59825327511,0.3657788402110209,205,11,216,Exact_structureO
query_cycle_4_40.graph,4,0.125,223,80348.0,46959.555555555555,0.41554792209444474,208,10,218,Exact_structureO
query_cycle_4_40.graph,5,0.125,223,80348.0,223622.75,1.7831775526459899,209,17,226,Exact_structureO
query_cycle_4_40.graph,1,0.15,268,80348.0,75485.80887372013,0.060514152515057845,249,23,272,Exact_structureO
query_cycle_4_40.graph,2,0.15,268,80348.0,411585.14285714284,4.122531274669473,245,18,263,Exact_structureO
query_cycle_4_40.graph,3,0.15,268,80348.0,130859.57857142857,0.6286600608780377,247,15,262,Exact_structureO
query_cycle_4_40.graph,4,0.15,268,80348.0,65113.64664310954,0.18960463679108952,245,16,261,Exact_structureO
query_cycle_4_40.graph,5,0.15,268,80348.0,187359.60135135136,1.3318514630277214,244,18,262,Exact_structureO
query_cycle_4_40.graph,1,0.2,357,80348.0,97612.47549019608,0.21487125367396928,330,29,359,Exact_structureO
query_cycle_4_40.graph,2,0.2,357,80348.0,333427.6855670103,3.1497944636706614,326,26,352,Exact_structureO
query_cycle_4_40.graph,3,0.2,357,80348.0,100665.66839378238,0.2528708666523421,328,22,350,Exact_structureO
query_cycle_4_40.graph,4,0.2,357,80348.0,50324.98522167488,0.3736622539244925,328,22,350,Exact_structureO
query_cycle_4_40.graph,5,0.2,357,80348.0,154969.42028985507,0.9287277877464911,329,27,356,Exact_structureO
query_cycle_4_40.graph,1,0.3,536,80348.0,169516.33381294963,1.1097766442593422,504,43,547,Exact_structureO
query_cycle_4_40.graph,2,0.3,536,80348.0,196528.03846153847,1.445960552366437,498,44,542,Exact_structureO
query_cycle_4_40.graph,3,0.3,536,80348.0,78084.4325925926,0.028172044200321166,504,44,548,Exact_structureO
query_cycle_4_40.graph,4,0.3,536,80348.0,58152.58238636364,0.27624107150938865,505,40,545,Exact_structureO
query_cycle_4_40.graph,5,0.3,536,80348.0,110304.3612716763,0.3728326936784525,496,41,537,Exact_structureO
query_cycle_4_40.graph,1,0.4,715,80348.0,137345.17669902914,0.709378910477288,672,51,723,Exact_structureO
query_cycle_4_40.graph,2,0.4,715,80348.0,154853.86926829268,0.9272896558507079,664,60,724,Exact_structureO
query_cycle_4_40.graph,3,0.4,715,80348.0,73308.15384615384,0.08761694322006965,658,63,721,Exact_structureO
query_cycle_4_40.graph,4,0.4,715,80348.0,62843.57575757576,0.21785762237298054,662,51,713,Exact_structureO
query_cycle_4_40.graph,5,0.4,715,80348.0,92432.95,0.15040760193159752,655,53,708,Exact_structureO
query_cycle_4_40.graph,1,0.5,894,80348.0,139521.48478701824,0.7364649373602111,833,71,904,Exact_structureO
query_cycle_4_40.graph,2,0.5,894,80348.0,158230.50506414584,0.9693147939481485,838,70,908,Exact_structureO
query_cycle_4_40.graph,3,0.5,894,80348.0,73448.70266575529,0.08586769221691526,834,76,910,Exact_structureO
query_cycle_4_40.graph,4,0.5,894,80348.0,62547.563829787236,0.2215417455345841,833,72,905,Exact_structureO
query_cycle_4_40.graph,5,0.5,894,80348.0,74724.77611940299,0.06998586001639134,832,71,903,Exact_structureO
query_cycle_4_40.graph,1,0.6,1073,80348.0,123432.14693495554,0.5362192828067349,1010,90,1100,Exact_structureO
query_cycle_4_40.graph,2,0.6,1073,80348.0,120550.62576687116,0.5003562723013786,1005,89,1094,Exact_structureO
query_cycle_4_40.graph,3,0.6,1073,80348.0,92184.48854961833,0.14731528537883118,999,95,1094,Exact_structureO
query_cycle_4_40.graph,4,0.6,1073,80348.0,64031.43133802817,0.20307373751645136,1005,87,1092,Exact_structureO
query_cycle_4_40.graph,5,0.6,1073,80348.0,67473.06592386258,0.16023963354579354,1013,92,1105,Exact_structureO
query_cycle_4_40.graph,1,0.7,1252,80348.0,92088.44870210136,0.14611998683354113,1191,109,1300,Exact_structureO
query_cycle_4_40.graph,2,0.7,1252,80348.0,105477.68682170543,0.31276057676240143,1188,106,1294,Exact_structureO
query_cycle_4_40.graph,3,0.7,1252,80348.0,118761.22564265312,0.4780856479645184,1189,108,1297,Exact_structureO
query_cycle_4_40.graph,4,0.7,1252,80348.0,52821.33891213389,0.3425929841174156,1196,102,1298,Exact_structureO
query_cycle_4_40.graph,5,0.7,1252,80348.0,56779.37777777778,0.2933317845151369,1188,107,1295,Exact_structureO
query_cycle_4_40.graph,1,0.8,1431,80348.0,81612.5523084904,0.01573844163501765,1361,128,1489,Exact_structureO
query_cycle_4_40.graph,2,0.8,1431,80348.0,84537.38538607705,0.052140506124322285,1363,123,1486,Exact_structureO
query_cycle_4_40.graph,3,0.8,1431,80348.0,114500.69790940767,0.4250597141112121,1366,124,1490,Exact_structureO
query_cycle_4_40.graph,4,0.8,1431,80348.0,55789.16036036036,0.3056558923637134,1365,121,1486,Exact_structureO
query_cycle_4_40.graph,5,0.8,1431,80348.0,74482.08854532677,0.07300631571007656,1362,124,1486,Exact_structureO
query_cycle_4_40.graph,1,0.9,1610,80348.0,80640.3598,0.0036386692885946835,1441,132,1573,Exact_structureO
query_cycle_4_40.graph,2,0.9,1610,80348.0,82889.28353333334,0.03162846036408293,1441,132,1573,Exact_structureO
query_cycle_4_40.graph,3,0.9,1610,80348.0,85283.36873333334,0.06142491080466641,1441,132,1573,Exact_structureO
query_cycle_4_40.graph,4,0.9,1610,80348.0,71666.17293333334,0.10805280861585434,1441,132,1573,Exact_structureO
query_cycle_4_40.graph,5,0.9,1610,80348.0,76760.34773333333,0.04465141965782187,1441,132,1573,Exact_structureO
query_cycle_4_4.graph,1,0.01,15,9137.0,0.0,1.0,19,1,20,Exact_structureO
query_cycle_4_4.graph,2,0.01,15,9137.0,2890.1052631578946,0.6836921020950099,19,3,22,Exact_structureO
query_cycle_4_4.graph,3,0.01,15,9137.0,0.0,1.0,18,0,18,Exact_structureO
query_cycle_4_4.graph,4,0.01,15,9137.0,0.0,1.0,19,0,19,Exact_structureO
query_cycle_4_4.graph,5,0.01,15,9137.0,0.0,1.0,19,0,19,Exact_structureO
query_cycle_4_4.graph,1,0.05,76,9137.0,7036.215053763441,0.22992064640872928,91,7,98,Exact_structureO
query_cycle_4_4.graph,2,0.05,76,9137.0,1548.4444444444443,0.8305303223766615,91,9,100,Exact_structureO
query_cycle_4_4.graph,3,0.05,76,9137.0,2460.2150537634407,0.7307414847582969,85,7,92,Exact_structureO
query_cycle_4_4.graph,4,0.05,76,9137.0,13005.473684210527,0.4233855405724556,88,11,99,Exact_structureO
query_cycle_4_4.graph,5,0.05,76,9137.0,5766.693877551021,0.3688635353451876,90,9,99,Exact_structureO
query_cycle_4_4.graph,1,0.075,114,9137.0,6033.424657534247,0.3396711549158097,129,13,142,Exact_structureO
query_cycle_4_4.graph,2,0.075,114,9137.0,7872.0,0.1384480682937507,129,13,142,Exact_structureO
query_cycle_4_4.graph,3,0.075,114,9137.0,6590.084507042254,0.2787474546303761,130,18,148,Exact_structureO
query_cycle_4_4.graph,4,0.075,114,9137.0,8888.633093525179,0.027182544213070047,126,11,137,Exact_structureO
query_cycle_4_4.graph,5,0.075,114,9137.0,7334.581560283688,0.1972658903049482,128,14,142,Exact_structureO
query_cycle_4_4.graph,1,0.1,152,9137.0,4496.712871287129,0.5078567504337168,172,16,188,Exact_structureO
query_cycle_4_4.graph,2,0.1,152,9137.0,24572.65306122449,1.68935679777,174,22,196,Exact_structureO
query_cycle_4_4.graph,3,0.1,152,9137.0,7281.024630541872,0.20312743454723955,175,21,196,Exact_structureO
query_cycle_4_4.graph,4,0.1,152,9137.0,14521.795918367347,0.5893395992521995,168,22,190,Exact_structureO
query_cycle_4_4.graph,5,0.1,152,9137.0,5500.936170212766,0.3979494177287112,170,15,185,Exact_structureO
query_cycle_4_4.graph,1,0.125,190,9137.0,4249.142857142857,0.5349520786754015,210,19,229,Exact_structureO
query_cycle_4_4.graph,2,0.125,190,9137.0,22391.765690376567,1.4506693324260225,209,28,237,Exact_structureO
query_cycle_4_4.graph,3,0.125,190,9137.0,6201.206349206349,0.3213082686651692,208,26,234,Exact_structureO
query_cycle_4_4.graph,4,0.125,190,9137.0,14366.511627906977,0.5723444924928288,210,27,237,Exact_structureO
query_cycle_4_4.graph,5,0.125,190,9137.0,4462.074688796681,0.5116477302400481,210,22,232,Exact_structureO
query_cycle_4_4.graph,1,0.15,228,9137.0,5242.027397260274,0.4262857177125672,236,24,260,Exact_structureO
query_cycle_4_4.graph,2,0.15,228,9137.0,18712.0,1.0479369596147532,239,29,268,Exact_structureO
