query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_0.graph,1,0.01,159,1.0,3767.957396449705,3766.957396449705,159,0,159,FastestO
query_cycle_4_0.graph,2,0.01,159,1.0,1664.5364197530814,1663.5364197530814,159,0,159,FastestO
query_cycle_4_0.graph,3,0.01,159,1.0,5407.017543859665,5406.017543859665,159,0,159,FastestO
query_cycle_4_0.graph,4,0.01,159,1.0,3502.3940740740763,3501.3940740740763,159,0,159,FastestO
query_cycle_4_0.graph,5,0.01,159,1.0,4847.318287037043,4846.318287037043,159,0,159,FastestO
query_cycle_4_0.graph,1,0.05,653,1.0,5010.201986754962,5009.201986754962,653,0,653,FastestO
query_cycle_4_0.graph,2,0.05,653,1.0,3376.841486359356,3375.841486359356,653,0,653,FastestO
query_cycle_4_0.graph,3,0.05,653,1.0,6752.789758084616,6751.789758084616,653,0,653,FastestO
query_cycle_4_0.graph,4,0.05,653,1.0,5635.424836601298,5634.424836601298,653,0,653,FastestO
query_cycle_4_0.graph,5,0.05,653,1.0,5882.870741079596,5881.870741079596,653,0,653,FastestO
query_cycle_4_0.graph,1,0.075,932,1.0,6589.310579646974,6588.310579646974,932,0,932,FastestO
query_cycle_4_0.graph,2,0.075,932,1.0,5561.498576001501,5560.498576001501,932,0,932,FastestO
query_cycle_4_0.graph,3,0.075,932,1.0,7976.97802256279,7975.97802256279,932,0,932,FastestO
query_cycle_4_0.graph,4,0.075,932,1.0,7467.1161834487275,7466.1161834487275,932,0,932,FastestO
query_cycle_4_0.graph,5,0.075,932,1.0,6786.134137539952,6785.134137539952,932,0,932,FastestO
query_cycle_4_0.graph,1,0.1,1248,1.0,6796.037543181848,6795.037543181848,1248,0,1248,FastestO
query_cycle_4_0.graph,2,0.1,1248,1.0,8180.211788308698,8179.211788308698,1248,0,1248,FastestO
query_cycle_4_0.graph,3,0.1,1248,1.0,6561.511139243547,6560.511139243547,1248,0,1248,FastestO
query_cycle_4_0.graph,4,0.1,1248,1.0,4961.831848693063,4960.831848693063,1248,0,1248,FastestO
query_cycle_4_0.graph,5,0.1,1248,1.0,7099.746510769855,7098.746510769855,1248,0,1248,FastestO
query_cycle_4_0.graph,1,0.15,1750,1.0,6409.422473815753,6408.422473815753,1750,0,1750,FastestO
query_cycle_4_0.graph,2,0.15,1750,1.0,6713.881945834641,6712.881945834641,1750,0,1750,FastestO
query_cycle_4_0.graph,3,0.15,1750,1.0,6837.890645725916,6836.890645725916,1750,0,1750,FastestO
query_cycle_4_0.graph,4,0.15,1750,1.0,6490.777755630432,6489.777755630432,1750,0,1750,FastestO
query_cycle_4_0.graph,5,0.15,1750,1.0,6019.122891217603,6018.122891217603,1750,0,1750,FastestO
query_cycle_4_0.graph,1,0.2,2136,1.0,6899.413108358653,6898.413108358653,2136,0,2136,FastestO
query_cycle_4_0.graph,2,0.2,2136,1.0,5796.948075308796,5795.948075308796,2136,0,2136,FastestO
query_cycle_4_0.graph,3,0.2,2136,1.0,6827.130931564636,6826.130931564636,2136,0,2136,FastestO
query_cycle_4_0.graph,4,0.2,2136,1.0,7958.916069854948,7957.916069854948,2136,0,2136,FastestO
query_cycle_4_0.graph,5,0.2,2136,1.0,6413.238204826339,6412.238204826339,2136,0,2136,FastestO
query_cycle_4_0.graph,1,0.3,2866,1.0,6419.541408551383,6418.541408551383,2866,0,2866,FastestO
query_cycle_4_0.graph,2,0.3,2866,1.0,6623.206076349177,6622.206076349177,2866,0,2866,FastestO
query_cycle_4_0.graph,3,0.3,2866,1.0,6607.167823450263,6606.167823450263,2866,0,2866,FastestO
query_cycle_4_0.graph,4,0.3,2866,1.0,5873.656777827373,5872.656777827373,2866,0,2866,FastestO
query_cycle_4_0.graph,5,0.3,2866,1.0,6049.946016094174,6048.946016094174,2866,0,2866,FastestO
query_cycle_4_0.graph,1,0.4,3400,1.0,6295.479705978292,6294.479705978292,3234,0,3400,FastestO
