query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_0.graph,1,0.01,156,230938.0,16411.8375634518,0.9289340101522843,156,0,156,FastestO
query_cycle_4_0.graph,1,0.05,634,230938.0,9671.04981949458,0.9581227436823104,634,0,634,FastestO
query_cycle_4_0.graph,1,0.075,929,230938.0,10912.6599353796,0.9527463651050081,929,0,929,FastestO
query_cycle_4_0.graph,1,0.1,1210,230938.0,9879.70053475936,0.9572192513368984,1210,0,1210,FastestO
query_cycle_4_0.graph,1,0.15,1696,230938.0,9728.93788437884,0.9578720787207873,1696,0,1696,FastestO
query_cycle_4_0.graph,1,0.2,2080,230938.0,9401.19928226982,0.9592912414489179,2080,0,2080,FastestO
query_cycle_4_0.graph,1,0.3,2818,230938.0,11078.762090992,0.9520271151088515,2818,0,2818,FastestO
query_cycle_4_0.graph,1,0.4,3348,230938.0,9791.7712,0.9576,3217,0,3348,FastestO
query_cycle_4_0.graph,1,0.5,3876,230938.0,10207.4596,0.9558,3309,0,3876,FastestO
query_cycle_4_0.graph,1,0.6,4421,230938.0,10103.5375,0.9562499999999999,3268,0,4421,FastestO
query_cycle_4_0.graph,1,0.7,4974,230938.0,10657.7887,0.95385,3243,0,4974,FastestO
query_cycle_4_0.graph,1,0.8,5482,230938.0,10253.6472,0.9556,3252,0,5482,FastestO
query_cycle_4_0.graph,1,0.9,500,230938.0,9850.43601895735,0.957345971563981,500,0,500,FastestO
query_cycle_4_0.graph,2,0.01,156,230938.0,11815.4325581395,0.9488372093023256,156,0,156,FastestO
query_cycle_4_0.graph,2,0.05,634,230938.0,11716.7073529412,0.9492647058823529,634,0,634,FastestO
query_cycle_4_0.graph,2,0.075,929,230938.0,10278.5798285014,0.9554920375663537,929,0,929,FastestO
query_cycle_4_0.graph,2,0.1,1210,230938.0,10090.764380531,0.9563053097345132,1210,0,1210,FastestO
query_cycle_4_0.graph,2,0.15,1696,230938.0,10573.5712553062,0.954214675560946,1696,0,1696,FastestO
query_cycle_4_0.graph,2,0.2,2080,230938.0,10124.7918340027,0.9561579651941098,2080,0,2080,FastestO
query_cycle_4_0.graph,2,0.3,2818,230938.0,9542.50910795607,0.9586793463702116,2818,0,2818,FastestO
query_cycle_4_0.graph,2,0.4,3348,230938.0,10449.9445,0.95475,3238,0,3348,FastestO
query_cycle_4_0.graph,2,0.5,3876,230938.0,9826.4119,0.95745,3262,0,3876,FastestO
query_cycle_4_0.graph,2,0.6,4421,230938.0,10553.8666,0.9542999999999999,3223,0,4421,FastestO
query_cycle_4_0.graph,2,0.7,4974,230938.0,10253.6472,0.9556,3227,0,4974,FastestO
query_cycle_4_0.graph,2,0.8,5482,230938.0,10657.7887,0.95385,3265,0,5482,FastestO
query_cycle_4_0.graph,2,0.9,500,230938.0,12430.0906515581,0.9461756373937678,500,0,500,FastestO
query_cycle_4_0.graph,3,0.01,156,230938.0,15533.9461883408,0.9327354260089686,156,0,156,FastestO
query_cycle_4_0.graph,3,0.05,634,230938.0,9012.21463414634,0.9609756097560975,634,0,634,FastestO
query_cycle_4_0.graph,3,0.075,929,230938.0,10523.0369458128,0.9544334975369458,929,0,929,FastestO
query_cycle_4_0.graph,3,0.1,1210,230938.0,11182.5255712731,0.9515778019586507,1210,0,1210,FastestO
query_cycle_4_0.graph,3,0.15,1696,230938.0,10512.2712026833,0.9544801149976042,1696,0,1696,FastestO
query_cycle_4_0.graph,3,0.2,2080,230938.0,8534.82749703696,0.9630427755629781,2080,0,2080,FastestO
query_cycle_4_0.graph,3,0.3,2818,230938.0,10260.046686747,0.9555722891566265,2818,0,2818,FastestO
query_cycle_4_0.graph,3,0.4,3348,230938.0,9976.5216,0.9568,3157,0,3348,FastestO
query_cycle_4_0.graph,3,0.5,3876,230938.0,10022.7092,0.9565999999999999,3295,0,3876,FastestO
query_cycle_4_0.graph,3,0.6,4421,230938.0,10253.6472,0.9556,3227,0,4421,FastestO
query_cycle_4_0.graph,3,0.7,4974,230938.0,9976.5216,0.9568,3203,0,4974,FastestO
query_cycle_4_0.graph,3,0.8,5482,230938.0,10080.4437,0.95635,3224,0,5482,FastestO
query_cycle_4_0.graph,3,0.9,500,230938.0,12270.8820403826,0.946865037194474,500,0,500,FastestO
query_cycle_4_0.graph,4,0.01,156,230938.0,5020.39130434783,0.9782608695652173,156,0,156,FastestO
query_cycle_4_0.graph,4,0.05,634,230938.0,11406.3865425913,0.9506084466714388,634,0,634,FastestO
query_cycle_4_0.graph,4,0.075,929,230938.0,10151.1208791209,0.956043956043956,929,0,929,FastestO
query_cycle_4_0.graph,4,0.1,1210,230938.0,10473.2460096276,0.9546491005827211,1210,0,1210,FastestO
query_cycle_4_0.graph,4,0.15,1696,230938.0,10399.5575134606,0.9549681840430739,1696,0,1696,FastestO
query_cycle_4_0.graph,4,0.2,2080,230938.0,10365.0756208932,0.9551174963804433,2080,0,2080,FastestO
query_cycle_4_0.graph,4,0.3,2818,230938.0,10222.1088590011,0.9557365662688641,2818,0,2818,FastestO
query_cycle_4_0.graph,4,0.4,3348,230938.0,10588.5073,0.9541500000000001,3227,0,3348,FastestO
query_cycle_4_0.graph,4,0.5,3876,230938.0,9953.4278,0.9569,3224,0,3876,FastestO
query_cycle_4_0.graph,4,0.6,4421,230938.0,9780.2243,0.95765,3245,0,4421,FastestO
query_cycle_4_0.graph,4,0.7,4974,230938.0,9676.3022,0.9581,3266,0,4974,FastestO
query_cycle_4_0.graph,4,0.8,5482,230938.0,10634.6949,0.95395,3246,0,5482,FastestO
query_cycle_4_0.graph,4,0.9,500,230938.0,13483.6411889597,0.9416135881104034,500,0,500,FastestO
query_cycle_4_0.graph,5,0.01,156,230938.0,9278.75892857143,0.9598214285714286,156,0,156,FastestO
query_cycle_4_0.graph,5,0.05,634,230938.0,9159.43953185956,0.9603381014304291,634,0,634,FastestO
query_cycle_4_0.graph,5,0.075,929,230938.0,8990.71603053435,0.9610687022900763,929,0,929,FastestO
query_cycle_4_0.graph,5,0.1,1210,230938.0,10639.7533954727,0.9539280958721704,1210,0,1210,FastestO
query_cycle_4_0.graph,5,0.15,1696,230938.0,9704.45919610231,0.9579780755176615,1696,0,1696,FastestO
query_cycle_4_0.graph,5,0.2,2080,230938.0,9430.58713826367,0.9591639871382637,2080,0,2080,FastestO
query_cycle_4_0.graph,5,0.3,2818,230938.0,10580.795386478,0.9541833938698783,2818,0,2818,FastestO
query_cycle_4_0.graph,5,0.4,3348,230938.0,10045.803,0.9564999999999999,3232,0,3348,FastestO
query_cycle_4_0.graph,5,0.5,3876,230938.0,9826.4119,0.95745,3256,0,3876,FastestO
query_cycle_4_0.graph,5,0.6,4421,230938.0,10923.3674,0.9527000000000001,3264,0,4421,FastestO
query_cycle_4_0.graph,5,0.7,4974,230938.0,9318.3483,0.9596499999999999,3194,0,4974,FastestO
query_cycle_4_0.graph,5,0.8,5482,230938.0,9941.8809,0.9569500000000001,3277,0,5482,FastestO
query_cycle_4_0.graph,5,0.9,500,230938.0,9913.43609756098,0.9570731707317073,500,0,500,FastestO
query_cycle_4_1.graph,1,0.01,573,230398.0,7707.43215031315,0.9665473131263589,573,0,573,FastestO
query_cycle_4_1.graph,1,0.05,1516,230398.0,5809.79399141631,0.9747836613537604,1516,0,1516,FastestO
