query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_0.graph,1,0.01,136,230938.0,62091868.6373626,267.8681318681319,136,0,136,FastestO
query_cycle_4_0.graph,1,0.05,546,230938.0,55755917.6724437,240.4324090121318,546,0,546,FastestO
query_cycle_4_0.graph,1,0.075,778,230938.0,60356325.5294118,260.3529411764706,778,0,778,FastestO
query_cycle_4_0.graph,1,0.1,1008,230938.0,48261318.6515705,207.9795471146822,1008,0,1008,FastestO
query_cycle_4_0.graph,1,0.15,1428,230938.0,71870381.1122886,310.2107193804769,1428,0,1428,FastestO
query_cycle_4_0.graph,1,0.2,1724,230938.0,62598173.0680787,270.0605143721634,1724,0,1724,FastestO
query_cycle_4_0.graph,1,0.3,2378,230938.0,64151045.2004247,276.7847093177595,2378,0,2378,FastestO
query_cycle_4_0.graph,1,0.4,2788,230938.0,68464486.4851252,295.4626284332818,2788,0,2788,FastestO
query_cycle_4_0.graph,1,0.5,3280,230938.0,64340470.4370971,277.6049521390897,3280,0,3280,FastestO
query_cycle_4_0.graph,1,0.6,3786,230938.0,67220645.1861941,290.0765884618127,3786,0,3786,FastestO
query_cycle_4_0.graph,1,0.7,4395,230938.0,64356302.9235094,277.673509441969,4395,0,4395,FastestO
query_cycle_4_0.graph,1,0.8,4996,230938.0,67146082.7067151,289.753720508167,4996,0,4996,FastestO
query_cycle_4_0.graph,1,0.9,500,230938.0,53992849.3497537,232.7980295566502,500,0,500,FastestO
query_cycle_4_0.graph,2,0.01,136,230938.0,24015014.2197802,102.989010989011,136,0,136,FastestO
query_cycle_4_0.graph,2,0.05,546,230938.0,68120921.5799481,293.9749351771824,546,0,546,FastestO
query_cycle_4_0.graph,2,0.075,778,230938.0,57110497.9672781,246.2979672781358,778,0,778,FastestO
query_cycle_4_0.graph,2,0.1,1008,230938.0,61439673.4424379,265.0440180586908,1008,0,1008,FastestO
query_cycle_4_0.graph,2,0.15,1428,230938.0,58915935.2804189,254.1158115183246,1428,0,1428,FastestO
query_cycle_4_0.graph,2,0.2,1724,230938.0,55087965.0465778,237.5400629025011,1724,0,1724,FastestO
query_cycle_4_0.graph,2,0.3,2378,230938.0,64258591.4702093,277.2504025764895,2378,0,2378,FastestO
query_cycle_4_0.graph,2,0.4,2788,230938.0,64125664.2622888,276.6748056287348,2788,0,2788,FastestO
query_cycle_4_0.graph,2,0.5,3280,230938.0,64685468.7217494,279.0988521670295,3280,0,3280,FastestO
query_cycle_4_0.graph,2,0.6,3786,230938.0,64749491.8241055,279.3760828625236,3786,0,3786,FastestO
query_cycle_4_0.graph,2,0.7,4395,230938.0,68044940.6225706,293.6459249780053,4395,0,4395,FastestO
query_cycle_4_0.graph,2,0.8,4996,230938.0,64233202.5972508,277.1404645283615,4996,0,4996,FastestO
query_cycle_4_0.graph,2,0.9,500,230938.0,67030278.8294652,289.2522704339052,500,0,500,FastestO
query_cycle_4_0.graph,3,0.01,136,230938.0,69563518.8540541,300.2216216216216,136,0,136,FastestO
query_cycle_4_0.graph,3,0.05,546,230938.0,95287488.4934334,411.6106941838649,546,0,546,FastestO
query_cycle_4_0.graph,3,0.075,778,230938.0,65044199.6315271,280.6522167487685,778,0,778,FastestO
query_cycle_4_0.graph,3,0.1,1008,230938.0,67231969.1545364,290.1256231306082,1008,0,1008,FastestO
query_cycle_4_0.graph,3,0.15,1428,230938.0,61308605.7205401,264.47647299509,1428,0,1428,FastestO
query_cycle_4_0.graph,3,0.2,1724,230938.0,77188654.5794738,333.239729189106,1724,0,1724,FastestO
query_cycle_4_0.graph,3,0.3,2378,230938.0,54703300.2393452,235.8744002257974,2378,0,2378,FastestO
query_cycle_4_0.graph,3,0.4,2788,230938.0,72077955.688224,311.1095518633746,2788,0,2788,FastestO
query_cycle_4_0.graph,3,0.5,3280,230938.0,64434083.9462701,278.0103142240345,3280,0,3280,FastestO
query_cycle_4_0.graph,3,0.6,3786,230938.0,65950737.5970593,284.5776771127283,3786,0,3786,FastestO
query_cycle_4_0.graph,3,0.7,4395,230938.0,68916305.4094978,297.4190796209277,4395,0,4395,FastestO
