query_basename,T_hat_double_truncation,total_instances,accepted_instances,budget_limit_B,budget_used,total_oracle_calls
query_cycle_4_2.graph,16708.2136,11484,688,1016,1016,1016
query_cycle_4_10.graph,25166.7004,8207,388,860,860,860
query_cycle_4_0.graph,17620.5728,11631,656,1003,1003,1003
query_cycle_4_12.graph,18839.49,11069,655,982,982,982
query_cycle_4_19.graph,17533.1591,10811,620,942,942,942
query_cycle_4_16.graph,24157.4327,8433,426,905,905,905
query_cycle_4_23.graph,16265.6498,17112,1012,1327,1327,1327
query_cycle_4_20.graph,17199.0317,10901,662,972,972,972
query_cycle_4_21.graph,15942.1699,10729,569,971,971,971
query_cycle_4_27.graph,17200.733,11561,659,988,988,988
query_cycle_4_29.graph,16301.1654,11644,659,996,996,996
query_cycle_4_11.graph,16554.1785,16974,981,1337,1337,1337
query_cycle_4_32.graph,161.6443,5772,82,591,591,591
query_cycle_4_31.graph,16533.2812,10683,616,970,970,970
query_cycle_4_24.graph,18526.9871,11029,658,977,977,977
query_cycle_4_30.graph,15798.0906,10680,575,958,958,958
query_cycle_4_26.graph,15750.3875,11111,584,994,994,994
query_cycle_4_17.graph,4451.9307,43443,1309,2527,2527,2527
query_cycle_4_35.graph,14683.0091,11616,661,995,995,995
query_cycle_4_4.graph,74.5506,1546,53,239,239,239
query_cycle_4_40.graph,98.7286,1842,79,230,230,230
query_cycle_4_18.graph,8827.688,47045,1805,1755,1755,1755
query_cycle_4_14.graph,4060.3809,43396,1186,2539,2539,2539
query_cycle_4_3.graph,14607.618,16621,890,1291,1291,1291
query_cycle_4_39.graph,14675.4367,11619,659,1008,1008,1008
query_cycle_4_38.graph,16235.8878,16884,973,1320,1320,1320
query_cycle_4_36.graph,16840.8932,11014,657,978,978,978
query_cycle_4_37.graph,19208.9489,11049,647,988,988,988
query_cycle_4_45.graph,18736.8331,11082,648,992,992,992
query_cycle_4_42.graph,16242.7058,16509,941,1290,1290,1290
query_cycle_4_33.graph,17635.3584,16958,999,1322,1322,1322
query_cycle_4_34.graph,2113.86,46248,604,2450,2450,2450
query_cycle_4_47.graph,15455.9879,11093,595,993,993,993
query_cycle_4_49.graph,17432.0204,10588,604,959,959,959
query_cycle_4_5.graph,17173.9511,11561,672,999,999,999
query_cycle_4_48.graph,4971.297,9837,479,1153,1153,1153
query_cycle_4_22.graph,8815.3823,47059,1799,1744,1744,1744
query_cycle_4_7.graph,22971.1015,8434,429,900,900,900
query_cycle_4_25.graph,17693.0394,53651,2343,1995,1995,1995
query_cycle_6_11.graph,583728.3487,4748,293,347,347,347
query_cycle_6_10.graph,727.2012,3969,271,310,310,310
query_cycle_6_15.graph,21426.2475,8228,489,736,736,736
query_cycle_6_17.graph,138.8944,2281,37,74,74,74
query_cycle_4_9.graph,4286.118,11099,693,816,816,816
query_cycle_6_20.graph,24776.3036,1872,93,187,187,187
query_cycle_4_1.graph,8946.6464,47163,1805,1714,1714,1714
query_cycle_6_18.graph,10096.9513,1653,107,119,119,119
query_cycle_6_27.graph,2824.6487,1811,83,162,162,162
query_cycle_6_28.graph,422.1953,1117,43,128,128,128
query_cycle_4_13.graph,8385.6416,46916,1739,1745,1745,1745
query_cycle_6_21.graph,50719.0924,4461,275,384,384,384
query_cycle_6_31.graph,1182.3352,1164,67,138,138,138
query_cycle_4_28.graph,7870.8607,47035,1664,1730,1730,1730
query_cycle_6_22.graph,47512.5881,6752,394,586,586,586
query_cycle_6_29.graph,316418.7972,4996,403,313,313,313
query_cycle_4_6.graph,16665.1265,16725,928,1269,1269,1269
query_cycle_4_44.graph,3939.095,43033,1164,2510,2510,2510
query_cycle_6_32.graph,1247.7669,8775,236,397,397,397
query_cycle_6_1.graph,5777.524,19793,154,1287,1287,1287
query_cycle_6_25.graph,5320.0711,15905,946,357,357,357
query_cycle_6_39.graph,960.1973,7328,178,420,420,420
query_cycle_6_37.graph,417.051,7914,382,433,433,433
query_cycle_6_43.graph,623293.6871,3470,165,288,288,288
query_cycle_6_42.graph,58022.6141,5423,321,456,456,456
query_cycle_6_16.graph,4121.1188,25736,1026,1088,1088,1088
query_cycle_6_35.graph,317.5106,14744,159,638,638,638
query_cycle_4_15.graph,8030.4879,46971,1701,1744,1744,1744
query_cycle_4_41.graph,18001.5759,53277,2490,1837,1837,1837
query_cycle_6_48.graph,98.8856,2626,74,294,294,294
query_cycle_6_45.graph,19364.7886,7143,405,622,622,622
query_cycle_8_10.graph,1603.266,1298,95,78,78,78
query_cycle_6_46.graph,428.7131,8383,400,334,334,334
query_cycle_8_18.graph,1008.0744,1363,99,114,114,114
query_cycle_6_9.graph,573048.0801,4542,274,325,325,325
query_cycle_4_43.graph,9307.0789,47040,1859,1750,1750,1750
query_cycle_8_12.graph,24227.3136,3650,56,157,157,157
query_cycle_8_0.graph,90.3566,5025,10,363,363,363
query_cycle_6_33.graph,28788.004,24029,883,889,889,889
query_cycle_6_38.graph,2418.7009,18068,259,323,323,323
query_cycle_6_8.graph,51675.3334,5731,336,503,503,503
query_cycle_4_46.graph,16511.4448,53579,2240,2028,2028,2028
query_cycle_8_23.graph,309.1523,2340,22,69,69,69
query_cycle_6_4.graph,429690.3108,20135,520,884,884,884
query_cycle_8_3.graph,1157.2908,2568,244,94,94,94
query_cycle_8_28.graph,0.0,4277,0,8,8,8
query_cycle_8_26.graph,111.5567,5557,32,368,368,368
query_cycle_8_36.graph,1782.7358,7158,164,410,410,410
query_cycle_6_40.graph,12718.8482,25599,829,1201,1201,1201
query_cycle_8_37.graph,34391.838,7148,81,503,503,503
query_cycle_6_6.graph,17754.2294,21053,995,627,627,627
query_cycle_8_40.graph,247449.4397,4092,40,106,106,106
query_cycle_6_36.graph,27020.9558,34105,658,801,801,801
query_cycle_8_24.graph,822471.6275,15908,349,469,469,469
query_cycle_8_39.graph,15710.8839,8013,369,433,433,433
query_cycle_6_7.graph,52215.6705,27180,1930,1141,1141,1141
query_cycle_8_47.graph,0.0,2215,0,26,26,26
query_cycle_8_42.graph,18.2957,3235,16,241,241,241
query_cycle_8_44.graph,68.9599,3039,51,75,75,75
query_cycle_8_41.graph,129.4879,5751,4,29,29,29
query_cycle_8_49.graph,0.0,2667,0,21,21,21
query_cycle_8_20.graph,467062.0071,19446,712,516,516,516
query_cycle_8_35.graph,26807.1666,18556,861,516,516,516
query_cycle_4_8.graph,3838.772,54934,449,2576,2576,2576
query_cycle_8_8.graph,1143766.9429,7862,146,325,325,325
query_cycle_8_5.graph,379896.1764,10160,54,406,406,406
query_cycle_8_33.graph,12597.3185,25067,115,843,843,843
query_cycle_8_31.graph,6820.8696,34011,420,431,431,431
query_cycle_6_44.graph,832994.5444,44061,1153,1034,1034,1034
query_cycle_8_19.graph,338953.6662,35316,258,1128,1128,1128
query_cycle_8_29.graph,13848.9516,32330,187,443,443,443
query_cycle_8_6.graph,2339.0255,35525,159,773,773,773
query_cycle_8_48.graph,2531041.9992,43610,1846,149,149,149
query_cycle_8_46.graph,18708.2896,51862,112,1347,1347,1347
