query_basename,T_hat_double_truncation,total_instances,accepted_instances,budget_limit_B,budget_used,total_oracle_calls
query_cycle_4_2.graph,116821959.1469,11541,676,861,861,861
query_cycle_4_10.graph,7168553.2862,8243,402,795,795,795
query_cycle_4_12.graph,130549919.2701,11066,655,835,835,835
query_cycle_4_19.graph,125101952.7762,10870,629,806,806,806
query_cycle_4_21.graph,113845553.5531,10662,592,810,810,810
query_cycle_4_0.graph,131368546.2945,11638,658,842,842,842
query_cycle_4_16.graph,9583960.8799,8409,436,829,829,829
query_cycle_4_26.graph,112324431.5731,11075,581,803,803,803
query_cycle_4_11.graph,110732504.8793,16766,926,1094,1094,1094
query_cycle_4_30.graph,115501623.6273,10658,573,788,788,788
query_cycle_4_20.graph,121912877.3112,11004,656,825,825,825
query_cycle_4_14.graph,2618366.0025,43208,1181,2405,2405,2405
query_cycle_4_15.graph,58891707.3728,46860,1884,1253,1253,1253
query_cycle_4_3.graph,113911602.158,16578,948,1070,1070,1070
query_cycle_4_24.graph,135075327.0508,11000,632,834,834,834
query_cycle_4_23.graph,114374282.8555,16987,982,1123,1123,1123
query_cycle_4_31.graph,116131124.5479,10746,632,807,807,807
query_cycle_4_29.graph,117487998.5601,11546,662,857,857,857
query_cycle_4_32.graph,62409.2093,5773,82,579,579,579
query_cycle_4_35.graph,96992779.8444,11520,624,817,817,817
query_cycle_4_40.graph,238520.539,1842,78,206,206,206
query_cycle_4_4.graph,9836.6076,1546,54,233,233,233
query_cycle_4_13.graph,58033897.5565,46996,1793,1227,1227,1227
query_cycle_4_33.graph,124785184.8276,16955,1017,1118,1118,1118
query_cycle_4_22.graph,63119566.3213,46887,1846,1250,1250,1250
query_cycle_4_39.graph,99474049.9963,11577,637,818,818,818
query_cycle_4_38.graph,106025234.6083,16918,963,1099,1099,1099
query_cycle_4_37.graph,139621463.2614,11119,650,818,818,818
query_cycle_4_17.graph,2365504.903,43407,1277,2402,2402,2402
query_cycle_4_36.graph,124642864.8227,10924,633,811,811,811
query_cycle_4_42.graph,127928189.5212,16558,925,1059,1059,1059
query_cycle_4_45.graph,132331716.4276,11021,631,818,818,818
query_cycle_4_1.graph,65303354.8387,46775,1880,1283,1283,1283
query_cycle_4_47.graph,118479809.4881,10992,596,793,793,793
query_cycle_4_27.graph,125270183.1343,11547,654,834,834,834
query_cycle_4_49.graph,120481341.0761,10646,605,814,814,814
query_cycle_4_34.graph,1235023.424,46241,616,2426,2426,2426
query_cycle_4_7.graph,8315454.4377,8440,434,840,840,840
query_cycle_6_10.graph,4514397.6405,3954,271,257,257,257
query_cycle_6_11.graph,5163841429.4224,4798,293,325,325,325
query_cycle_4_5.graph,121923973.2194,11523,668,838,838,838
query_cycle_4_18.graph,63822820.5266,47035,1895,1311,1311,1311
query_cycle_4_9.graph,32498647.7462,11121,699,711,711,711
query_cycle_4_6.graph,109564034.1348,16754,943,1089,1089,1089
query_cycle_6_17.graph,5641.8202,2286,37,60,60,60
query_cycle_6_18.graph,79195102.1797,1617,98,110,110,110
query_cycle_6_15.graph,110558136.3918,8152,503,624,624,624
query_cycle_6_20.graph,88985719.2537,1879,94,171,171,171
query_cycle_6_28.graph,2416046.671,1118,43,118,118,118
query_cycle_6_27.graph,18175778.3406,1826,82,149,149,149
query_cycle_4_48.graph,3340492.7835,9807,470,1048,1048,1048
query_cycle_6_31.graph,8763221.4015,1166,67,124,124,124
query_cycle_6_21.graph,184788925.1112,4412,274,340,340,340
query_cycle_6_22.graph,181743320.6178,6760,394,524,524,524
query_cycle_6_29.graph,2989973309.7148,4983,399,306,306,306
query_cycle_4_28.graph,59145436.9982,46898,1653,1207,1207,1207
query_cycle_6_32.graph,10116301.1832,8728,244,320,320,320
query_cycle_4_41.graph,4724943.7632,53494,2612,1601,1601,1601
query_cycle_6_25.graph,1449845.075,15959,889,257,257,257
query_cycle_6_37.graph,83250.346,7913,385,397,397,397
query_cycle_6_39.graph,396998.9951,7348,177,372,372,372
query_cycle_6_1.graph,30867413.4709,19908,163,1252,1252,1252
query_cycle_6_43.graph,584967098.9073,3439,194,272,272,272
query_cycle_4_25.graph,5625137.2358,53692,2385,1730,1730,1730
query_cycle_6_42.graph,210384796.4569,5342,306,374,374,374
query_cycle_4_43.graph,67294292.6894,47110,2012,1223,1223,1223
query_cycle_6_16.graph,15029189.8291,25893,1052,999,999,999
query_cycle_6_35.graph,1289967.5828,14737,170,500,500,500
query_cycle_6_48.graph,82880.7269,2630,71,281,281,281
query_cycle_6_9.graph,5174927082.9581,4551,271,308,308,308
query_cycle_6_8.graph,191585316.4072,5756,329,464,464,464
query_cycle_6_45.graph,114881000.7082,7112,415,526,526,526
query_cycle_6_46.graph,3612240.1825,8382,418,251,251,251
query_cycle_8_0.graph,720404.1968,5028,13,359,359,359
query_cycle_8_10.graph,8679683.6616,1291,97,67,67,67
query_cycle_8_18.graph,307364.6552,1370,99,102,102,102
query_cycle_6_38.graph,11570481.2855,18135,239,258,258,258
query_cycle_8_23.graph,99705.5741,2340,22,65,65,65
query_cycle_8_12.graph,3390525.7506,3667,57,112,112,112
query_cycle_6_33.graph,74414570.2862,23804,888,706,706,706
query_cycle_8_26.graph,144348.9078,5579,32,368,368,368
query_cycle_4_46.graph,5008603.1596,53530,2243,1775,1775,1775
query_cycle_8_28.graph,0.0,4292,0,13,13,13
query_cycle_6_4.graph,223362452.0103,19962,530,831,831,831
query_cycle_8_3.graph,132720.7906,2598,245,86,86,86
query_cycle_6_6.graph,47344235.7117,21120,1013,580,580,580
query_cycle_6_40.graph,61531571.6316,25517,907,891,891,891
