query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_6_18.graph,1,0.1,160,1651.0,1484.46591,0.10086861901877656,128,18,146,UN
query_cycle_6_18.graph,2,0.1,160,1651.0,649.4555899999999,0.6066289582071472,127,15,142,UN
query_cycle_6_18.graph,3,0.1,160,1651.0,1020.5700625,0.3818473273773471,125,13,138,UN
query_cycle_6_18.graph,4,0.1,160,1651.0,1206.1278,0.2694562083585706,126,11,137,UN
query_cycle_6_18.graph,5,0.1,160,1651.0,1484.4649075,0.10086922622652938,120,16,136,UN
query_cycle_6_18.graph,1,0.1,160,1651.0,1530.60816153139,0.07292055631048462,77,80,157,PO
query_cycle_6_18.graph,2,0.1,160,1651.0,1491.0584629621299,0.0968755524154271,77,72,149,PO
query_cycle_6_18.graph,3,0.1,160,1651.0,1295.9501634965347,0.21505138492033027,78,76,154,PO
query_cycle_6_18.graph,4,0.1,160,1651.0,1381.8988653840124,0.1629928132138023,76,76,152,PO
query_cycle_6_18.graph,5,0.1,160,1651.0,1520.584925144755,0.07899156563006962,78,76,154,PO
query_cycle_6_18.graph,1,0.1,160,1651.0,426.75553430471757,0.7415169386403891,88,6,94,WO
query_cycle_6_18.graph,2,0.1,160,1651.0,1362.9285939444603,0.17448298367991502,84,8,92,WO
query_cycle_6_18.graph,3,0.1,160,1651.0,426.75553430471757,0.7415169386403891,80,5,85,WO
query_cycle_6_18.graph,4,0.1,160,1651.0,1313.5236423900724,0.20440724264683685,84,10,94,WO
query_cycle_6_18.graph,5,0.1,160,1651.0,1117.2588862221794,0.3232835334814177,83,12,95,WO
query_cycle_6_18.graph,1,0.1,160,1651.0,1270.9045483017087,0.2302213517251916,77,47,124,MAB
query_cycle_6_18.graph,2,0.1,160,1651.0,0.0,1.0,122,8,130,MAB
query_cycle_6_18.graph,3,0.1,160,1651.0,1481.3916027474763,0.10273070699728871,76,50,126,MAB
query_cycle_6_18.graph,4,0.1,160,1651.0,0.0,1.0,125,6,131,MAB
query_cycle_6_18.graph,5,0.1,160,1651.0,660.6495069035385,0.5998488752855612,128,10,138,MAB
query_cycle_6_18.graph,1,0.1,160,1651.0,1618.9526793770617,0.019410854405171585,69,53,122,8_POSSA
query_cycle_6_18.graph,2,0.1,160,1651.0,1586.522171565071,0.03905380280734649,73,52,125,8_POSSA
query_cycle_6_18.graph,3,0.1,160,1651.0,1461.987339948213,0.11448374321731493,73,50,123,8_POSSA
query_cycle_6_18.graph,4,0.1,160,1651.0,1402.0088392666019,0.15081233236426295,73,54,127,8_POSSA
query_cycle_6_18.graph,5,0.1,160,1651.0,1582.1950519356085,0.04167471112319292,68,50,118,8_POSSA
query_cycle_4_40.graph,1,0.1,184,68.0,70.571625,0.037818014705882315,176,11,187,UN
query_cycle_4_40.graph,2,0.1,184,68.0,108.73806521739132,0.5990891943734018,184,20,204,UN
query_cycle_4_40.graph,3,0.1,184,68.0,60.489678260869574,0.11044590792838861,176,10,186,UN
query_cycle_4_40.graph,4,0.1,184,68.0,77.77144239130435,0.14369768222506393,174,10,184,UN
query_cycle_4_40.graph,5,0.1,184,68.0,70.21023260869565,0.03250342071611247,173,17,190,UN
query_cycle_4_40.graph,1,0.1,184,68.0,65.80997887238507,0.032206193053160685,150,82,232,PO
query_cycle_4_40.graph,2,0.1,184,68.0,63.3291291901775,0.0686892766150368,144,87,231,PO
query_cycle_4_40.graph,3,0.1,184,68.0,64.82951473737039,0.046624783273964875,150,87,237,PO
query_cycle_4_40.graph,4,0.1,184,68.0,63.3291291901775,0.0686892766150368,144,83,227,PO
query_cycle_4_40.graph,5,0.1,184,68.0,67.11770877978007,0.01297487088558715,148,80,228,PO
query_cycle_4_40.graph,1,0.1,184,68.0,70.92341261003078,0.04299136191221736,175,16,191,WO
query_cycle_4_40.graph,2,0.1,184,68.0,77.97837945295525,0.1467408743081655,178,16,194,WO
query_cycle_4_40.graph,3,0.1,184,68.0,140.6108282350542,1.0678062975743268,175,17,192,WO
query_cycle_4_40.graph,4,0.1,184,68.0,93.95469210883208,0.38168664865929525,175,17,192,WO
query_cycle_4_40.graph,5,0.1,184,68.0,32.79418345020217,0.5177325963205563,174,8,182,WO
query_cycle_4_40.graph,1,0.1,184,68.0,71.01887325726182,0.0443951949597326,155,78,233,MAB
query_cycle_4_40.graph,2,0.1,184,68.0,65.17069778389696,0.04160738553092713,156,76,232,MAB
query_cycle_4_40.graph,3,0.1,184,68.0,66.78686251966933,0.017840257063686363,155,67,222,MAB
query_cycle_4_40.graph,4,0.1,184,68.0,66.947035071491,0.015484778360426454,155,74,229,MAB
query_cycle_4_40.graph,5,0.1,184,68.0,67.41959643677306,0.0085353465180432,154,72,226,MAB
query_cycle_4_40.graph,1,0.1,184,68.0,70.1906606019318,0.032215597087232296,151,82,233,8_POSSA
query_cycle_4_40.graph,2,0.1,184,68.0,68.36564191842001,0.005377087035588388,151,83,234,8_POSSA
query_cycle_4_40.graph,3,0.1,184,68.0,73.56836468297925,0.08188771592616545,153,79,232,8_POSSA
query_cycle_4_40.graph,4,0.1,184,68.0,73.050141375849,0.0742667849389558,149,77,226,8_POSSA
