query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_10.graph,1,0.1,809,4812012.0,9813572.233,1.0393906401314044,742,57,799,UN
query_cycle_4_10.graph,2,0.1,809,4812012.0,4648044.659,0.034074591044245116,738,49,787,UN
query_cycle_4_10.graph,3,0.1,809,4812012.0,4712697.27,0.020638919853067792,738,60,798,UN
query_cycle_4_10.graph,4,0.1,809,4812012.0,4762349.43,0.010320541594659427,733,65,798,UN
query_cycle_4_10.graph,5,0.1,809,4812012.0,4144186.609000001,0.13878298537077607,736,53,789,UN
query_cycle_4_10.graph,1,0.1,809,4812012.0,4944186.315493046,0.027467578113488975,513,373,886,PO
query_cycle_4_10.graph,2,0.1,809,4812012.0,6064181.522076446,0.26021745624833137,512,368,880,PO
query_cycle_4_10.graph,3,0.1,809,4812012.0,4993746.247478437,0.03776679016561818,515,376,891,PO
query_cycle_4_10.graph,4,0.1,809,4812012.0,4968929.980920743,0.0326096404000537,519,366,885,PO
query_cycle_4_10.graph,5,0.1,809,4812012.0,5373883.893410182,0.11676444144573656,511,375,886,PO
query_cycle_4_10.graph,1,0.1,809,4812012.0,5093033.2675100425,0.05839995151924861,531,78,609,WO
query_cycle_4_10.graph,2,0.1,809,4812012.0,4558907.069539444,0.05259856593469767,557,74,631,WO
query_cycle_4_10.graph,3,0.1,809,4812012.0,4258741.695615194,0.11497691701201207,547,67,614,WO
query_cycle_4_10.graph,4,0.1,809,4812012.0,5498947.5765585,0.14275433572453677,534,77,611,WO
query_cycle_4_10.graph,5,0.1,809,4812012.0,5884068.018750483,0.22278747824204992,549,81,630,WO
query_cycle_4_10.graph,1,0.1,809,4812012.0,5250253.15239364,0.09107233157224878,539,249,788,MAB
query_cycle_4_10.graph,2,0.1,809,4812012.0,5399916.292181093,0.12217431963617158,483,318,801,MAB
query_cycle_4_10.graph,3,0.1,809,4812012.0,5834026.448562614,0.2123881753750019,470,335,805,MAB
query_cycle_4_10.graph,4,0.1,809,4812012.0,4916257.279827251,0.021663553587823785,471,330,801,MAB
query_cycle_4_10.graph,5,0.1,809,4812012.0,5080774.181777867,0.055852350696105196,536,254,790,MAB
query_cycle_4_10.graph,1,0.1,809,4812012.0,5083383.983874159,0.056394702231448914,458,323,781,8_POSSA
query_cycle_4_10.graph,2,0.1,809,4812012.0,5130007.649290886,0.06608371909523206,461,335,796,8_POSSA
query_cycle_4_10.graph,3,0.1,809,4812012.0,5140733.888868133,0.06831277413026664,466,338,804,8_POSSA
query_cycle_4_10.graph,4,0.1,809,4812012.0,5145978.123219405,0.06940259567503267,454,339,793,8_POSSA
query_cycle_4_10.graph,5,0.1,809,4812012.0,5152079.812194856,0.07067060767821358,466,334,800,8_POSSA
query_cycle_4_16.graph,1,0.1,824,6444164.0,19433391.94082694,2.015657568743896,738,63,801,UN
query_cycle_4_16.graph,2,0.1,824,6444164.0,3100038.8143400485,0.5189385598597354,738,54,792,UN
query_cycle_4_16.graph,3,0.1,824,6444164.0,5741316.188150483,0.10906733780355633,739,53,792,UN
query_cycle_4_16.graph,4,0.1,824,6444164.0,7529404.727995873,0.16840675190697713,736,57,793,UN
query_cycle_4_16.graph,5,0.1,824,6444164.0,6474856.960132767,0.0047629079788732015,762,61,823,UN
query_cycle_4_16.graph,1,0.1,824,6444164.0,8341303.809212069,0.2943965748252324,505,389,894,PO
query_cycle_4_16.graph,2,0.1,824,6444164.0,7595784.314926804,0.17870748089694863,502,388,890,PO
query_cycle_4_16.graph,3,0.1,824,6444164.0,7419844.981541631,0.15140536174151228,512,395,907,PO
query_cycle_4_16.graph,4,0.1,824,6444164.0,7503167.873205301,0.1643353386421111,512,401,913,PO
query_cycle_4_16.graph,5,0.1,824,6444164.0,7374950.963612921,0.14443874544672056,510,393,903,PO
query_cycle_4_16.graph,1,0.1,824,6444164.0,7748420.076910044,0.2023933712596458,527,89,616,WO
query_cycle_4_16.graph,2,0.1,824,6444164.0,7059979.310366299,0.09556170674214669,544,85,629,WO
query_cycle_4_16.graph,3,0.1,824,6444164.0,7746929.943217362,0.2021621335548509,538,87,625,WO
query_cycle_4_16.graph,4,0.1,824,6444164.0,7248069.940822894,0.12474945405220814,567,84,651,WO
query_cycle_4_16.graph,5,0.1,824,6444164.0,8583090.177284753,0.3319167819572489,545,93,638,WO
query_cycle_4_16.graph,1,0.1,824,6444164.0,6934334.855054554,0.0760643048585594,477,344,821,MAB
query_cycle_4_16.graph,2,0.1,824,6444164.0,7288123.069284022,0.13096486515303177,473,344,817,MAB
query_cycle_4_16.graph,3,0.1,824,6444164.0,7574421.12145471,0.17539235833456598,475,348,823,MAB
query_cycle_4_16.graph,4,0.1,824,6444164.0,7445242.261974948,0.15534649055718452,474,341,815,MAB
query_cycle_4_16.graph,5,0.1,824,6444164.0,7551339.90910695,0.17181063503457553,471,353,824,MAB
query_cycle_4_16.graph,1,0.1,824,6444164.0,7582303.454417314,0.17661553219584641,461,350,811,8_POSSA
query_cycle_4_16.graph,2,0.1,824,6444164.0,7580487.575834669,0.1763337456704499,458,355,813,8_POSSA
query_cycle_4_16.graph,3,0.1,824,6444164.0,7583715.872598279,0.17683471007228854,463,357,820,8_POSSA
query_cycle_4_16.graph,4,0.1,824,6444164.0,7771536.843303395,0.20598061180680619,468,366,834,8_POSSA
query_cycle_4_16.graph,5,0.1,824,6444164.0,7564483.179082035,0.17385019671784194,471,351,822,8_POSSA
query_cycle_4_0.graph,1,0.1,1151,65529001.0,61045702.26023284,0.06841701645607502,884,86,970,UN
query_cycle_4_0.graph,2,0.1,1151,65529001.0,31789089.58738523,0.5148851790463702,856,90,946,UN
query_cycle_4_0.graph,3,0.1,1151,65529001.0,45601798.335350476,0.304097458538236,886,96,982,UN
query_cycle_4_0.graph,4,0.1,1151,65529001.0,43533864.30327022,0.33565499795624504,837,89,926,UN
query_cycle_4_0.graph,5,0.1,1151,65529001.0,133107228.54065713,1.031272055263854,889,100,989,UN
query_cycle_4_0.graph,1,0.1,1151,65529001.0,65228122.8626763,0.0045915263888076045,503,590,1093,PO
query_cycle_4_0.graph,2,0.1,1151,65529001.0,66267477.45539874,0.0112694599967843,491,581,1072,PO
query_cycle_4_0.graph,3,0.1,1151,65529001.0,65087009.26386032,0.00674497900768665,508,581,1089,PO
query_cycle_4_0.graph,4,0.1,1151,65529001.0,65808571.97176696,0.004266370118582513,501,590,1091,PO
query_cycle_4_0.graph,5,0.1,1151,65529001.0,76060422.2600437,0.16071389917944415,506,584,1090,PO
query_cycle_4_0.graph,1,0.1,1151,65529001.0,64642778.010973595,0.013524133978883714,377,129,506,WO
query_cycle_4_0.graph,2,0.1,1151,65529001.0,68147273.71042337,0.0399559381413943,378,133,511,WO
