query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_0.graph,1,0.01,115,6444.6303107789145,7568.277183918486,0.17435396895617505,75,59,134,8_POSSA
query_cycle_4_0.graph,2,0.01,115,6444.6303107789145,5879.419676446805,0.08770256897230719,73,60,133,8_POSSA
query_cycle_4_0.graph,3,0.01,115,6444.6303107789145,6352.763937100557,0.014254715825158661,81,58,139,8_POSSA
query_cycle_4_0.graph,4,0.01,115,6444.6303107789145,7589.7643362408835,0.17768808608721656,79,55,134,8_POSSA
query_cycle_4_0.graph,5,0.01,115,6444.6303107789145,7245.703094638531,0.12430081249498344,78,48,126,8_POSSA
query_cycle_4_0.graph,1,0.05,579,6444.6303107789145,7002.005203038177,0.08648671302790314,272,263,535,8_POSSA
query_cycle_4_0.graph,2,0.05,579,6444.6303107789145,5916.821351675932,0.08189902812892144,267,271,538,8_POSSA
query_cycle_4_0.graph,3,0.05,579,6444.6303107789145,7083.405926817157,0.09911749553265504,282,269,551,8_POSSA
query_cycle_4_0.graph,4,0.05,579,6444.6303107789145,6107.375055903525,0.05233120266205429,276,271,547,8_POSSA
query_cycle_4_0.graph,5,0.05,579,6444.6303107789145,6460.051831836856,0.0023929256317694824,283,278,561,8_POSSA
query_cycle_4_0.graph,1,0.075,869,6444.6303107789145,6763.658017704007,0.04950287162189974,389,386,775,8_POSSA
query_cycle_4_0.graph,2,0.075,869,6444.6303107789145,6509.757671097031,0.010105678243356791,375,387,762,8_POSSA
query_cycle_4_0.graph,3,0.075,869,6444.6303107789145,6194.88721696561,0.03875212103254379,389,407,796,8_POSSA
query_cycle_4_0.graph,4,0.075,869,6444.6303107789145,6400.703149814883,0.006816087012867411,370,393,763,8_POSSA
query_cycle_4_0.graph,5,0.075,869,6444.6303107789145,6734.074556159793,0.044912466879096405,376,383,759,8_POSSA
query_cycle_4_0.graph,1,0.1,1159,6444.6303107789145,6401.2252903891485,0.006735067536328532,474,519,993,8_POSSA
query_cycle_4_0.graph,2,0.1,1159,6444.6303107789145,6284.134003567081,0.024903881133941333,477,500,977,8_POSSA
query_cycle_4_0.graph,3,0.1,1159,6444.6303107789145,6423.850179280614,0.0032244101672589537,477,526,1003,8_POSSA
query_cycle_4_0.graph,4,0.1,1159,6444.6303107789145,6484.30151109059,0.006155698371918041,496,537,1033,8_POSSA
query_cycle_4_0.graph,5,0.1,1159,6444.6303107789145,6244.574489591019,0.03104224936739869,495,511,1006,8_POSSA
query_cycle_4_0.graph,1,0.125,1449,6444.6303107789145,6475.490728536575,0.004788547406054534,601,630,1231,8_POSSA
query_cycle_4_0.graph,2,0.125,1449,6444.6303107789145,6355.859591840652,0.013774369460695044,607,630,1237,8_POSSA
query_cycle_4_0.graph,3,0.125,1449,6444.6303107789145,6489.061256141394,0.00689425819944498,603,620,1223,8_POSSA
query_cycle_4_0.graph,4,0.125,1449,6444.6303107789145,6604.659654958917,0.02483142344291595,594,631,1225,8_POSSA
query_cycle_4_0.graph,5,0.125,1449,6444.6303107789145,6556.6952394788705,0.01738888396942222,602,629,1231,8_POSSA
query_cycle_4_0.graph,1,0.15,1739,6444.6303107789145,6478.795555500878,0.00530135059334919,708,726,1434,8_POSSA
query_cycle_4_0.graph,2,0.15,1739,6444.6303107789145,6275.103997575843,0.026305048548639246,705,738,1443,8_POSSA
