query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_10.graph,1,0.01,83,17947.0,15765.17903317481,0.12157023273110767,70,37,107,8_POSSA
query_cycle_4_10.graph,2,0.01,83,17947.0,20028.14162852365,0.11596041837207602,74,36,110,8_POSSA
query_cycle_4_10.graph,3,0.01,83,17947.0,16228.041292997365,0.09577972402087455,70,36,106,8_POSSA
query_cycle_4_10.graph,4,0.01,83,17947.0,15988.236661816394,0.10914154667541126,72,34,106,8_POSSA
query_cycle_4_10.graph,5,0.01,83,17947.0,13763.495224433522,0.23310329166804916,73,28,101,8_POSSA
query_cycle_4_10.graph,1,0.05,415,17947.0,19806.340345357374,0.10360173540744268,281,183,464,8_POSSA
query_cycle_4_10.graph,2,0.05,415,17947.0,18224.7486594566,0.015476049448743515,278,174,452,8_POSSA
query_cycle_4_10.graph,3,0.05,415,17947.0,18900.895841131387,0.0531507127169659,267,180,447,8_POSSA
query_cycle_4_10.graph,4,0.05,415,17947.0,19070.965722208064,0.06262694167315229,272,179,451,8_POSSA
query_cycle_4_10.graph,5,0.05,415,17947.0,18318.94217799334,0.020724476402370313,275,178,453,8_POSSA
query_cycle_4_10.graph,1,0.075,623,17947.0,18058.692861313953,0.0062234836637852274,413,269,682,8_POSSA
query_cycle_4_10.graph,2,0.075,623,17947.0,18557.906932860387,0.034039501468790735,411,252,663,8_POSSA
query_cycle_4_10.graph,3,0.075,623,17947.0,17889.377620982657,0.003210696997678866,413,268,681,8_POSSA
query_cycle_4_10.graph,4,0.075,623,17947.0,18345.935573269344,0.022228538099367243,406,263,669,8_POSSA
query_cycle_4_10.graph,5,0.075,623,17947.0,18636.021359084607,0.038392007526862816,416,248,664,8_POSSA
query_cycle_4_10.graph,1,0.1,831,17947.0,18024.90181057378,0.004340659195062205,535,340,875,8_POSSA
query_cycle_4_10.graph,2,0.1,831,17947.0,18153.574253068837,0.011510238650963208,547,321,868,8_POSSA
query_cycle_4_10.graph,3,0.1,831,17947.0,18274.793497564977,0.01826452875494383,537,333,870,8_POSSA
query_cycle_4_10.graph,4,0.1,831,17947.0,18108.901019488214,0.009021063101811664,545,334,879,8_POSSA
query_cycle_4_10.graph,5,0.1,831,17947.0,17770.306328963834,0.009845304008255756,533,313,846,8_POSSA
query_cycle_4_10.graph,1,0.125,1039,17947.0,17924.760319793833,0.0012391865050519122,676,399,1075,8_POSSA
query_cycle_4_10.graph,2,0.125,1039,17947.0,18209.41710840116,0.014621781267128845,664,405,1069,8_POSSA
query_cycle_4_10.graph,3,0.125,1039,17947.0,17702.71461737068,0.013611488417525004,664,387,1051,8_POSSA
query_cycle_4_10.graph,4,0.125,1039,17947.0,18306.83166132815,0.02004968302937257,668,388,1056,8_POSSA
query_cycle_4_10.graph,5,0.125,1039,17947.0,18439.141999456395,0.027421964643472158,666,395,1061,8_POSSA
query_cycle_4_10.graph,1,0.15,1247,17947.0,18267.001837846517,0.01783038044500571,796,436,1232,8_POSSA
query_cycle_4_10.graph,2,0.15,1247,17947.0,18180.672001409424,0.01302011486094748,793,436,1229,8_POSSA
query_cycle_4_10.graph,3,0.15,1247,17947.0,18227.77654540851,0.015644762099989374,790,426,1216,8_POSSA
query_cycle_4_10.graph,4,0.15,1247,17947.0,18205.37195475452,0.01439638684763575,790,432,1222,8_POSSA
query_cycle_4_10.graph,5,0.15,1247,17947.0,18149.262732687686,0.011270002378541616,801,427,1228,8_POSSA
query_cycle_4_10.graph,1,0.2,1663,17947.0,18097.988803818876,0.008413038603603748,1047,495,1542,8_POSSA
query_cycle_4_10.graph,2,0.2,1663,17947.0,18097.98880381888,0.008413038603603951,1048,495,1543,8_POSSA
query_cycle_4_10.graph,3,0.2,1663,17947.0,18097.988803818876,0.008413038603603748,1048,491,1539,8_POSSA
query_cycle_4_10.graph,4,0.2,1663,17947.0,18059.49779998194,0.0062683345395853594,1038,491,1529,8_POSSA
query_cycle_4_10.graph,5,0.2,1663,17947.0,18097.98880381888,0.008413038603603951,1050,490,1540,8_POSSA
query_cycle_4_10.graph,1,0.3,2495,17947.0,18092.249899981907,0.008093269069031439,1651,530,2181,8_POSSA
query_cycle_4_10.graph,2,0.3,2495,17947.0,18092.249899981907,0.008093269069031439,1662,528,2190,8_POSSA
query_cycle_4_10.graph,3,0.3,2495,17947.0,18092.249899981907,0.008093269069031439,1649,532,2181,8_POSSA
query_cycle_4_10.graph,4,0.3,2495,17947.0,18092.249899981907,0.008093269069031439,1654,530,2184,8_POSSA
query_cycle_4_10.graph,5,0.3,2495,17947.0,18092.249899981907,0.008093269069031439,1646,522,2168,8_POSSA
query_cycle_4_10.graph,1,0.4,3326,17947.0,18092.249899981907,0.008093269069031439,2206,558,2764,8_POSSA
query_cycle_4_10.graph,2,0.4,3326,17947.0,18092.249899981907,0.008093269069031439,2160,562,2722,8_POSSA
query_cycle_4_10.graph,3,0.4,3326,17947.0,18092.249899981904,0.008093269069031236,2192,561,2753,8_POSSA
query_cycle_4_10.graph,4,0.4,3326,17947.0,18092.249899981907,0.008093269069031439,2190,561,2751,8_POSSA
query_cycle_4_10.graph,5,0.4,3326,17947.0,18092.249899981907,0.008093269069031439,2192,554,2746,8_POSSA
query_cycle_4_10.graph,1,0.5,4158,17947.0,18092.249899981904,0.008093269069031236,2715,570,3285,8_POSSA
query_cycle_4_10.graph,2,0.5,4158,17947.0,18092.249899981907,0.008093269069031439,2700,569,3269,8_POSSA
query_cycle_4_10.graph,3,0.5,4158,17947.0,18092.249899981907,0.008093269069031439,2707,570,3277,8_POSSA
query_cycle_4_10.graph,4,0.5,4158,17947.0,18092.249899981907,0.008093269069031439,2703,571,3274,8_POSSA
query_cycle_4_10.graph,5,0.5,4158,17947.0,18092.249899981904,0.008093269069031236,2715,570,3285,8_POSSA
query_cycle_4_10.graph,1,0.6,4990,17947.0,18092.249899981907,0.008093269069031439,3222,572,3794,8_POSSA
