query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_10.graph,1,0.01,80,0.0,7207823.619667201,7207823.619667201,60,34,94,8_POSSA
query_cycle_4_10.graph,2,0.01,80,0.0,3207095.626873815,3207095.626873815,54,30,84,8_POSSA
query_cycle_4_10.graph,3,0.01,80,0.0,4330642.886023398,4330642.886023398,53,30,83,8_POSSA
query_cycle_4_10.graph,4,0.01,80,0.0,3827505.043253333,3827505.043253333,53,30,83,8_POSSA
query_cycle_4_10.graph,5,0.01,80,0.0,4910846.744842276,4910846.744842276,59,34,93,8_POSSA
query_cycle_4_10.graph,1,0.05,404,0.0,5481481.773083244,5481481.773083244,222,181,403,8_POSSA
query_cycle_4_10.graph,2,0.05,404,0.0,5444334.7907008305,5444334.7907008305,229,181,410,8_POSSA
query_cycle_4_10.graph,3,0.05,404,0.0,5427010.163473669,5427010.163473669,223,187,410,8_POSSA
query_cycle_4_10.graph,4,0.05,404,0.0,5267731.564026035,5267731.564026035,220,179,399,8_POSSA
query_cycle_4_10.graph,5,0.05,404,0.0,5385817.26971809,5385817.26971809,222,177,399,8_POSSA
query_cycle_4_10.graph,1,0.075,606,0.0,5057773.291054805,5057773.291054805,335,262,597,8_POSSA
query_cycle_4_10.graph,2,0.075,606,0.0,4996052.282566622,4996052.282566622,344,244,588,8_POSSA
query_cycle_4_10.graph,3,0.075,606,0.0,5020766.78976168,5020766.78976168,336,264,600,8_POSSA
query_cycle_4_10.graph,4,0.075,606,0.0,5287959.350883404,5287959.350883404,332,265,597,8_POSSA
query_cycle_4_10.graph,5,0.075,606,0.0,4990593.377249721,4990593.377249721,341,263,604,8_POSSA
query_cycle_4_10.graph,1,0.1,809,0.0,5142807.094446013,5142807.094446013,457,326,783,8_POSSA
query_cycle_4_10.graph,2,0.1,809,0.0,5197873.680660706,5197873.680660706,459,333,792,8_POSSA
query_cycle_4_10.graph,3,0.1,809,0.0,5166339.816111844,5166339.816111844,457,333,790,8_POSSA
query_cycle_4_10.graph,4,0.1,809,0.0,5133724.377020696,5133724.377020696,466,325,791,8_POSSA
query_cycle_4_10.graph,5,0.1,809,0.0,5128523.018887017,5128523.018887017,471,331,802,8_POSSA
query_cycle_4_10.graph,1,0.125,1011,0.0,5172037.966415169,5172037.966415169,595,395,990,8_POSSA
query_cycle_4_10.graph,2,0.125,1011,0.0,5192895.443984844,5192895.443984844,571,405,976,8_POSSA
query_cycle_4_10.graph,3,0.125,1011,0.0,5190832.443684004,5190832.443684004,587,401,988,8_POSSA
query_cycle_4_10.graph,4,0.125,1011,0.0,5183728.2074505,5183728.2074505,590,391,981,8_POSSA
query_cycle_4_10.graph,5,0.125,1011,0.0,5188600.153135549,5188600.153135549,587,402,989,8_POSSA
query_cycle_4_10.graph,1,0.15,1213,0.0,5178665.622454964,5178665.622454964,710,445,1155,8_POSSA
query_cycle_4_10.graph,2,0.15,1213,0.0,5274247.302620799,5274247.302620799,712,445,1157,8_POSSA
query_cycle_4_10.graph,3,0.15,1213,0.0,5191193.005743674,5191193.005743674,711,438,1149,8_POSSA
query_cycle_4_10.graph,4,0.15,1213,0.0,5190994.332651104,5190994.332651104,714,446,1160,8_POSSA
query_cycle_4_10.graph,5,0.15,1213,0.0,5196181.744987808,5196181.744987808,715,452,1167,8_POSSA
query_cycle_4_10.graph,1,0.2,1618,0.0,5189844.237566164,5189844.237566164,930,498,1428,8_POSSA
query_cycle_4_10.graph,2,0.2,1618,0.0,5189721.667905914,5189721.667905914,927,499,1426,8_POSSA
query_cycle_4_10.graph,3,0.2,1618,0.0,5189721.667905914,5189721.667905914,928,498,1426,8_POSSA
query_cycle_4_10.graph,4,0.2,1618,0.0,5189721.667905914,5189721.667905914,926,498,1424,8_POSSA
query_cycle_4_10.graph,5,0.2,1618,0.0,5189705.16379481,5189705.16379481,918,497,1415,8_POSSA
query_cycle_4_10.graph,1,0.3,2427,0.0,5189970.305827772,5189970.305827772,1481,525,2006,8_POSSA
query_cycle_4_10.graph,2,0.3,2427,0.0,5194380.650639268,5194380.650639268,1483,525,2008,8_POSSA
