query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_10.graph,1,0.1,831,17947.0,18071.12372982029,0.006916126919278457,560,322,882,POSSA_Q1_Best
query_cycle_4_10.graph,2,0.1,831,17947.0,17893.476646157902,0.0029823008771437012,549,315,864,POSSA_Q1_Best
query_cycle_4_10.graph,3,0.1,831,17947.0,17732.70609983775,0.011940374444879411,545,339,884,POSSA_Q1_Best
query_cycle_4_10.graph,4,0.1,831,17947.0,18547.872042818697,0.033480361220187056,552,323,875,POSSA_Q1_Best
query_cycle_4_10.graph,5,0.1,831,17947.0,17846.710677211384,0.005588082843295042,552,330,882,POSSA_Q1_Best
query_cycle_4_10.graph,1,0.1,831,17947.0,18225.083091554214,0.015494683877763066,567,313,880,POSSA_Q2_High
query_cycle_4_10.graph,2,0.1,831,17947.0,18109.853046444026,0.009074109680950933,567,303,870,POSSA_Q2_High
query_cycle_4_10.graph,3,0.1,831,17947.0,18205.238317225627,0.014388940615458116,574,322,896,POSSA_Q2_High
query_cycle_4_10.graph,4,0.1,831,17947.0,18525.03343491334,0.03220780269200094,561,317,878,POSSA_Q2_High
query_cycle_4_10.graph,5,0.1,831,17947.0,18277.930864741997,0.01843934165832711,576,320,896,POSSA_Q2_High
query_cycle_4_10.graph,1,0.1,831,17947.0,20935.068472611332,0.16649403647469393,565,313,878,POSSA_Q3_Med
query_cycle_4_10.graph,2,0.1,831,17947.0,17964.016185224235,0.0009481353554485154,562,314,876,POSSA_Q3_Med
query_cycle_4_10.graph,3,0.1,831,17947.0,19833.8666979131,0.10513549328094396,564,320,884,POSSA_Q3_Med
query_cycle_4_10.graph,4,0.1,831,17947.0,18047.666150942026,0.005609079564385493,573,311,884,POSSA_Q3_Med
query_cycle_4_10.graph,5,0.1,831,17947.0,18652.232705649778,0.039295297578970184,560,315,875,POSSA_Q3_Med
query_cycle_4_10.graph,1,0.1,831,17947.0,18063.054639057456,0.006466520257282909,573,266,839,POSSA_Q4_Low
query_cycle_4_10.graph,2,0.1,831,17947.0,17024.14281283373,0.05142125074754954,585,251,836,POSSA_Q4_Low
query_cycle_4_10.graph,3,0.1,831,17947.0,16516.976897759305,0.0796803422433106,570,251,821,POSSA_Q4_Low
query_cycle_4_10.graph,4,0.1,831,17947.0,17864.13118059597,0.004617419034046339,580,258,838,POSSA_Q4_Low
query_cycle_4_10.graph,5,0.1,831,17947.0,17591.271289182423,0.019821068190648963,582,262,844,POSSA_Q4_Low
query_cycle_4_21.graph,1,0.1,1077,11539.0,11280.344751591723,0.02241574212741804,462,493,955,POSSA_Q1_Best
query_cycle_4_21.graph,2,0.1,1077,11539.0,11212.58111333677,0.028288316722699568,472,488,960,POSSA_Q1_Best
query_cycle_4_21.graph,3,0.1,1077,11539.0,11050.379403329713,0.04234514227145224,471,499,970,POSSA_Q1_Best
query_cycle_4_21.graph,4,0.1,1077,11539.0,11084.263818303327,0.03940863001097783,464,493,957,POSSA_Q1_Best
query_cycle_4_21.graph,5,0.1,1077,11539.0,11082.341656829876,0.03957520956496436,459,483,942,POSSA_Q1_Best
query_cycle_4_21.graph,1,0.1,1077,11539.0,11684.06992492352,0.012572140126832514,501,460,961,POSSA_Q2_High
query_cycle_4_21.graph,2,0.1,1077,11539.0,13514.088421752347,0.17116634212257104,496,470,966,POSSA_Q2_High
query_cycle_4_21.graph,3,0.1,1077,11539.0,11160.919627731428,0.032765436542904265,505,459,964,POSSA_Q2_High
query_cycle_4_21.graph,4,0.1,1077,11539.0,10725.414348767234,0.07050746609175547,517,458,975,POSSA_Q2_High
query_cycle_4_21.graph,5,0.1,1077,11539.0,11240.56504524656,0.02586315579802758,501,467,968,POSSA_Q2_High
query_cycle_4_21.graph,1,0.1,1077,11539.0,10834.485289385835,0.061055092348918004,502,482,984,POSSA_Q3_Med
query_cycle_4_21.graph,2,0.1,1077,11539.0,11624.984597008544,0.007451650663709539,504,494,998,POSSA_Q3_Med
query_cycle_4_21.graph,3,0.1,1077,11539.0,10963.978615825778,0.04983286109491485,492,492,984,POSSA_Q3_Med
query_cycle_4_21.graph,4,0.1,1077,11539.0,12398.80757712034,0.0745131794020574,483,492,975,POSSA_Q3_Med
query_cycle_4_21.graph,5,0.1,1077,11539.0,10854.685848536092,0.059304458918789174,492,480,972,POSSA_Q3_Med
query_cycle_4_21.graph,1,0.1,1077,11539.0,11255.385919781267,0.02457873994442611,478,389,867,POSSA_Q4_Low
query_cycle_4_21.graph,2,0.1,1077,11539.0,11268.56872114305,0.02343628380769127,469,412,881,POSSA_Q4_Low
query_cycle_4_21.graph,3,0.1,1077,11539.0,10542.479230653425,0.08636110315855573,488,398,886,POSSA_Q4_Low
query_cycle_4_21.graph,4,0.1,1077,11539.0,11270.819664038674,0.02324121119345922,465,403,868,POSSA_Q4_Low
query_cycle_4_21.graph,5,0.1,1077,11539.0,11104.448248195844,0.03765939438462224,474,408,882,POSSA_Q4_Low
query_cycle_4_19.graph,1,0.1,1088,11052.0,10944.98615889984,0.00968275797142244,449,507,956,POSSA_Q1_Best
query_cycle_4_19.graph,2,0.1,1088,11052.0,10771.962515134795,0.025338172716721365,447,499,946,POSSA_Q1_Best
query_cycle_4_19.graph,3,0.1,1088,11052.0,10952.25080517413,0.009025442890505816,445,513,958,POSSA_Q1_Best
query_cycle_4_19.graph,4,0.1,1088,11052.0,10791.207162307153,0.023596890851687174,458,499,957,POSSA_Q1_Best
query_cycle_4_19.graph,5,0.1,1088,11052.0,10939.13671166666,0.010212023917240262,457,521,978,POSSA_Q1_Best
query_cycle_4_19.graph,1,0.1,1088,11052.0,11586.541460672692,0.048366038786888506,482,469,951,POSSA_Q2_High
query_cycle_4_19.graph,2,0.1,1088,11052.0,10540.984161276192,0.04623740849835396,485,469,954,POSSA_Q2_High
query_cycle_4_19.graph,3,0.1,1088,11052.0,10713.135629826884,0.030660909353340225,492,469,961,POSSA_Q2_High
query_cycle_4_19.graph,4,0.1,1088,11052.0,10480.179059781469,0.05173913682759059,491,465,956,POSSA_Q2_High
query_cycle_4_19.graph,5,0.1,1088,11052.0,11044.581622181222,0.0006712249202658366,502,487,989,POSSA_Q2_High
query_cycle_4_19.graph,1,0.1,1088,11052.0,11440.72192787656,0.0351720890224901,462,503,965,POSSA_Q3_Med
query_cycle_4_19.graph,2,0.1,1088,11052.0,11320.793221493946,0.024320776465250313,474,511,985,POSSA_Q3_Med
query_cycle_4_19.graph,3,0.1,1088,11052.0,10288.861211117835,0.0690498361275936,492,506,998,POSSA_Q3_Med
query_cycle_4_19.graph,4,0.1,1088,11052.0,11144.614339716867,0.008379871490849358,481,511,992,POSSA_Q3_Med
query_cycle_4_19.graph,5,0.1,1088,11052.0,11429.233161255535,0.034132569784250395,480,502,982,POSSA_Q3_Med
query_cycle_4_19.graph,1,0.1,1088,11052.0,11027.769242891161,0.0021924318773831513,502,410,912,POSSA_Q4_Low
