QueryGraph,Elapsed(ms),Cardinality
query_cycle_4_0.graph,5853.0,4079965
query_cycle_4_1.graph,5844.4,4079965
query_cycle_4_10.graph,1782.2,1239838
query_cycle_4_11.graph,419.9,225416
query_cycle_4_12.graph,438.1,219864
query_cycle_4_13.graph,4406.3,2872354
query_cycle_4_14.graph,4328.1,2872354
query_cycle_4_2.graph,6987.2,4935318
query_cycle_4_3.graph,135.4,73996
query_cycle_4_4.graph,108.6,39025
query_cycle_4_5.graph,7027.4,4935318
query_cycle_4_6.graph,111.0,39025
query_cycle_4_7.graph,1203.6,764834
query_cycle_4_8.graph,1815.4,1239838
query_cycle_4_9.graph,63.9,13008
query_cycle_6_104.graph,2397.5,1039241
query_cycle_6_106.graph,2374.6,1039241
query_cycle_6_109.graph,2418.7,1039241
query_cycle_6_112.graph,138898.6,67481245
query_cycle_6_113.graph,19877.4,9989320
query_cycle_6_116.graph,23654.4,11793456
query_cycle_6_118.graph,23141.0,11793456
query_cycle_6_119.graph,20347.2,9746244
query_cycle_6_120.graph,9265.4,4220600
query_cycle_6_121.graph,3399.4,1632383
query_cycle_6_122.graph,91886.1,46446462
query_cycle_6_123.graph,23265.2,11793456
query_cycle_6_124.graph,85895.4,43450497
query_cycle_6_125.graph,139198.1,67481245
query_cycle_6_126.graph,23247.9,11793456
query_cycle_6_127.graph,79.9,15141
