query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_0.graph,1,0.01,27,5874.683194573747,15951.807228915663,1.7153476537508996,32,0,32,Exact_structureO
query_cycle_4_0.graph,2,0.01,27,5874.683194573747,5233.048192771084,0.10922035802633914,32,0,32,Exact_structureO
query_cycle_4_0.graph,3,0.01,27,5874.683194573747,5019.157894736842,0.1456291805874955,32,0,32,Exact_structureO
query_cycle_4_0.graph,4,0.01,27,5874.683194573747,3749.777777777778,0.36170553311856457,32,0,32,Exact_structureO
query_cycle_4_0.graph,5,0.01,27,5874.683194573747,4425.182608695652,0.24673680909584222,32,0,32,Exact_structureO
query_cycle_4_0.graph,1,0.05,136,5874.683194573747,8762.188668474382,0.49151679814287347,163,0,163,Exact_structureO
query_cycle_4_0.graph,2,0.05,136,5874.683194573747,4481.425258695924,0.23716307581738705,163,0,163,Exact_structureO
query_cycle_4_0.graph,3,0.05,136,5874.683194573747,7456.06199021207,0.2691853744724466,163,0,163,Exact_structureO
query_cycle_4_0.graph,4,0.05,136,5874.683194573747,5098.174835834898,0.13217876318098046,163,0,163,Exact_structureO
query_cycle_4_0.graph,5,0.05,136,5874.683194573747,5137.638660076879,0.12546115425894822,163,0,163,Exact_structureO
query_cycle_4_0.graph,1,0.075,205,5874.683194573747,7868.258717494089,0.3393503031383451,246,0,246,Exact_structureO
query_cycle_4_0.graph,2,0.075,205,5874.683194573747,6267.197741326005,0.06681458961307239,246,0,246,Exact_structureO
query_cycle_4_0.graph,3,0.075,205,5874.683194573747,5928.09544494721,0.00909193714867868,246,0,246,Exact_structureO
query_cycle_4_0.graph,4,0.075,205,5874.683194573747,4464.642297650131,0.240019904090492,246,0,246,Exact_structureO
query_cycle_4_0.graph,5,0.075,205,5874.683194573747,4757.486029411764,0.190171474470981,246,0,246,Exact_structureO
query_cycle_4_0.graph,1,0.1,273,5874.683194573747,6446.522532249018,0.09733960432172077,327,0,327,Exact_structureO
query_cycle_4_0.graph,2,0.1,273,5874.683194573747,6303.974576271187,0.07307481399064429,327,0,327,Exact_structureO
query_cycle_4_0.graph,3,0.1,273,5874.683194573747,4916.581486486487,0.16308993631728552,327,0,327,Exact_structureO
query_cycle_4_0.graph,4,0.1,273,5874.683194573747,5980.524660894234,0.018016540265226543,327,0,327,Exact_structureO
query_cycle_4_0.graph,5,0.1,273,5874.683194573747,6207.871634734131,0.05671598435608224,327,0,327,Exact_structureO
query_cycle_4_0.graph,1,0.125,342,5874.683194573747,6016.857947686118,0.024201263013415467,410,0,410,Exact_structureO
query_cycle_4_0.graph,2,0.125,342,5874.683194573747,5282.116150766081,0.1008679147762386,410,0,410,Exact_structureO
query_cycle_4_0.graph,3,0.125,342,5874.683194573747,5609.311104834292,0.04517215328046466,410,0,410,Exact_structureO
query_cycle_4_0.graph,4,0.125,342,5874.683194573747,5889.45164619412,0.0025139145603655126,410,0,410,Exact_structureO
query_cycle_4_0.graph,5,0.125,342,5874.683194573747,6477.440607879481,0.1026025392930944,410,0,410,Exact_structureO
query_cycle_4_0.graph,1,0.15,410,5874.683194573747,5936.5520206718365,0.010531431917083806,492,0,492,Exact_structureO
