query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_0.graph,1,0.01,27,0.0,29538.461538461535,,27,0,27,Exact_structureO
query_cycle_4_0.graph,2,0.01,27,0.0,1424.2307692307693,,27,0,27,Exact_structureO
query_cycle_4_0.graph,3,0.01,27,0.0,6120.0,,27,0,27,Exact_structureO
query_cycle_4_0.graph,4,0.01,27,0.0,7467.8153846153855,,27,0,27,Exact_structureO
query_cycle_4_0.graph,5,0.01,27,0.0,4770.37037037037,,27,0,27,Exact_structureO
query_cycle_4_0.graph,1,0.05,136,0.0,6938.378280542987,,136,0,136,Exact_structureO
query_cycle_4_0.graph,2,0.05,136,0.0,3184.538345864662,,136,0,136,Exact_structureO
query_cycle_4_0.graph,3,0.05,136,0.0,3011.6606837606837,,136,0,136,Exact_structureO
query_cycle_4_0.graph,4,0.05,136,0.0,6805.626849894292,,136,0,136,Exact_structureO
query_cycle_4_0.graph,5,0.05,136,0.0,5448.463865546219,,136,0,136,Exact_structureO
query_cycle_4_0.graph,1,0.075,205,0.0,7346.809165526676,,205,0,205,Exact_structureO
query_cycle_4_0.graph,2,0.075,205,0.0,2955.8036505404925,,205,0,205,Exact_structureO
query_cycle_4_0.graph,3,0.075,205,0.0,5491.85474860335,,205,0,205,Exact_structureO
query_cycle_4_0.graph,4,0.075,205,0.0,6990.059171597634,,205,0,205,Exact_structureO
query_cycle_4_0.graph,5,0.075,205,0.0,6102.503067484662,,205,0,205,Exact_structureO
query_cycle_4_0.graph,1,0.1,273,0.0,6026.167002012073,,273,0,273,Exact_structureO
query_cycle_4_0.graph,2,0.1,273,0.0,4548.116875546487,,273,0,273,Exact_structureO
query_cycle_4_0.graph,3,0.1,273,0.0,4702.419310897436,,273,0,273,Exact_structureO
query_cycle_4_0.graph,4,0.1,273,0.0,6552.30826693227,,273,0,273,Exact_structureO
query_cycle_4_0.graph,5,0.1,273,0.0,5440.746037881717,,273,0,273,Exact_structureO
query_cycle_4_0.graph,1,0.125,342,0.0,6504.731391026195,,342,0,342,Exact_structureO
query_cycle_4_0.graph,2,0.125,342,0.0,4493.891506105835,,342,0,342,Exact_structureO
query_cycle_4_0.graph,3,0.125,342,0.0,4688.4240506329115,,342,0,342,Exact_structureO
query_cycle_4_0.graph,4,0.125,342,0.0,7725.921470342522,,342,0,342,Exact_structureO
query_cycle_4_0.graph,5,0.125,342,0.0,5516.932002249718,,342,0,342,Exact_structureO
query_cycle_4_0.graph,1,0.15,410,0.0,6957.992401628223,,410,0,410,Exact_structureO
query_cycle_4_0.graph,2,0.15,410,0.0,5332.19988605389,,410,0,410,Exact_structureO
query_cycle_4_0.graph,3,0.15,410,0.0,5901.587375621891,,410,0,410,Exact_structureO
query_cycle_4_0.graph,4,0.15,410,0.0,5322.044776119404,,410,0,410,Exact_structureO
query_cycle_4_0.graph,5,0.15,410,0.0,5498.638275604842,,410,0,410,Exact_structureO
query_cycle_4_0.graph,1,0.2,547,0.0,6876.469287469286,,547,0,547,Exact_structureO
query_cycle_4_0.graph,2,0.2,547,0.0,5398.385929777502,,547,0,547,Exact_structureO
