query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_6_184.graph,1,0.01,10,2679.0,5416.666666666667,1.0218987184272739,12,0,12,Exact_structureO
query_cycle_6_184.graph,2,0.01,10,2679.0,5416.666666666667,1.0218987184272739,12,0,12,Exact_structureO
query_cycle_6_184.graph,3,0.01,10,2679.0,0.0,1.0,12,0,12,Exact_structureO
query_cycle_6_184.graph,4,0.01,10,2679.0,0.0,1.0,12,0,12,Exact_structureO
query_cycle_6_184.graph,5,0.01,10,2679.0,5416.666666666667,1.0218987184272739,12,0,12,Exact_structureO
query_cycle_6_184.graph,1,0.05,54,2679.0,4276.315789473684,0.5962358303373214,64,0,64,Exact_structureO
query_cycle_6_184.graph,2,0.05,54,2679.0,1710.5263157894738,0.3615056678650714,64,0,64,Exact_structureO
query_cycle_6_184.graph,3,0.05,54,2679.0,3209.8765432098767,0.19816220351245864,64,0,64,Exact_structureO
query_cycle_6_184.graph,4,0.05,54,2679.0,1604.9382716049383,0.4009188982437707,64,0,64,Exact_structureO
query_cycle_6_184.graph,5,0.05,54,2679.0,5000.0,0.866368047779022,64,0,64,Exact_structureO
query_cycle_6_184.graph,1,0.075,81,2679.0,4062.5,0.5164240388204554,97,0,97,Exact_structureO
query_cycle_6_184.graph,2,0.075,81,2679.0,3095.2380952380954,0.15537069624415656,97,0,97,Exact_structureO
query_cycle_6_184.graph,3,0.075,81,2679.0,3297.1014492753625,0.2307209590426885,97,0,97,Exact_structureO
query_cycle_6_184.graph,4,0.075,81,2679.0,2031.25,0.2417879805897723,97,0,97,Exact_structureO
query_cycle_6_184.graph,5,0.075,81,2679.0,4606.299212598426,0.719409933780674,97,0,97,Exact_structureO
query_cycle_6_184.graph,1,0.1,108,2679.0,3305.084745762712,0.2337009129386756,129,0,129,Exact_structureO
query_cycle_6_184.graph,2,0.1,108,2679.0,2988.5057471264367,0.11553032740815108,129,0,129,Exact_structureO
query_cycle_6_184.graph,3,0.1,108,2679.0,3316.326530612245,0.2378971745473105,129,0,129,Exact_structureO
query_cycle_6_184.graph,4,0.1,108,2679.0,2988.5057471264367,0.11553032740815108,129,0,129,Exact_structureO
query_cycle_6_184.graph,5,0.1,108,2679.0,4000.0,0.49309443822321763,129,0,129,Exact_structureO
query_cycle_6_184.graph,1,0.125,135,2679.0,2942.38683127572,0.09831535321975361,162,0,162,Exact_structureO
query_cycle_6_184.graph,2,0.125,135,2679.0,2600.0,0.029488615154908547,162,0,162,Exact_structureO
query_cycle_6_184.graph,3,0.125,135,2679.0,2837.3015873015875,0.05908980489047684,162,0,162,Exact_structureO
