query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_3.graph,1,0.1,261,3285552.0,1853362.5511265164,0.4359052752394373,261,0,261,Exact_structureO
query_cycle_4_3.graph,2,0.1,261,3285552.0,5783768.979591837,0.7603644622248673,261,0,261,Exact_structureO
query_cycle_4_3.graph,3,0.1,261,3285552.0,1869208.7205387205,0.4310822898134863,261,0,261,Exact_structureO
query_cycle_4_3.graph,4,0.1,261,3285552.0,3447775.2961672475,0.04937474621227954,261,0,261,Exact_structureO
query_cycle_4_3.graph,5,0.1,261,3285552.0,583930.9812734083,0.8222730971010631,261,0,261,Exact_structureO
query_cycle_4_9.graph,1,0.1,330,1382688.0,2736186.7086614175,0.9788894592716633,330,0,330,Exact_structureO
query_cycle_4_9.graph,2,0.1,330,1382688.0,1945600.7559055118,0.4071148052962865,330,0,330,Exact_structureO
query_cycle_4_9.graph,3,0.1,330,1382688.0,567495.68,0.5895706912911661,330,0,330,Exact_structureO
query_cycle_4_9.graph,4,0.1,330,1382688.0,1452617.9679144386,0.0505753777529266,330,0,330,Exact_structureO
query_cycle_4_9.graph,5,0.1,330,1382688.0,1183034.24,0.1443953805920063,330,0,330,Exact_structureO
query_cycle_4_12.graph,1,0.1,327,19161808.0,5940531.900573614,0.6899806166216875,327,0,327,Exact_structureO
query_cycle_4_12.graph,2,0.1,327,19161808.0,29731233.383458648,0.5515881060627811,327,0,327,Exact_structureO
query_cycle_4_12.graph,3,0.1,327,19161808.0,34783158.712643676,0.8152336518894081,327,0,327,Exact_structureO
query_cycle_4_12.graph,4,0.1,327,19161808.0,14405803.371428572,0.2482022901268726,327,0,327,Exact_structureO
query_cycle_4_12.graph,5,0.1,327,19161808.0,15927301.226277372,0.16879966513194516,327,0,327,Exact_structureO
query_cycle_4_4.graph,1,0.1,689,3422458.0,4081662.5161290322,0.19261142609464665,689,0,689,Exact_structureO
query_cycle_4_4.graph,2,0.1,689,3422458.0,6017332.236842105,0.7581902354512766,689,0,689,Exact_structureO
query_cycle_4_4.graph,3,0.1,689,3422458.0,2555817.62295082,0.2532216252322688,689,0,689,Exact_structureO
query_cycle_4_4.graph,4,0.1,689,3422458.0,2149415.2618135377,0.3719673808083145,689,0,689,Exact_structureO
query_cycle_4_4.graph,5,0.1,689,3422458.0,5253586.058301647,0.5350330254751547,689,0,689,Exact_structureO
query_cycle_4_6.graph,1,0.1,689,3422458.0,4760213.3984867595,0.3908756216984283,689,0,689,Exact_structureO
query_cycle_4_6.graph,2,0.1,689,3422458.0,2168984.3225806453,0.366249542702746,689,0,689,Exact_structureO
query_cycle_4_6.graph,3,0.1,689,3422458.0,2341893.1989924433,0.3157277024312809,689,0,689,Exact_structureO
