query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_6_184.graph,1,0.01,19,2237654.0,613600.0,0.7257842365262904,22,0,22,Exact_structureO
query_cycle_6_184.graph,2,0.01,19,2237654.0,50869.565217391304,0.9772665634555695,22,0,22,Exact_structureO
query_cycle_6_184.graph,3,0.01,19,2237654.0,0.0,1.0,22,0,22,Exact_structureO
query_cycle_6_184.graph,4,0.01,19,2237654.0,0.0,1.0,22,0,22,Exact_structureO
query_cycle_6_184.graph,5,0.01,19,2237654.0,7681818.181818182,2.432978548881186,22,0,22,Exact_structureO
query_cycle_6_184.graph,1,0.05,97,2237654.0,3247434.210526316,0.45126735881700925,116,0,116,Exact_structureO
query_cycle_6_184.graph,2,0.05,97,2237654.0,3115695.3642384107,0.3923937142375053,116,0,116,Exact_structureO
query_cycle_6_184.graph,3,0.05,97,2237654.0,12958160.91954023,4.7909582623319915,116,0,116,Exact_structureO
query_cycle_6_184.graph,4,0.05,97,2237654.0,2999707.7922077924,0.34055926081860394,116,0,116,Exact_structureO
query_cycle_6_184.graph,5,0.05,97,2237654.0,3900398.773006135,0.7430750120466055,116,0,116,Exact_structureO
query_cycle_6_184.graph,1,0.075,145,2237654.0,1968847.5836431226,0.12012867778346313,174,0,174,Exact_structureO
query_cycle_6_184.graph,2,0.075,145,2237654.0,1978600.0,0.11577035591740278,174,0,174,Exact_structureO
query_cycle_6_184.graph,3,0.075,145,2237654.0,9262269.5035461,3.139276896046529,174,0,174,Exact_structureO
query_cycle_6_184.graph,4,0.075,145,2237654.0,1988483.7545126353,0.11135333947400479,174,0,174,Exact_structureO
query_cycle_6_184.graph,5,0.075,145,2237654.0,2569745.4545454546,0.14841054718265406,174,0,174,Exact_structureO
query_cycle_6_184.graph,1,0.1,194,2237654.0,2613964.1943734013,0.1681717523680611,232,0,232,Exact_structureO
query_cycle_6_184.graph,2,0.1,194,2237654.0,2895185.185185185,0.29384846146239996,232,0,232,Exact_structureO
query_cycle_6_184.graph,3,0.1,194,2237654.0,7788925.925925926,2.4808446372521966,232,0,232,Exact_structureO
query_cycle_6_184.graph,4,0.1,194,2237654.0,1565012.4378109453,0.3006012378093551,232,0,232,Exact_structureO
query_cycle_6_184.graph,5,0.1,194,2237654.0,2157297.2972972975,0.03591113849715036,232,0,232,Exact_structureO
query_cycle_6_184.graph,1,0.125,243,2237654.0,2277294.117647059,0.01771503442760087,291,0,291,Exact_structureO
query_cycle_6_184.graph,2,0.125,243,2237654.0,2928806.9414316704,0.3088739105472385,291,0,291,Exact_structureO
query_cycle_6_184.graph,3,0.125,243,2237654.0,6003108.365019011,1.6827688127918845,291,0,291,Exact_structureO
query_cycle_6_184.graph,4,0.125,243,2237654.0,1620189.5306859205,0.2759427817321532,291,0,291,Exact_structureO
query_cycle_6_184.graph,5,0.125,243,2237654.0,3130427.807486631,0.3989775932680526,291,0,291,Exact_structureO
query_cycle_6_184.graph,1,0.15,291,2237654.0,2526579.3304221253,0.1291197523934108,349,0,349,Exact_structureO
query_cycle_6_184.graph,2,0.15,291,2237654.0,5990522.765598651,1.6771443510027246,349,0,349,Exact_structureO
query_cycle_6_184.graph,3,0.15,291,2237654.0,5260962.732919254,1.351106441352977,349,0,349,Exact_structureO
query_cycle_6_184.graph,4,0.15,291,2237654.0,1407321.1678832117,0.3710729326861026,349,0,349,Exact_structureO
