query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_6_184.graph,1,0.01,19,2237654.0,730476.1904761905,0.6735526625312982,19,0,19,Exact_structureO
query_cycle_6_184.graph,2,0.01,19,2237654.0,61578.94736842105,0.9724805768146366,19,0,19,Exact_structureO
query_cycle_6_184.graph,3,0.01,19,2237654.0,0.0,1.0,19,0,19,Exact_structureO
query_cycle_6_184.graph,4,0.01,19,2237654.0,0.0,1.0,19,0,19,Exact_structureO
query_cycle_6_184.graph,5,0.01,19,2237654.0,8894736.842105264,2.975027793441374,19,0,19,Exact_structureO
query_cycle_6_184.graph,1,0.05,97,2237654.0,3850234.375,0.7206567123424801,97,0,97,Exact_structureO
query_cycle_6_184.graph,2,0.05,97,2237654.0,3611626.984126984,0.6140238768491394,97,0,97,Exact_structureO
query_cycle_6_184.graph,3,0.05,97,2237654.0,15112028.985507246,5.753514611958438,97,0,97,Exact_structureO
query_cycle_6_184.graph,4,0.05,97,2237654.0,509335.9375,0.7723794932102998,97,0,97,Exact_structureO
query_cycle_6_184.graph,5,0.05,97,2237654.0,4886259.842519685,1.1836529876914326,97,0,97,Exact_structureO
query_cycle_6_184.graph,1,0.075,145,2237654.0,2570970.873786408,0.14895818289440996,145,0,145,Exact_structureO
query_cycle_6_184.graph,2,0.075,145,2237654.0,2476269.035532995,0.10663625186601464,145,0,145,Exact_structureO
query_cycle_6_184.graph,3,0.075,145,2237654.0,11678918.918918919,4.21926934142585,145,0,145,Exact_structureO
query_cycle_6_184.graph,4,0.075,145,2237654.0,2478750.0,0.1077449864903153,145,0,145,Exact_structureO
query_cycle_6_184.graph,5,0.075,145,2237654.0,3143318.385650224,0.4047383490254633,145,0,145,Exact_structureO
query_cycle_6_184.graph,1,0.1,194,2237654.0,1875537.9746835444,0.16182842625198338,194,0,194,Exact_structureO
query_cycle_6_184.graph,2,0.1,194,2237654.0,2971107.2664359864,0.3277777826402055,194,0,194,Exact_structureO
query_cycle_6_184.graph,3,0.1,194,2237654.0,9207320.872274144,3.1147205386865635,194,0,194,Exact_structureO
query_cycle_6_184.graph,4,0.1,194,2237654.0,1900257.2347266881,0.15078147259286373,194,0,194,Exact_structureO
query_cycle_6_184.graph,5,0.1,194,2237654.0,2290125.786163522,0.023449463663069416,194,0,194,Exact_structureO
query_cycle_6_184.graph,1,0.125,243,2237654.0,2486759.0361445784,0.11132419763939302,243,0,243,Exact_structureO
query_cycle_6_184.graph,2,0.125,243,2237654.0,2753956.6395663954,0.23073390236667304,243,0,243,Exact_structureO
query_cycle_6_184.graph,3,0.125,243,2237654.0,7353181.818181818,2.2861120701331923,243,0,243,Exact_structureO
query_cycle_6_184.graph,4,0.125,243,2237654.0,1506789.9761336516,0.3266206588982695,243,0,243,Exact_structureO
query_cycle_6_184.graph,5,0.125,243,2237654.0,1990975.0566893425,0.11023998496222272,243,0,243,Exact_structureO
query_cycle_6_184.graph,1,0.15,291,2237654.0,2277294.117647059,0.01771503442760087,291,0,291,Exact_structureO
query_cycle_6_184.graph,2,0.15,291,2237654.0,2928806.9414316704,0.3088739105472385,291,0,291,Exact_structureO
query_cycle_6_184.graph,3,0.15,291,2237654.0,6003108.365019011,1.6827688127918845,291,0,291,Exact_structureO
query_cycle_6_184.graph,4,0.15,291,2237654.0,1620189.5306859205,0.2759427817321532,291,0,291,Exact_structureO
query_cycle_6_184.graph,5,0.15,291,2237654.0,3130427.807486631,0.3989775932680526,291,0,291,Exact_structureO
query_cycle_6_184.graph,1,0.2,388,2237654.0,2208848.101265823,0.01287325866026517,388,0,388,Exact_structureO
query_cycle_6_184.graph,2,0.2,388,2237654.0,6340684.438040346,1.8336304174105318,388,0,388,Exact_structureO
query_cycle_6_184.graph,3,0.2,388,2237654.0,4776071.90412783,1.1344103709187523,388,0,388,Exact_structureO
query_cycle_6_184.graph,4,0.2,388,2237654.0,1233599.4930291509,0.44870856127482134,388,0,388,Exact_structureO
query_cycle_6_184.graph,5,0.2,388,2237654.0,2459086.4197530863,0.09895739902285443,388,0,388,Exact_structureO
query_cycle_6_184.graph,1,0.3,583,2237654.0,1606124.4541484716,0.2822284168381387,583,0,583,Exact_structureO
query_cycle_6_184.graph,2,0.3,583,2237654.0,4291542.55319149,0.9178758437146626,583,0,583,Exact_structureO
query_cycle_6_184.graph,3,0.3,583,2237654.0,3786212.700841622,0.692045642821286,583,0,583,Exact_structureO
query_cycle_6_184.graph,4,0.3,583,2237654.0,1257974.1379310344,0.4378156149560949,583,0,583,Exact_structureO
query_cycle_6_184.graph,5,0.3,583,2237654.0,2737201.4388489206,0.22324605986846968,583,0,583,Exact_structureO
query_cycle_6_184.graph,1,0.4,777,2237654.0,1958692.0448999512,0.12466715367972385,777,0,777,Exact_structureO
query_cycle_6_184.graph,2,0.4,777,2237654.0,3418255.033557047,0.5276066065428556,777,0,777,Exact_structureO
query_cycle_6_184.graph,3,0.4,777,2237654.0,2880171.2678936603,0.2871387926344557,777,0,777,Exact_structureO
query_cycle_6_184.graph,4,0.4,777,2237654.0,1556861.6226978595,0.30424380949965474,777,0,777,Exact_structureO
query_cycle_6_184.graph,5,0.4,777,2237654.0,2023537.8715244487,0.09568777321049245,777,0,777,Exact_structureO
query_cycle_6_184.graph,1,0.5,972,2237654.0,1954843.137254902,0.12638721748094123,972,0,972,Exact_structureO
query_cycle_6_184.graph,2,0.5,972,2237654.0,3021456.204379562,0.3502785526178586,972,0,972,Exact_structureO
query_cycle_6_184.graph,3,0.5,972,2237654.0,3215084.380610413,0.43681032930489383,972,0,972,Exact_structureO
query_cycle_6_184.graph,4,0.5,972,2237654.0,1517706.7274001401,0.32174199970141043,972,0,972,Exact_structureO
query_cycle_6_184.graph,5,0.5,972,2237654.0,1708528.5764998225,0.23646436111220834,972,0,972,Exact_structureO
query_cycle_6_184.graph,1,0.6,1166,2237654.0,2003550.5245720597,0.10462005092294888,1166,0,1166,Exact_structureO
query_cycle_6_184.graph,2,0.6,1166,2237654.0,2853275.261324042,0.27511905831913336,1166,0,1166,Exact_structureO
query_cycle_6_184.graph,3,0.6,1166,2237654.0,3049925.1336898394,0.3630012207829447,1166,0,1166,Exact_structureO
query_cycle_6_184.graph,4,0.6,1166,2237654.0,1315201.2019858898,0.4122410336960541,1166,0,1166,Exact_structureO
query_cycle_6_184.graph,5,0.6,1166,2237654.0,1789653.6144578313,0.20020985618963824,1166,0,1166,Exact_structureO
query_cycle_6_184.graph,1,0.7,1360,2237654.0,2003348.271446863,0.1047104371601405,1360,0,1360,Exact_structureO
query_cycle_6_184.graph,2,0.7,1360,2237654.0,2888636.2660944206,0.2909217716833883,1360,0,1360,Exact_structureO
query_cycle_6_184.graph,3,0.7,1360,2237654.0,2661971.9645868465,0.18962626241002697,1360,0,1360,Exact_structureO
query_cycle_6_184.graph,4,0.7,1360,2237654.0,1360610.3896103897,0.3919478214190444,1360,0,1360,Exact_structureO
query_cycle_6_184.graph,5,0.7,1360,2237654.0,1800998.4920292976,0.19513986879593645,1360,0,1360,Exact_structureO
query_cycle_6_184.graph,1,0.8,1555,2237654.0,2134289.2115482017,0.046193374155163516,1555,0,1555,Exact_structureO
query_cycle_6_184.graph,2,0.8,1555,2237654.0,3070425.4059539917,0.3721627230814021,1555,0,1555,Exact_structureO
query_cycle_6_184.graph,3,0.8,1555,2237654.0,2563757.6391122546,0.14573461272933824,1555,0,1555,Exact_structureO
query_cycle_6_184.graph,4,0.8,1555,2237654.0,1689878.3341132428,0.24479909131919286,1555,0,1555,Exact_structureO
query_cycle_6_184.graph,5,0.8,1555,2237654.0,1891651.8847006653,0.15462717439753185,1555,0,1555,Exact_structureO
query_cycle_6_184.graph,1,0.9,1749,2237654.0,2408676.334871457,0.07642930268551659,1749,0,1749,Exact_structureO
query_cycle_6_184.graph,2,0.9,1749,2237654.0,2899343.7204910293,0.29570689681739415,1749,0,1749,Exact_structureO
query_cycle_6_184.graph,3,0.9,1749,2237654.0,2513928.617280781,0.12346619150269916,1749,0,1749,Exact_structureO
query_cycle_6_184.graph,4,0.9,1749,2237654.0,1792264.8972821233,0.1990428827324853,1749,0,1749,Exact_structureO
query_cycle_6_184.graph,5,0.9,1749,2237654.0,2162434.8489049072,0.033615184070054066,1749,0,1749,Exact_structureO
query_cycle_6_73.graph,1,0.01,12,174012.0,0.0,1.0,12,0,12,Exact_structureO
query_cycle_6_73.graph,2,0.01,12,174012.0,0.0,1.0,12,0,12,Exact_structureO
query_cycle_6_73.graph,3,0.01,12,174012.0,18846.0,0.8916971243362527,12,0,12,Exact_structureO
query_cycle_6_73.graph,4,0.01,12,174012.0,0.0,1.0,12,0,12,Exact_structureO
query_cycle_6_73.graph,5,0.01,12,174012.0,0.0,1.0,12,0,12,Exact_structureO
query_cycle_6_73.graph,1,0.05,60,174012.0,2581.6438356164385,0.9851639896351031,60,0,60,Exact_structureO
query_cycle_6_73.graph,2,0.05,60,174012.0,4370.086956521739,0.9748862897011601,60,0,60,Exact_structureO
query_cycle_6_73.graph,3,0.05,60,174012.0,160889.0,0.07541433924097189,60,0,60,Exact_structureO
query_cycle_6_73.graph,4,0.05,60,174012.0,375288.3116883117,1.156680640923107,60,0,60,Exact_structureO
query_cycle_6_73.graph,5,0.05,60,174012.0,28308.759493670885,0.8373171994249196,60,0,60,Exact_structureO
query_cycle_6_73.graph,1,0.075,90,174012.0,2625.313432835821,0.9849130322458461,90,0,90,Exact_structureO
query_cycle_6_73.graph,2,0.075,90,174012.0,3575.121951219512,0.9794547390339775,90,0,90,Exact_structureO
query_cycle_6_73.graph,3,0.075,90,174012.0,105651.81818181818,0.39284751521838623,90,0,90,Exact_structureO
query_cycle_6_73.graph,4,0.075,90,174012.0,231177.6,0.3285152748086339,90,0,90,Exact_structureO
query_cycle_6_73.graph,5,0.075,90,174012.0,17891.136,0.8971844700365492,90,0,90,Exact_structureO
query_cycle_6_73.graph,1,0.1,121,174012.0,7277.168316831683,0.9581800777139985,121,0,121,Exact_structureO
query_cycle_6_73.graph,2,0.1,121,174012.0,6214.451612903225,0.9642872237954669,121,0,121,Exact_structureO
query_cycle_6_73.graph,3,0.1,121,174012.0,81542.82352941176,0.5313954007228711,121,0,121,Exact_structureO
query_cycle_6_73.graph,4,0.1,121,174012.0,275400.19251336897,0.58265057877255,121,0,121,Exact_structureO
query_cycle_6_73.graph,5,0.1,121,174012.0,12167.242105263158,0.9300781434311245,121,0,121,Exact_structureO
query_cycle_6_73.graph,1,0.125,151,174012.0,14530.12213740458,0.9164993096027597,151,0,151,Exact_structureO
query_cycle_6_73.graph,2,0.125,151,174012.0,7616.015444015444,0.9562328147253325,151,0,151,Exact_structureO
query_cycle_6_73.graph,3,0.125,151,174012.0,62820.0,0.6389904144541756,151,0,151,Exact_structureO
query_cycle_6_73.graph,4,0.125,151,174012.0,202009.41176470587,0.16089356920618045,151,0,151,Exact_structureO
query_cycle_6_73.graph,5,0.125,151,174012.0,9913.367088607594,0.9430305548547939,151,0,151,Exact_structureO
query_cycle_6_73.graph,1,0.15,181,174012.0,13542.035928143712,0.9221775743733552,181,0,181,Exact_structureO
query_cycle_6_73.graph,2,0.15,181,174012.0,20102.4,0.8844769326253362,181,0,181,Exact_structureO
query_cycle_6_73.graph,3,0.15,181,174012.0,52565.55882352941,0.6979199203300381,181,0,181,Exact_structureO
query_cycle_6_73.graph,4,0.15,181,174012.0,238397.92405063292,0.37000852843845783,181,0,181,Exact_structureO
query_cycle_6_73.graph,5,0.15,181,174012.0,18824.848484848484,0.891818676385258,181,0,181,Exact_structureO
query_cycle_6_73.graph,1,0.2,242,174012.0,11181.96,0.9357402937728433,242,0,242,Exact_structureO
query_cycle_6_73.graph,2,0.2,242,174012.0,147146.17097415507,0.15439066860817027,242,0,242,Exact_structureO
query_cycle_6_73.graph,3,0.2,242,174012.0,66422.91176470589,0.6182854529302239,242,0,242,Exact_structureO
query_cycle_6_73.graph,4,0.2,242,174012.0,160230.09958506224,0.07920086209535984,242,0,242,Exact_structureO
query_cycle_6_73.graph,5,0.2,242,174012.0,65445.31343283582,0.6239034467000216,242,0,242,Exact_structureO
query_cycle_6_73.graph,1,0.3,363,174012.0,41399.188841201714,0.7620900349332131,363,0,363,Exact_structureO
query_cycle_6_73.graph,2,0.3,363,174012.0,206609.59542857143,0.18732958318145546,363,0,363,Exact_structureO
query_cycle_6_73.graph,3,0.3,363,174012.0,164316.43027888445,0.055717822455437264,363,0,363,Exact_structureO
query_cycle_6_73.graph,4,0.3,363,174012.0,156131.40566037735,0.10275494988634491,363,0,363,Exact_structureO
query_cycle_6_73.graph,5,0.3,363,174012.0,51865.32134831461,0.7019439961134024,363,0,363,Exact_structureO
query_cycle_6_73.graph,1,0.4,484,174012.0,94390.61931818182,0.4575625858091291,484,0,484,Exact_structureO
query_cycle_6_73.graph,2,0.4,484,174012.0,245793.6583210604,0.41250981726007624,484,0,484,Exact_structureO
query_cycle_6_73.graph,3,0.4,484,174012.0,154216.74170040485,0.1137580069167365,484,0,484,Exact_structureO
query_cycle_6_73.graph,4,0.4,484,174012.0,169479.57774607703,0.026046607440423458,484,0,484,Exact_structureO
query_cycle_6_73.graph,5,0.4,484,174012.0,105870.96718972895,0.3915881250159245,484,0,484,Exact_structureO
query_cycle_6_73.graph,1,0.5,605,174012.0,103111.85393258427,0.4074440042492226,605,0,605,Exact_structureO
query_cycle_6_73.graph,2,0.5,605,174012.0,174732.66666666666,0.004141476833015292,605,0,605,Exact_structureO
query_cycle_6_73.graph,3,0.5,605,174012.0,129478.82257244535,0.25592015164215487,605,0,605,Exact_structureO
query_cycle_6_73.graph,4,0.5,605,174012.0,203855.23963792282,0.17150104382412026,605,0,605,Exact_structureO
query_cycle_6_73.graph,5,0.5,605,174012.0,111065.26043737575,0.3617379236065573,605,0,605,Exact_structureO
query_cycle_6_73.graph,1,0.6,726,174012.0,131365.51966741285,0.24507781263698566,726,0,726,Exact_structureO
query_cycle_6_73.graph,2,0.6,726,174012.0,141770.0641025641,0.18528570384476878,726,0,726,Exact_structureO
