query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_0.graph,1,0.01,500,1.0,4931.778796844177,4930.778796844177,500,0,500,FastestO
query_cycle_4_0.graph,2,0.01,500,1.0,6037.807219031982,6036.807219031982,500,0,500,FastestO
query_cycle_4_0.graph,3,0.01,500,1.0,5557.099307354429,5556.099307354429,500,0,500,FastestO
query_cycle_4_0.graph,4,0.01,500,1.0,4322.890998593527,4321.890998593527,500,0,500,FastestO
query_cycle_4_0.graph,5,0.01,500,1.0,6651.816459850587,6650.816459850587,500,0,500,FastestO
query_cycle_4_0.graph,1,0.05,500,1.0,6114.153735924954,6113.153735924954,500,0,500,FastestO
query_cycle_4_0.graph,2,0.05,500,1.0,7812.19553483958,7811.19553483958,500,0,500,FastestO
query_cycle_4_0.graph,3,0.05,500,1.0,5920.614146711095,5919.614146711095,500,0,500,FastestO
query_cycle_4_0.graph,4,0.05,500,1.0,6134.235335971894,6133.235335971894,500,0,500,FastestO
query_cycle_4_0.graph,5,0.05,500,1.0,6236.17342110463,6235.17342110463,500,0,500,FastestO
query_cycle_4_0.graph,1,0.075,500,1.0,8297.278887837585,8296.278887837585,500,0,500,FastestO
query_cycle_4_0.graph,2,0.075,500,1.0,6289.123818477919,6288.123818477919,500,0,500,FastestO
query_cycle_4_0.graph,3,0.075,500,1.0,5101.054157413426,5100.054157413426,500,0,500,FastestO
query_cycle_4_0.graph,4,0.075,500,1.0,4530.411410476602,4529.411410476602,500,0,500,FastestO
query_cycle_4_0.graph,5,0.075,500,1.0,4956.460967802664,4955.460967802664,500,0,500,FastestO
query_cycle_4_0.graph,1,0.1,624,1.0,7106.113941926753,7105.113941926753,624,0,624,FastestO
query_cycle_4_0.graph,2,0.1,624,1.0,5526.246539914134,5525.246539914134,624,0,624,FastestO
query_cycle_4_0.graph,3,0.1,624,1.0,6065.199207763928,6064.199207763928,624,0,624,FastestO
query_cycle_4_0.graph,4,0.1,624,1.0,5719.725283936266,5718.725283936266,624,0,624,FastestO
query_cycle_4_0.graph,5,0.1,624,1.0,6047.383988690364,6046.383988690364,624,0,624,FastestO
query_cycle_4_0.graph,1,0.15,500,1.0,5020.899001906605,5019.899001906605,500,0,500,FastestO
query_cycle_4_0.graph,2,0.15,500,1.0,6237.173494875933,6236.173494875933,500,0,500,FastestO
query_cycle_4_0.graph,3,0.15,500,1.0,8228.429746784886,8227.429746784886,500,0,500,FastestO
query_cycle_4_0.graph,4,0.15,500,1.0,5331.314058510498,5330.314058510498,500,0,500,FastestO
query_cycle_4_0.graph,5,0.15,500,1.0,4797.912444993041,4796.912444993041,500,0,500,FastestO
query_cycle_4_0.graph,1,0.2,500,1.0,4130.093157912384,4129.093157912384,500,0,500,FastestO
query_cycle_4_0.graph,2,0.2,500,1.0,5810.718891723345,5809.718891723345,500,0,500,FastestO
query_cycle_4_0.graph,3,0.2,500,1.0,5597.918347742549,5596.918347742549,500,0,500,FastestO
query_cycle_4_0.graph,4,0.2,500,1.0,7663.020790207906,7662.020790207906,500,0,500,FastestO
query_cycle_4_0.graph,5,0.2,500,1.0,5458.040559179875,5457.040559179875,500,0,500,FastestO
query_cycle_4_0.graph,1,0.3,500,1.0,5964.100317557503,5963.100317557503,500,0,500,FastestO
query_cycle_4_0.graph,2,0.3,500,1.0,6590.725773267774,6589.725773267774,500,0,500,FastestO
query_cycle_4_0.graph,3,0.3,500,1.0,6646.531384983004,6645.531384983004,500,0,500,FastestO
query_cycle_4_0.graph,4,0.3,500,1.0,5809.432536953301,5808.432536953301,500,0,500,FastestO
query_cycle_4_0.graph,5,0.3,500,1.0,6505.975427238867,6504.975427238867,500,0,500,FastestO
query_cycle_4_0.graph,1,0.4,500,1.0,5645.86641011546,5644.86641011546,500,0,500,FastestO
query_cycle_4_0.graph,2,0.4,500,1.0,6956.964899756083,6955.964899756083,500,0,500,FastestO
query_cycle_4_0.graph,3,0.4,500,1.0,6652.484776119402,6651.484776119402,500,0,500,FastestO
query_cycle_4_0.graph,4,0.4,500,1.0,6762.8387755101985,6761.8387755101985,500,0,500,FastestO
query_cycle_4_0.graph,5,0.4,500,1.0,4925.189018024512,4924.189018024512,500,0,500,FastestO
query_cycle_4_0.graph,1,0.5,500,1.0,6004.259727772614,6003.259727772614,500,0,500,FastestO
query_cycle_4_0.graph,2,0.5,500,1.0,5974.063345868905,5973.063345868905,500,0,500,FastestO
query_cycle_4_0.graph,3,0.5,500,1.0,6394.369409348097,6393.369409348097,500,0,500,FastestO
query_cycle_4_0.graph,4,0.5,500,1.0,5240.397525538608,5239.397525538608,500,0,500,FastestO
query_cycle_4_0.graph,5,0.5,500,1.0,3994.5906943044233,3993.5906943044233,500,0,500,FastestO
query_cycle_4_0.graph,1,0.6,500,1.0,5282.234496155925,5281.234496155925,500,0,500,FastestO
query_cycle_4_0.graph,2,0.6,500,1.0,5913.996339756721,5912.996339756721,500,0,500,FastestO
query_cycle_4_0.graph,3,0.6,500,1.0,5535.222582416161,5534.222582416161,500,0,500,FastestO
query_cycle_4_0.graph,4,0.6,500,1.0,7174.459433040085,7173.459433040085,500,0,500,FastestO
query_cycle_4_0.graph,5,0.6,500,1.0,5661.464944051024,5660.464944051024,500,0,500,FastestO
query_cycle_4_0.graph,1,0.7,500,1.0,5060.6763589342045,5059.6763589342045,500,0,500,FastestO
query_cycle_4_0.graph,2,0.7,500,1.0,5889.900549693556,5888.900549693556,500,0,500,FastestO
query_cycle_4_0.graph,3,0.7,500,1.0,7086.435356867503,7085.435356867503,500,0,500,FastestO
query_cycle_4_0.graph,4,0.7,500,1.0,5554.655370052519,5553.655370052519,500,0,500,FastestO
