query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_0.graph,1,0.01,33,1.0,3553.7795918367324,3552.7795918367324,33,0,33,FastestO
query_cycle_4_0.graph,2,0.01,33,1.0,6010.731707317077,6009.731707317077,33,0,33,FastestO
query_cycle_4_0.graph,3,0.01,33,1.0,9228.999999999987,9227.999999999987,33,0,33,FastestO
query_cycle_4_0.graph,4,0.01,33,1.0,7223.392405063297,7222.392405063297,33,0,33,FastestO
query_cycle_4_0.graph,5,0.01,33,1.0,5811.111111111118,5810.111111111118,33,0,33,FastestO
query_cycle_4_0.graph,1,0.05,164,1.0,5960.370794794144,5959.370794794144,164,0,164,FastestO
query_cycle_4_0.graph,2,0.05,164,1.0,6283.565848214278,6282.565848214278,164,0,164,FastestO
query_cycle_4_0.graph,3,0.05,164,1.0,7041.063371995283,7040.063371995283,164,0,164,FastestO
query_cycle_4_0.graph,4,0.05,164,1.0,4587.78580246914,4586.78580246914,164,0,164,FastestO
query_cycle_4_0.graph,5,0.05,164,1.0,5458.228860092239,5457.228860092239,164,0,164,FastestO
query_cycle_4_0.graph,1,0.075,246,1.0,4054.2876275510366,4053.2876275510366,246,0,246,FastestO
query_cycle_4_0.graph,2,0.075,246,1.0,6016.954346088634,6015.954346088634,246,0,246,FastestO
query_cycle_4_0.graph,3,0.075,246,1.0,5705.263705386505,5704.263705386505,246,0,246,FastestO
query_cycle_4_0.graph,4,0.075,246,1.0,4898.272809394773,4897.272809394773,246,0,246,FastestO
query_cycle_4_0.graph,5,0.075,246,1.0,6089.311836060863,6088.311836060863,246,0,246,FastestO
query_cycle_4_0.graph,1,0.1,328,1.0,5924.06694492716,5923.06694492716,328,0,328,FastestO
query_cycle_4_0.graph,2,0.1,328,1.0,6845.808640438261,6844.808640438261,328,0,328,FastestO
query_cycle_4_0.graph,3,0.1,328,1.0,4989.2173453199375,4988.2173453199375,328,0,328,FastestO
query_cycle_4_0.graph,4,0.1,328,1.0,6673.705299210741,6672.705299210741,328,0,328,FastestO
query_cycle_4_0.graph,5,0.1,328,1.0,4824.008239302007,4823.008239302007,328,0,328,FastestO
query_cycle_4_0.graph,1,0.15,492,1.0,5369.3855665310875,5368.3855665310875,492,0,492,FastestO
query_cycle_4_0.graph,2,0.15,492,1.0,4929.929507284033,4928.929507284033,492,0,492,FastestO
query_cycle_4_0.graph,3,0.15,492,1.0,5657.73221184803,5656.73221184803,492,0,492,FastestO
query_cycle_4_0.graph,4,0.15,492,1.0,6183.925755302692,6182.925755302692,492,0,492,FastestO
query_cycle_4_0.graph,5,0.15,492,1.0,6073.618993906831,6072.618993906831,492,0,492,FastestO
query_cycle_4_0.graph,1,0.2,657,1.0,5713.928823383946,5712.928823383946,657,0,657,FastestO
query_cycle_4_0.graph,2,0.2,657,1.0,5408.985471946114,5407.985471946114,657,0,657,FastestO
query_cycle_4_0.graph,3,0.2,657,1.0,5455.868138535961,5454.868138535961,657,0,657,FastestO
query_cycle_4_0.graph,4,0.2,657,1.0,5722.947780863762,5721.947780863762,657,0,657,FastestO
query_cycle_4_0.graph,5,0.2,657,1.0,5162.888270747655,5161.888270747655,657,0,657,FastestO
query_cycle_4_0.graph,1,0.3,986,1.0,5527.1819333426265,5526.1819333426265,986,0,986,FastestO
query_cycle_4_0.graph,2,0.3,986,1.0,5881.929505160891,5880.929505160891,986,0,986,FastestO
query_cycle_4_0.graph,3,0.3,986,1.0,5601.811379516798,5600.811379516798,986,0,986,FastestO
query_cycle_4_0.graph,4,0.3,986,1.0,6257.625270716109,6256.625270716109,986,0,986,FastestO
query_cycle_4_0.graph,5,0.3,986,1.0,5757.3948552427955,5756.3948552427955,986,0,986,FastestO
query_cycle_4_0.graph,1,0.4,1314,1.0,6356.718650566436,6355.718650566436,1314,0,1314,FastestO
query_cycle_4_0.graph,2,0.4,1314,1.0,6017.5746022853045,6016.5746022853045,1314,0,1314,FastestO
query_cycle_4_0.graph,3,0.4,1314,1.0,6052.99620329479,6051.99620329479,1314,0,1314,FastestO
query_cycle_4_0.graph,4,0.4,1314,1.0,5520.583287360725,5519.583287360725,1314,0,1314,FastestO
query_cycle_4_0.graph,5,0.4,1314,1.0,5748.110679693447,5747.110679693447,1314,0,1314,FastestO
query_cycle_4_0.graph,1,0.5,1643,1.0,5493.085998655553,5492.085998655553,1643,0,1643,FastestO
query_cycle_4_0.graph,2,0.5,1643,1.0,6379.506222270109,6378.506222270109,1643,0,1643,FastestO
