query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_0.graph,1,0.01,27,1.0,3889.5370370370338,3888.5370370370338,27,0,27,FastestO
query_cycle_4_0.graph,2,0.01,27,1.0,6104.000000000004,6103.000000000004,27,0,27,FastestO
query_cycle_4_0.graph,3,0.01,27,1.0,0.0,1.0,27,0,27,FastestO
query_cycle_4_0.graph,4,0.01,27,1.0,3137.931034482756,3136.931034482756,27,0,27,FastestO
query_cycle_4_0.graph,5,0.01,27,1.0,18015.53571428573,18014.53571428573,27,0,27,FastestO
query_cycle_4_0.graph,1,0.05,136,1.0,4999.790281329912,4998.790281329912,136,0,136,FastestO
query_cycle_4_0.graph,2,0.05,136,1.0,5654.42681712578,5653.42681712578,136,0,136,FastestO
query_cycle_4_0.graph,3,0.05,136,1.0,7169.2382222222195,7168.2382222222195,136,0,136,FastestO
query_cycle_4_0.graph,4,0.05,136,1.0,3948.682983682985,3947.682983682985,136,0,136,FastestO
query_cycle_4_0.graph,5,0.05,136,1.0,5311.027597402604,5310.027597402604,136,0,136,FastestO
query_cycle_4_0.graph,1,0.1,273,1.0,8165.881650607467,8164.881650607467,273,0,273,FastestO
query_cycle_4_0.graph,2,0.1,273,1.0,3916.9309954751043,3915.9309954751043,273,0,273,FastestO
query_cycle_4_0.graph,3,0.1,273,1.0,4355.593783265916,4354.593783265916,273,0,273,FastestO
query_cycle_4_0.graph,4,0.1,273,1.0,7472.4355802927275,7471.4355802927275,273,0,273,FastestO
query_cycle_4_0.graph,5,0.1,273,1.0,5488.808158607899,5487.808158607899,273,0,273,FastestO
query_cycle_4_0.graph,1,0.15,410,1.0,4512.366735112942,4511.366735112942,410,0,410,FastestO
query_cycle_4_0.graph,2,0.15,410,1.0,4290.963817282026,4289.963817282026,410,0,410,FastestO
query_cycle_4_0.graph,3,0.15,410,1.0,7344.101545253859,7343.101545253859,410,0,410,FastestO
query_cycle_4_0.graph,4,0.15,410,1.0,4822.732485504695,4821.732485504695,410,0,410,FastestO
query_cycle_4_0.graph,5,0.15,410,1.0,4792.488633672751,4791.488633672751,410,0,410,FastestO
query_cycle_4_0.graph,1,0.2,547,1.0,6423.232061316166,6422.232061316166,547,0,547,FastestO
query_cycle_4_0.graph,2,0.2,547,1.0,6396.129293046776,6395.129293046776,547,0,547,FastestO
query_cycle_4_0.graph,3,0.2,547,1.0,5959.043500093858,5958.043500093858,547,0,547,FastestO
query_cycle_4_0.graph,4,0.2,547,1.0,5636.178793933337,5635.178793933337,547,0,547,FastestO
query_cycle_4_0.graph,5,0.2,547,1.0,5701.675739073153,5700.675739073153,547,0,547,FastestO
query_cycle_4_0.graph,1,0.25,274,1.0,7700.990284757117,7699.990284757117,274,0,274,FastestO
query_cycle_4_0.graph,2,0.25,274,1.0,5516.745707719341,5515.745707719341,274,0,274,FastestO
query_cycle_4_0.graph,3,0.25,274,1.0,5771.039807321772,5770.039807321772,274,0,274,FastestO
query_cycle_4_0.graph,4,0.25,274,1.0,6062.735042735052,6061.735042735052,274,0,274,FastestO
query_cycle_4_0.graph,5,0.25,274,1.0,5421.077116099826,5420.077116099826,274,0,274,FastestO
query_cycle_4_0.graph,1,0.3,821,1.0,5180.177494777984,5179.177494777984,821,0,821,FastestO
query_cycle_4_0.graph,2,0.3,821,1.0,7508.801385137143,7507.801385137143,821,0,821,FastestO
query_cycle_4_0.graph,3,0.3,821,1.0,5748.063989716045,5747.063989716045,821,0,821,FastestO
query_cycle_4_0.graph,4,0.3,821,1.0,6510.846602956841,6509.846602956841,821,0,821,FastestO
query_cycle_4_0.graph,5,0.3,821,1.0,7377.671588332286,7376.671588332286,821,0,821,FastestO
query_cycle_4_0.graph,1,0.4,1095,1.0,6007.333573923168,6006.333573923168,1095,0,1095,FastestO
query_cycle_4_0.graph,2,0.4,1095,1.0,4419.871143162398,4418.871143162398,1095,0,1095,FastestO
query_cycle_4_0.graph,3,0.4,1095,1.0,5146.144990106141,5145.144990106141,1095,0,1095,FastestO
query_cycle_4_0.graph,4,0.4,1095,1.0,4377.992484109312,4376.992484109312,1095,0,1095,FastestO
query_cycle_4_0.graph,5,0.4,1095,1.0,5596.179516357045,5595.179516357045,1095,0,1095,FastestO
query_cycle_4_0.graph,1,0.5,1369,1.0,5515.196649214668,5514.196649214668,1369,0,1369,FastestO
query_cycle_4_0.graph,2,0.5,1369,1.0,5600.885852113308,5599.885852113308,1369,0,1369,FastestO
query_cycle_4_0.graph,3,0.5,1369,1.0,5219.6414659274915,5218.6414659274915,1369,0,1369,FastestO
query_cycle_4_0.graph,4,0.5,1369,1.0,4459.1903062423935,4458.1903062423935,1369,0,1369,FastestO
query_cycle_4_0.graph,5,0.5,1369,1.0,6620.705099232259,6619.705099232259,1369,0,1369,FastestO
query_cycle_4_0.graph,1,0.6,1643,1.0,5690.382493977041,5689.382493977041,1643,0,1643,FastestO
query_cycle_4_0.graph,2,0.6,1643,1.0,6083.056230645598,6082.056230645598,1643,0,1643,FastestO
query_cycle_4_0.graph,3,0.6,1643,1.0,5595.836251557488,5594.836251557488,1643,0,1643,FastestO
query_cycle_4_0.graph,4,0.6,1643,1.0,5002.746206272788,5001.746206272788,1643,0,1643,FastestO
query_cycle_4_0.graph,5,0.6,1643,1.0,4281.744112916111,4280.744112916111,1643,0,1643,FastestO
query_cycle_4_0.graph,1,0.7,1917,1.0,5968.7478001564705,5967.7478001564705,1917,0,1917,FastestO
query_cycle_4_0.graph,2,0.7,1917,1.0,6028.090384576948,6027.090384576948,1917,0,1917,FastestO
query_cycle_4_0.graph,3,0.7,1917,1.0,6369.886409863458,6368.886409863458,1917,0,1917,FastestO
query_cycle_4_0.graph,4,0.7,1917,1.0,6548.567999543558,6547.567999543558,1917,0,1917,FastestO
query_cycle_4_0.graph,5,0.7,1917,1.0,5208.063292996899,5207.063292996899,1917,0,1917,FastestO
query_cycle_4_0.graph,1,0.8,2191,1.0,6212.5777631733845,6211.5777631733845,2191,0,2191,FastestO
query_cycle_4_0.graph,2,0.8,2191,1.0,6154.0848371257825,6153.0848371257825,2191,0,2191,FastestO
query_cycle_4_0.graph,3,0.8,2191,1.0,5903.999231717897,5902.999231717897,2191,0,2191,FastestO
query_cycle_4_0.graph,4,0.8,2191,1.0,6153.073886470396,6152.073886470396,2191,0,2191,FastestO
query_cycle_4_0.graph,5,0.8,2191,1.0,6432.441082521022,6431.441082521022,2191,0,2191,FastestO
query_cycle_4_0.graph,1,0.9,2465,1.0,6730.711697162369,6729.711697162369,2465,0,2465,FastestO
query_cycle_4_0.graph,2,0.9,2465,1.0,6019.1726814851945,6018.1726814851945,2465,0,2465,FastestO
query_cycle_4_0.graph,3,0.9,2465,1.0,7130.534909909892,7129.534909909892,2465,0,2465,FastestO
query_cycle_4_0.graph,4,0.9,2465,1.0,5394.580500170149,5393.580500170149,2465,0,2465,FastestO
query_cycle_4_0.graph,5,0.9,2465,1.0,5945.086681213488,5944.086681213488,2465,0,2465,FastestO
query_cycle_4_1.graph,1,0.01,27,1.0,1276.5641025641012,1275.5641025641012,27,0,27,FastestO
query_cycle_4_1.graph,2,0.01,27,1.0,29225.806451612934,29224.806451612934,27,0,27,FastestO
query_cycle_4_1.graph,3,0.01,27,1.0,2891.8518518518517,2890.8518518518517,27,0,27,FastestO
query_cycle_4_1.graph,4,0.01,27,1.0,18618.75,18617.75,27,0,27,FastestO
query_cycle_4_1.graph,5,0.01,27,1.0,2666.6666666666665,2665.6666666666665,27,0,27,FastestO
query_cycle_4_1.graph,1,0.05,137,1.0,5163.819444444451,5162.819444444451,137,0,137,FastestO
query_cycle_4_1.graph,2,0.05,137,1.0,2729.935465768801,2728.935465768801,137,0,137,FastestO
query_cycle_4_1.graph,3,0.05,137,1.0,5322.945230769233,5321.945230769233,137,0,137,FastestO
query_cycle_4_1.graph,4,0.05,137,1.0,9034.243379571257,9033.243379571257,137,0,137,FastestO
query_cycle_4_1.graph,5,0.05,137,1.0,3676.366843033513,3675.366843033513,137,0,137,FastestO
query_cycle_4_1.graph,1,0.1,275,1.0,4385.112071368831,4384.112071368831,275,0,275,FastestO
query_cycle_4_1.graph,2,0.1,275,1.0,8837.343950850653,8836.343950850653,275,0,275,FastestO
query_cycle_4_1.graph,3,0.1,275,1.0,6517.16571116572,6516.16571116572,275,0,275,FastestO
query_cycle_4_1.graph,4,0.1,275,1.0,6739.017794486217,6738.017794486217,275,0,275,FastestO
query_cycle_4_1.graph,5,0.1,275,1.0,3875.5411605938,3874.5411605938,275,0,275,FastestO
query_cycle_4_1.graph,1,0.15,412,1.0,7321.4115084572795,7320.4115084572795,412,0,412,FastestO
query_cycle_4_1.graph,2,0.15,412,1.0,5203.959788387358,5202.959788387358,412,0,412,FastestO
query_cycle_4_1.graph,3,0.15,412,1.0,7704.944769668438,7703.944769668438,412,0,412,FastestO
query_cycle_4_1.graph,4,0.15,412,1.0,4929.75824647456,4928.75824647456,412,0,412,FastestO
query_cycle_4_1.graph,5,0.15,412,1.0,5573.025456114407,5572.025456114407,412,0,412,FastestO
query_cycle_4_1.graph,1,0.2,550,1.0,6654.069535177168,6653.069535177168,550,0,550,FastestO
query_cycle_4_1.graph,2,0.2,550,1.0,7629.742273680374,7628.742273680374,550,0,550,FastestO
query_cycle_4_1.graph,3,0.2,550,1.0,5993.322914839021,5992.322914839021,550,0,550,FastestO
query_cycle_4_1.graph,4,0.2,550,1.0,5155.942888236374,5154.942888236374,550,0,550,FastestO
query_cycle_4_1.graph,5,0.2,550,1.0,4783.76933583911,4782.76933583911,550,0,550,FastestO
