query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_0.graph,1,0.01,500,4079965.0,372689.263803681,0.9086538085979461,500,0,500,FastestO
query_cycle_4_0.graph,1,0.05,500,4079965.0,320164.423503326,0.9215276544030829,500,0,500,FastestO
query_cycle_4_0.graph,1,0.075,500,4079965.0,337288.158268275,0.9173306245842121,500,0,500,FastestO
query_cycle_4_0.graph,1,0.1,624,4079965.0,376209.889563777,0.9077909027249554,624,0,624,FastestO
query_cycle_4_0.graph,1,0.15,500,4079965.0,377161.943060498,0.9075575542779171,500,0,500,FastestO
query_cycle_4_0.graph,1,0.2,500,4079965.0,389834.056156969,0.9044516175611877,500,0,500,FastestO
query_cycle_4_0.graph,1,0.3,500,4079965.0,370902.30941704,0.9090917913714847,500,0,500,FastestO
query_cycle_4_0.graph,1,0.4,500,4079965.0,361091.590909091,0.9114963998688491,500,0,500,FastestO
query_cycle_4_0.graph,1,0.5,500,4079965.0,372325.115473441,0.9087430614053206,500,0,500,FastestO
query_cycle_4_0.graph,1,0.6,500,4079965.0,425462.914847162,0.8957189792443901,500,0,500,FastestO
query_cycle_4_0.graph,1,0.7,500,4079965.0,387646.327724945,0.9049878301100757,500,0,500,FastestO
query_cycle_4_0.graph,1,0.8,500,4079965.0,367573.634377276,0.9099076500957052,500,0,500,FastestO
query_cycle_4_0.graph,2,0.01,500,4079965.0,424254.671052632,0.8960151199697469,500,0,500,FastestO
query_cycle_4_0.graph,2,0.05,500,4079965.0,378572.575642965,0.9072118080319401,500,0,500,FastestO
query_cycle_4_0.graph,2,0.075,500,4079965.0,383981.441409058,0.9058860942657453,500,0,500,FastestO
query_cycle_4_0.graph,2,0.1,624,4079965.0,428543.707317073,0.894963876573188,624,0,624,FastestO
query_cycle_4_0.graph,2,0.15,500,4079965.0,383663.513231198,0.9059640185072181,500,0,500,FastestO
query_cycle_4_0.graph,2,0.2,500,4079965.0,390089.739130435,0.9043889496281379,500,0,500,FastestO
query_cycle_4_0.graph,2,0.3,500,4079965.0,373630.143171806,0.9084231989314109,500,0,500,FastestO
query_cycle_4_0.graph,2,0.4,500,4079965.0,335420.337423313,0.9177884277381514,500,0,500,FastestO
query_cycle_4_0.graph,2,0.5,500,4079965.0,373356.019809244,0.9084903866064429,500,0,500,FastestO
query_cycle_4_0.graph,2,0.6,500,4079965.0,340342.023121387,0.9165821218757055,500,0,500,FastestO
query_cycle_4_0.graph,2,0.7,500,4079965.0,401833.415948276,0.901510572774944,500,0,500,FastestO
query_cycle_4_0.graph,2,0.8,500,4079965.0,406801.538181818,0.9002928853110705,500,0,500,FastestO
query_cycle_4_0.graph,3,0.01,500,4079965.0,394185.400144196,0.9033851025329394,500,0,500,FastestO
query_cycle_4_0.graph,3,0.05,500,4079965.0,365969.978601997,0.910300706353609,500,0,500,FastestO
query_cycle_4_0.graph,3,0.075,500,4079965.0,370412.326578332,0.909211886234727,500,0,500,FastestO
query_cycle_4_0.graph,3,0.1,624,4079965.0,368080.016207455,0.9097835358373281,624,0,624,FastestO
query_cycle_4_0.graph,3,0.15,500,4079965.0,326300.818965517,0.9200236230052176,500,0,500,FastestO
query_cycle_4_0.graph,3,0.2,500,4079965.0,332025.394736842,0.9186205286719759,500,0,500,FastestO
query_cycle_4_0.graph,3,0.3,500,4079965.0,375619.56870229,0.9079355904518078,500,0,500,FastestO
query_cycle_4_0.graph,3,0.4,500,4079965.0,358436.505681818,0.9121471616345194,500,0,500,FastestO
query_cycle_4_0.graph,3,0.5,500,4079965.0,355935.167037862,0.9127602400908189,500,0,500,FastestO
query_cycle_4_0.graph,3,0.6,500,4079965.0,348967.081545064,0.9144681188331115,500,0,500,FastestO
query_cycle_4_0.graph,3,0.7,500,4079965.0,356002.360114778,0.9127437710581396,500,0,500,FastestO
query_cycle_4_0.graph,3,0.8,500,4079965.0,327755.520833333,0.9196670753711531,500,0,500,FastestO
query_cycle_4_0.graph,4,0.01,500,4079965.0,356411.440677966,0.9126435053540983,500,0,500,FastestO
query_cycle_4_0.graph,4,0.05,500,4079965.0,363055.015278839,0.9110151642774292,500,0,500,FastestO
query_cycle_4_0.graph,4,0.075,500,4079965.0,429084.081020255,0.8948314309019183,500,0,500,FastestO
query_cycle_4_0.graph,4,0.1,624,4079965.0,363375.198821797,0.9109366872456512,624,0,624,FastestO
query_cycle_4_0.graph,4,0.15,500,4079965.0,376994.790595151,0.9075985233708743,500,0,500,FastestO
query_cycle_4_0.graph,4,0.2,500,4079965.0,395485.905963303,0.9030663483722771,500,0,500,FastestO
query_cycle_4_0.graph,4,0.3,500,4079965.0,363488.753571429,0.9109088549604155,500,0,500,FastestO
query_cycle_4_0.graph,4,0.4,500,4079965.0,377430.576923077,0.9074917120801093,500,0,500,FastestO
query_cycle_4_0.graph,4,0.5,500,4079965.0,386870.341246291,0.9051780245060214,500,0,500,FastestO
query_cycle_4_0.graph,4,0.6,500,4079965.0,347836.127819549,0.9147453157515938,500,0,500,FastestO
query_cycle_4_0.graph,4,0.7,500,4079965.0,395898.008689356,0.9029653419356892,500,0,500,FastestO
query_cycle_4_0.graph,4,0.8,500,4079965.0,386861.644599303,0.9051801560554311,500,0,500,FastestO
query_cycle_4_0.graph,5,0.01,500,4079965.0,412494.946695096,0.8988974300771954,500,0,500,FastestO
query_cycle_4_0.graph,5,0.05,500,4079965.0,392803.451544944,0.9037238183305631,500,0,500,FastestO
query_cycle_4_0.graph,5,0.075,500,4079965.0,363610.570007651,0.9108789977346249,500,0,500,FastestO
query_cycle_4_0.graph,5,0.1,624,4079965.0,369594.017382907,0.9094124539345542,624,0,624,FastestO
query_cycle_4_0.graph,5,0.15,500,4079965.0,349172.246108228,0.9144178329695896,500,0,500,FastestO
query_cycle_4_0.graph,5,0.2,500,4079965.0,358822.217524981,0.91205262360707,500,0,500,FastestO
query_cycle_4_0.graph,5,0.3,500,4079965.0,413782.185483871,0.8985819276675484,500,0,500,FastestO
query_cycle_4_0.graph,5,0.4,500,4079965.0,411351.232394366,0.8991777546144719,500,0,500,FastestO
query_cycle_4_0.graph,5,0.5,500,4079965.0,381493.211411851,0.9064959597908681,500,0,500,FastestO
query_cycle_4_0.graph,5,0.6,500,4079965.0,372773.965909091,0.9086330480999002,500,0,500,FastestO
query_cycle_4_0.graph,5,0.7,500,4079965.0,403238.831460674,0.9011661052335806,500,0,500,FastestO
query_cycle_4_0.graph,5,0.8,500,4079965.0,403108.064150943,0.9011981563197372,500,0,500,FastestO
