query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_0.graph,1,0.01,500,4079965.0,1838021009.03846,449.4992099291198,500,0,500,FastestO
query_cycle_4_0.graph,1,0.05,500,4079965.0,1957534506.07312,478.7919849981853,500,0,500,FastestO
query_cycle_4_0.graph,1,0.075,500,4079965.0,2798573914.71698,684.9308633081364,500,0,500,FastestO
query_cycle_4_0.graph,1,0.1,603,4079965.0,2673390341.31988,654.248351718673,603,0,603,FastestO
query_cycle_4_0.graph,1,0.15,500,4079965.0,1893692023.46961,463.1441834598114,500,0,500,FastestO
query_cycle_4_0.graph,1,0.2,500,4079965.0,1610050968.05513,393.6237205601348,500,0,500,FastestO
query_cycle_4_0.graph,1,0.3,500,4079965.0,2212098581.37698,541.1856759499101,500,0,500,FastestO
query_cycle_4_0.graph,1,0.4,500,4079965.0,2038674884.08879,498.6795031547538,500,0,500,FastestO
query_cycle_4_0.graph,1,0.5,500,4079965.0,2235536696.47547,546.9303612838507,500,0,500,FastestO
query_cycle_4_0.graph,1,0.6,500,4079965.0,2247394885.64073,549.8368051296352,500,0,500,FastestO
query_cycle_4_0.graph,1,0.7,500,4079965.0,1961752606.34529,479.8258419729806,500,0,500,FastestO
query_cycle_4_0.graph,1,0.8,500,4079965.0,2087831826.34111,510.7278766707822,500,0,500,FastestO
query_cycle_4_0.graph,2,0.01,500,4079965.0,2561567915.58962,626.8406593168379,500,0,500,FastestO
query_cycle_4_0.graph,2,0.05,500,4079965.0,2957482985.05069,723.8794989787137,500,0,500,FastestO
query_cycle_4_0.graph,2,0.075,500,4079965.0,2414906829.01919,590.894006203286,500,0,500,FastestO
query_cycle_4_0.graph,2,0.1,603,4079965.0,2368238179.76295,579.4555136534149,603,0,603,FastestO
query_cycle_4_0.graph,2,0.15,500,4079965.0,2392975895.67661,585.5187313314221,500,0,500,FastestO
query_cycle_4_0.graph,2,0.2,500,4079965.0,2266701816.63265,554.568936653293,500,0,500,FastestO
query_cycle_4_0.graph,2,0.3,500,4079965.0,2462493814.27215,602.5575830361662,500,0,500,FastestO
query_cycle_4_0.graph,2,0.4,500,4079965.0,2333507514.11833,570.9430225794412,500,0,500,FastestO
query_cycle_4_0.graph,2,0.5,500,4079965.0,2230452512.90191,545.684227169083,500,0,500,FastestO
query_cycle_4_0.graph,2,0.6,500,4079965.0,2012781479.00528,492.3330258973484,500,0,500,FastestO
query_cycle_4_0.graph,2,0.7,500,4079965.0,2366758857.47899,579.0929315518617,500,0,500,FastestO
query_cycle_4_0.graph,2,0.8,500,4079965.0,2276947676.2279,557.0801982928524,500,0,500,FastestO
query_cycle_4_0.graph,3,0.01,500,4079965.0,2190527414.11054,535.8985797943222,500,0,500,FastestO
query_cycle_4_0.graph,3,0.05,500,4079965.0,2166767032.58254,530.0749069128138,500,0,500,FastestO
query_cycle_4_0.graph,3,0.075,500,4079965.0,1889493338.44958,462.1150851660695,500,0,500,FastestO
query_cycle_4_0.graph,3,0.1,603,4079965.0,2232478622.69519,546.1808269666989,603,0,603,FastestO
query_cycle_4_0.graph,3,0.15,500,4079965.0,2684943365.17613,657.0799995039497,500,0,500,FastestO
query_cycle_4_0.graph,3,0.2,500,4079965.0,1858651049.11383,454.5556356767356,500,0,500,FastestO
query_cycle_4_0.graph,3,0.3,500,4079965.0,2496567252.19355,610.9089875019879,500,0,500,FastestO
query_cycle_4_0.graph,3,0.4,500,4079965.0,2384493397.25373,583.4396697652385,500,0,500,FastestO
query_cycle_4_0.graph,3,0.5,500,4079965.0,2275980943.81811,556.8432520421412,500,0,500,FastestO
query_cycle_4_0.graph,3,0.6,500,4079965.0,1931610470.2881,472.4380001514957,500,0,500,FastestO
query_cycle_4_0.graph,3,0.7,500,4079965.0,2522787711.84564,617.3356258805253,500,0,500,FastestO
query_cycle_4_0.graph,3,0.8,500,4079965.0,1784070888.10306,436.2760276382425,500,0,500,FastestO
