query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_0.graph,1,0.01,59,4079965.0,2551751130.85714,624.4345639869809,59,0,59,FastestO
query_cycle_4_0.graph,1,0.05,298,4079965.0,1838911202.5661,449.7173964889641,298,0,298,FastestO
query_cycle_4_0.graph,1,0.075,447,4079965.0,1719127194.60938,420.3583191545454,447,0,447,FastestO
query_cycle_4_0.graph,1,0.1,596,4079965.0,2231653714.44777,545.9786418382926,596,0,596,FastestO
query_cycle_4_0.graph,1,0.15,893,4079965.0,2196671522.84137,537.4045017154243,893,0,893,FastestO
query_cycle_4_0.graph,1,0.2,1192,4079965.0,2350089126.77114,575.0071781917596,1192,0,1192,FastestO
query_cycle_4_0.graph,1,0.3,1787,4079965.0,2214965688.48088,541.8884043076064,1787,0,1787,FastestO
query_cycle_4_0.graph,1,0.4,2384,4079965.0,2360997260.41537,577.6807632946299,2384,0,2384,FastestO
query_cycle_4_0.graph,1,0.5,2979,4079965.0,2144238890.52003,524.5532560990188,2979,0,2979,FastestO
query_cycle_4_0.graph,1,0.6,3575,4079965.0,2186924584.55826,535.015525760212,3575,0,3575,FastestO
query_cycle_4_0.graph,1,0.7,4170,4079965.0,2224896497.40123,544.322446982078,4170,0,4170,FastestO
query_cycle_4_0.graph,1,0.8,4767,4079965.0,2234729868.22575,546.7326075654452,4767,0,4767,FastestO
query_cycle_4_0.graph,1,0.9,5362,4079965.0,2166985327.779,530.1284110964186,5139,0,5362,FastestO
query_cycle_4_0.graph,2,0.01,59,4079965.0,2527906385.85366,618.5902136056703,59,0,59,FastestO
query_cycle_4_0.graph,2,0.05,298,4079965.0,2306313611.11607,564.2777930977524,298,0,298,FastestO
query_cycle_4_0.graph,2,0.075,447,4079965.0,2381017653.40738,582.5877644556697,447,0,447,FastestO
query_cycle_4_0.graph,2,0.1,596,4079965.0,2393027269.62721,585.5313230939985,596,0,596,FastestO
query_cycle_4_0.graph,2,0.15,893,4079965.0,2023547859.35012,494.9718672464398,893,0,893,FastestO
query_cycle_4_0.graph,2,0.2,1192,4079965.0,2069046439.07485,506.1235755882338,1192,0,1192,FastestO
query_cycle_4_0.graph,2,0.3,1787,4079965.0,2114635424.66328,517.2974424200398,1787,0,1787,FastestO
query_cycle_4_0.graph,2,0.4,2384,4079965.0,2161299036.50221,528.7347002982169,2384,0,2384,FastestO
query_cycle_4_0.graph,2,0.5,2979,4079965.0,2332908612.15205,570.7962316225886,2979,0,2979,FastestO
query_cycle_4_0.graph,2,0.6,3575,4079965.0,2168598417.10134,530.5237795180453,3575,0,3575,FastestO
query_cycle_4_0.graph,2,0.7,4170,4079965.0,2188295739.87364,535.3515961224288,4170,0,4170,FastestO
query_cycle_4_0.graph,2,0.8,4767,4079965.0,2161236021.44099,528.7192552977752,4767,0,4767,FastestO
query_cycle_4_0.graph,2,0.9,5362,4079965.0,2136120796.77075,522.5635101700015,5127,0,5362,FastestO
