query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_0.graph,1,0.01,49,4079965.0,1131397661.45455,276.3057272438723,49,0,49,FastestO
query_cycle_4_0.graph,1,0.05,248,4079965.0,1809408244.04494,442.4862171721924,248,0,248,FastestO
query_cycle_4_0.graph,1,0.075,274,4079965.0,1806912525.50712,441.8745162047021,274,0,274,FastestO
query_cycle_4_0.graph,1,0.1,496,4079965.0,1991997685.70751,487.2389152131232,496,0,496,FastestO
query_cycle_4_0.graph,1,0.15,744,4079965.0,2165512877.81432,529.7675134012975,744,0,744,FastestO
query_cycle_4_0.graph,1,0.2,993,4079965.0,2084303480.16926,509.8630785237757,993,0,993,FastestO
query_cycle_4_0.graph,1,0.3,1489,4079965.0,2012308030.26808,492.2169835447313,1489,0,1489,FastestO
query_cycle_4_0.graph,1,0.4,1986,4079965.0,2330514896.26648,570.209531519627,1986,0,1986,FastestO
query_cycle_4_0.graph,1,0.5,2482,4079965.0,2217375742.1995,542.4791088157622,2482,0,2482,FastestO
query_cycle_4_0.graph,1,0.6,2979,4079965.0,2346174585.06568,574.0477234647059,2979,0,2979,FastestO
query_cycle_4_0.graph,1,0.7,3475,4079965.0,2235315197.4712,546.8760718464981,3475,0,3475,FastestO
query_cycle_4_0.graph,1,0.8,3972,4079965.0,2339939146.14517,572.5194165011634,3972,0,3972,FastestO
query_cycle_4_0.graph,1,0.9,4468,4079965.0,2229451494.5612,545.4388774318409,4468,0,4468,FastestO
query_cycle_4_0.graph,2,0.01,49,4079965.0,1612167750,394.1425441149618,49,0,49,FastestO
query_cycle_4_0.graph,2,0.05,248,4079965.0,2340249455.85595,572.5954734552747,248,0,248,FastestO
query_cycle_4_0.graph,2,0.075,274,4079965.0,2241494593.72114,548.3906427435375,274,0,274,FastestO
query_cycle_4_0.graph,2,0.1,496,4079965.0,1795047634.19209,438.9664296610619,496,0,496,FastestO
query_cycle_4_0.graph,2,0.15,744,4079965.0,2151649740.677,526.3696565232793,744,0,744,FastestO
query_cycle_4_0.graph,2,0.2,993,4079965.0,1973639356.63593,482.7392861546426,993,0,993,FastestO
query_cycle_4_0.graph,2,0.3,1489,4079965.0,2272978930.46097,556.1074581426492,1489,0,1489,FastestO
query_cycle_4_0.graph,2,0.4,1986,4079965.0,2163473737.0983,529.2677197226702,1986,0,1986,FastestO
query_cycle_4_0.graph,2,0.5,2482,4079965.0,2208072241.78237,540.1988195443761,2482,0,2482,FastestO
query_cycle_4_0.graph,2,0.6,2979,4079965.0,2273567678.45226,556.2517603587912,2979,0,2979,FastestO
query_cycle_4_0.graph,2,0.7,3475,4079965.0,2193644460.55327,536.6625683194025,3475,0,3475,FastestO
query_cycle_4_0.graph,2,0.8,3972,4079965.0,2218341280.88658,542.7157624848684,3972,0,3972,FastestO
