query_basename,T_hat_double_truncation,total_instances,accepted_instances,budget_limit_B,budget_used,total_oracle_calls
query_cycle_4_12.graph,18677.4168,3415,325,341,341,341
query_cycle_6_104.graph,173577.9238,3383,280,338,338,338
query_cycle_4_8.graph,200852.3934,3634,312,363,363,363
query_cycle_4_3.graph,4073.1939,2704,198,270,270,270
query_cycle_4_7.graph,136739.5682,4683,392,468,468,468
query_cycle_4_0.graph,652016.7294,5201,504,520,520,520
query_cycle_4_13.graph,461931.2583,4810,467,481,481,481
query_cycle_4_9.graph,1119.772,3398,269,339,339,339
query_cycle_4_14.graph,455494.0613,4875,456,487,487,487
query_cycle_4_1.graph,656432.6675,5177,491,517,517,517
query_cycle_6_116.graph,551745.991,1812,142,181,181,181
query_cycle_6_106.graph,176829.2685,3328,290,332,332,332
query_cycle_4_4.graph,3296.966,7032,574,703,703,703
query_cycle_6_118.graph,544899.5079,1773,127,177,177,177
query_cycle_6_109.graph,176450.2774,3330,296,333,333,333
query_cycle_4_6.graph,3299.5673,7050,575,705,705,705
query_cycle_6_112.graph,6909668.9275,3784,288,378,378,378
query_cycle_6_122.graph,3134258.6848,2779,202,277,277,277
query_cycle_6_123.graph,567049.8944,1788,129,178,178,178
query_cycle_6_126.graph,527179.1987,1837,127,183,183,183
query_cycle_6_127.graph,643.8414,2137,143,213,213,213
query_cycle_4_5.graph,362498.7285,9633,734,963,963,963
query_cycle_6_121.graph,98584.9431,4191,296,419,419,419
query_cycle_4_2.graph,367457.5582,9624,754,962,962,962
query_cycle_6_125.graph,6970597.3938,3852,284,385,385,385
query_cycle_6_124.graph,2754938.3576,4089,302,408,408,408
query_cycle_6_119.graph,1059300.9011,5629,411,562,562,562
query_cycle_6_130.graph,59659.8748,2452,200,245,245,245
query_cycle_6_129.graph,2585772.3626,2950,212,295,295,295
query_cycle_4_10.graph,202812.5664,3620,312,362,362,362
query_cycle_6_128.graph,6991541.555,3803,304,380,380,380
query_cycle_6_132.graph,107502.0428,3003,248,300,300,300
query_cycle_6_133.graph,3217076.1984,2787,215,278,278,278
query_cycle_6_113.graph,763615.0206,3590,212,359,359,359
query_cycle_6_143.graph,699461.947,1760,137,176,176,176
query_cycle_6_138.graph,173976.9922,3354,285,335,335,335
query_cycle_6_120.graph,404254.0711,4235,307,423,423,423
query_cycle_6_136.graph,770970.8352,3645,258,364,364,364
