query_basename,T_hat_double_truncation,total_instances,accepted_instances,budget_limit_B,budget_used,total_oracle_calls
query_cycle_4_3.graph,11169031.0617,2708,200,261,261,261
query_cycle_6_104.graph,1257754133.2342,3336,290,327,327,327
query_cycle_4_9.graph,2106681.372,3398,268,330,330,330
query_cycle_4_12.graph,42890614.0239,3434,310,327,327,327
query_cycle_4_8.graph,1495631927.4255,3614,307,353,353,353
query_cycle_4_14.graph,3014043374.2762,4832,469,479,479,479
query_cycle_4_7.graph,975174414.5987,4627,387,454,454,454
query_cycle_4_13.graph,3067553595.227,4860,465,482,482,482
query_cycle_4_0.graph,4400394980.9145,5126,481,502,502,502
query_cycle_4_10.graph,1477781916.9168,3630,310,355,355,355
query_cycle_4_1.graph,4554885021.0246,5144,480,504,504,504
query_cycle_6_116.graph,354293821.1303,1775,127,172,172,172
query_cycle_6_118.graph,418805814.9758,1802,137,175,175,175
query_cycle_6_109.graph,1271423743.8042,3315,286,325,325,325
query_cycle_6_106.graph,1272726894.7281,3338,280,327,327,327
query_cycle_6_113.graph,3115092949.5462,3595,222,351,351,351
query_cycle_4_4.graph,5494709.5953,7036,568,689,689,689
query_cycle_4_6.graph,5828068.2992,7039,572,689,689,689
query_cycle_6_112.graph,33896758455.9201,3879,298,382,382,382
query_cycle_6_123.graph,343806619.9583,1810,125,175,175,175
query_cycle_6_126.graph,362994492.9475,1788,135,173,173,173
query_cycle_6_127.graph,994965.503,2132,143,205,205,205
query_cycle_6_122.graph,12708729105.5136,2809,202,275,275,275
query_cycle_6_121.graph,37424167.8527,4218,288,412,412,412
query_cycle_6_120.graph,2307621959.7235,4299,315,424,424,424
query_cycle_6_130.graph,430876925.1827,2425,194,237,237,237
query_cycle_6_124.graph,10429423292.0696,4117,290,403,403,403
query_cycle_4_5.graph,195917749.7504,9673,767,948,948,948
query_cycle_6_129.graph,9693350378.7856,2898,208,284,284,284
query_cycle_6_125.graph,34356614154.0715,3761,300,372,372,372
query_cycle_6_133.graph,13127965019.9776,2771,206,272,272,272
