query_basename,run_id,T_hat_abae,T_true,Signed_RE,ARE,oracle_cost,budget_limit_B
query_cycle_4_0.graph,1,477567.2117150532,375950.0,0.2702944852109408,0.2702944852109408,518,520
query_cycle_4_0.graph,2,220818.00442473072,375950.0,-0.4126399669511086,0.4126399669511086,518,520
query_cycle_4_0.graph,3,411927.1568652161,375950.0,0.0956966534518316,0.0956966534518316,518,520
query_cycle_4_0.graph,4,399277.4952203458,375950.0,0.062049461950647145,0.062049461950647145,518,520
query_cycle_4_0.graph,5,396332.92965824093,375950.0,0.0542171290284371,0.0542171290284371,518,520
query_cycle_4_0.graph,6,394780.73426381097,375950.0,0.050088400754916794,0.050088400754916794,518,520
query_cycle_4_0.graph,7,452821.19204065885,375950.0,0.20447185008820015,0.20447185008820015,518,520
query_cycle_4_0.graph,8,390144.6089755552,375950.0,0.037756640445684865,0.037756640445684865,518,520
query_cycle_4_0.graph,9,407633.34956081305,375950.0,0.08427543439503404,0.08427543439503404,518,520
query_cycle_4_0.graph,10,410228.4477305228,375950.0,0.0911782091515435,0.0911782091515435,518,520
query_cycle_4_1.graph,1,305747.5207051496,375950.0,-0.1867335531183678,0.1867335531183678,516,517
query_cycle_4_1.graph,2,214856.93893133008,375950.0,-0.4284959730513896,0.4284959730513896,516,517
query_cycle_4_1.graph,3,329684.91262764466,375950.0,-0.12306180974160218,0.12306180974160218,516,517
query_cycle_4_1.graph,4,516430.7789142849,375950.0,0.3736687828548607,0.3736687828548607,516,517
query_cycle_4_1.graph,5,322470.6732882348,375950.0,-0.1422511682717521,0.1422511682717521,516,517
query_cycle_4_1.graph,6,407812.482470588,375950.0,0.0847519150700572,0.0847519150700572,516,517
query_cycle_4_1.graph,7,273530.3880974193,375950.0,-0.27242881208293845,0.27242881208293845,516,517
query_cycle_4_1.graph,8,352643.125627213,375950.0,-0.06199461197709008,0.06199461197709008,516,517
query_cycle_4_1.graph,9,299438.41877844767,375950.0,-0.20351531113592852,0.20351531113592852,516,517
