query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_0.graph,1,0.1,520,5874.683194573747,5752.981958751262,0.020716221078082332,520,0,520,8_POSSA
query_cycle_4_0.graph,1,0.1,520,5874.683194573747,5563.35229909073,0.05299535058683377,520,0,520,MAB
query_cycle_4_0.graph,1,0.1,520,5874.683194573747,8589.372002983517,0.462099609203989,520,0,520,PO
query_cycle_4_0.graph,1,0.1,520,5874.683194573747,193.4410164710884,0.9670720939216325,520,0,520,UN
query_cycle_4_0.graph,1,0.1,520,5874.683194573747,5592.196554234455,0.04808542537242099,520,0,520,WO
query_cycle_4_0.graph,2,0.1,520,5874.683194573747,5785.146716388588,0.0152410734706274,520,0,520,8_POSSA
query_cycle_4_0.graph,2,0.1,520,5874.683194573747,5568.826288708218,0.05206355742689895,520,0,520,MAB
query_cycle_4_0.graph,2,0.1,520,5874.683194573747,7090.580351760278,0.2069723790909467,520,0,520,PO
query_cycle_4_0.graph,2,0.1,520,5874.683194573747,10700.885038820506,0.8215254651867125,520,0,520,UN
query_cycle_4_0.graph,2,0.1,520,5874.683194573747,6142.6824513393085,0.04561935476164978,520,0,520,WO
query_cycle_4_0.graph,3,0.1,520,5874.683194573747,5736.327095488342,0.02355124429742864,520,0,520,8_POSSA
query_cycle_4_0.graph,3,0.1,520,5874.683194573747,5536.793975483975,0.05751616008874633,520,0,520,MAB
query_cycle_4_0.graph,3,0.1,520,5874.683194573747,6814.219524368448,0.15992970151352512,520,0,520,PO
query_cycle_4_0.graph,3,0.1,520,5874.683194573747,31988.039641605388,4.445066326495988,520,0,520,UN
query_cycle_4_0.graph,3,0.1,520,5874.683194573747,5920.180278823766,0.007744602175661658,520,0,520,WO
query_cycle_4_0.graph,4,0.1,520,5874.683194573747,5864.429958108392,0.0017453258543073315,520,0,520,8_POSSA
query_cycle_4_0.graph,4,0.1,520,5874.683194573747,5909.510089632547,0.005928301817358995,520,0,520,MAB
query_cycle_4_0.graph,4,0.1,520,5874.683194573747,5051.812249635389,0.14007069278193873,520,0,520,PO
query_cycle_4_0.graph,4,0.1,520,5874.683194573747,1866.573863932394,0.6822681662806112,520,0,520,UN
query_cycle_4_0.graph,4,0.1,520,5874.683194573747,7340.328373309366,0.24948497309427473,520,0,520,WO
query_cycle_4_0.graph,5,0.1,520,5874.683194573747,5768.695094125362,0.018041500611689625,520,0,520,8_POSSA
query_cycle_4_0.graph,5,0.1,520,5874.683194573747,5611.512437236249,0.04479743819727677,520,0,520,MAB
query_cycle_4_0.graph,5,0.1,520,5874.683194573747,6026.766900007853,0.025887984151142164,520,0,520,PO
query_cycle_4_0.graph,5,0.1,520,5874.683194573747,423.1734242036678,0.9279665966337487,520,0,520,UN
query_cycle_4_0.graph,5,0.1,520,5874.683194573747,6323.1033468562355,0.07633095052626494,520,0,520,WO
query_cycle_4_1.graph,1,0.1,517,5874.683194573747,6036.735314517358,0.02758482705812866,517,0,517,8_POSSA
query_cycle_4_1.graph,1,0.1,517,5874.683194573747,5856.663680507573,0.00306731673340574,517,0,517,MAB
query_cycle_4_1.graph,1,0.1,517,5874.683194573747,5710.760413117919,0.027903254699289688,517,0,517,PO
query_cycle_4_1.graph,1,0.1,517,5874.683194573747,4547.538809748045,0.22590909856237718,517,0,517,UN
query_cycle_4_1.graph,1,0.1,517,5874.683194573747,5610.712147861203,0.044933665011308986,517,0,517,WO
query_cycle_4_1.graph,2,0.1,517,5874.683194573747,5827.261140412263,0.008072274298175992,517,0,517,8_POSSA
query_cycle_4_1.graph,2,0.1,517,5874.683194573747,5886.7650950236775,0.002056604594625708,517,0,517,MAB
query_cycle_4_1.graph,2,0.1,517,5874.683194573747,6282.785936592536,0.06946804253133862,517,0,517,PO
query_cycle_4_1.graph,2,0.1,517,5874.683194573747,11952.48704213972,1.0345755926344833,517,0,517,UN
query_cycle_4_1.graph,2,0.1,517,5874.683194573747,5972.871412478452,0.016713789433853803,517,0,517,WO
query_cycle_4_1.graph,3,0.1,517,5874.683194573747,5866.700376041731,0.0013588508975920894,517,0,517,8_POSSA
query_cycle_4_1.graph,3,0.1,517,5874.683194573747,6486.935869938887,0.1042188412697144,517,0,517,MAB
query_cycle_4_1.graph,3,0.1,517,5874.683194573747,9913.210453033766,0.6874459651186424,517,0,517,PO
query_cycle_4_1.graph,3,0.1,517,5874.683194573747,441.36087583183695,0.9248706932418913,517,0,517,UN
query_cycle_4_1.graph,3,0.1,517,5874.683194573747,6018.617508401879,0.024500778860905962,517,0,517,WO
query_cycle_4_1.graph,4,0.1,517,5874.683194573747,6053.536791104239,0.030444807082651376,517,0,517,8_POSSA
query_cycle_4_1.graph,4,0.1,517,5874.683194573747,6219.742283862714,0.058736629339891475,517,0,517,MAB
query_cycle_4_1.graph,4,0.1,517,5874.683194573747,7066.548087190787,0.20288156027169715,517,0,517,PO
query_cycle_4_1.graph,4,0.1,517,5874.683194573747,554.8471260303968,0.9055528429953651,517,0,517,UN
query_cycle_4_1.graph,4,0.1,517,5874.683194573747,5382.662047589631,0.08375279665098877,517,0,517,WO
query_cycle_4_1.graph,5,0.1,517,5874.683194573747,5825.390908231517,0.008390628857699029,517,0,517,8_POSSA
query_cycle_4_1.graph,5,0.1,517,5874.683194573747,5116.164798104688,0.12911647681183513,517,0,517,MAB
query_cycle_4_1.graph,5,0.1,517,5874.683194573747,3765.382012945226,0.35904934985716563,517,0,517,PO
query_cycle_4_1.graph,5,0.1,517,5874.683194573747,12939.44535903669,1.2025775570312343,517,0,517,UN
query_cycle_4_1.graph,5,0.1,517,5874.683194573747,5301.818372279539,0.0975141643081867,517,0,517,WO
query_cycle_4_10.graph,1,0.1,362,5121.468583985834,5281.420216969784,0.03123159507101103,362,0,362,8_POSSA
query_cycle_4_10.graph,1,0.1,362,5121.468583985834,4797.4310692180825,0.06327042906813381,362,0,362,MAB
query_cycle_4_10.graph,1,0.1,362,5121.468583985834,6564.927594563569,0.28184474568315104,362,0,362,PO
query_cycle_4_10.graph,1,0.1,362,5121.468583985834,9080.620302075615,0.7730500838118061,362,0,362,UN
query_cycle_4_10.graph,1,0.1,362,5121.468583985834,6563.973567613916,0.2816584657257506,362,0,362,WO
query_cycle_4_10.graph,2,0.1,362,5121.468583985834,5377.15656640473,0.04992473901302439,362,0,362,8_POSSA
query_cycle_4_10.graph,2,0.1,362,5121.468583985834,4957.785594082141,0.03196016674113913,362,0,362,MAB
query_cycle_4_10.graph,2,0.1,362,5121.468583985834,6170.012642083666,0.20473503662142786,362,0,362,PO
query_cycle_4_10.graph,2,0.1,362,5121.468583985834,5783.246387198936,0.12921641368305858,362,0,362,UN
query_cycle_4_10.graph,2,0.1,362,5121.468583985834,5162.907374360425,0.00809119292543641,362,0,362,WO
query_cycle_4_10.graph,3,0.1,362,5121.468583985834,5191.680051861684,0.013709245058222554,362,0,362,8_POSSA
query_cycle_4_10.graph,3,0.1,362,5121.468583985834,5135.046147941963,0.002651107535558091,362,0,362,MAB
query_cycle_4_10.graph,3,0.1,362,5121.468583985834,6505.839975884492,0.2703075044192221,362,0,362,PO
query_cycle_4_10.graph,3,0.1,362,5121.468583985834,12845.942888097823,1.508253770854988,362,0,362,UN
query_cycle_4_10.graph,3,0.1,362,5121.468583985834,4449.911703685505,0.13112584198997138,362,0,362,WO
query_cycle_4_10.graph,4,0.1,362,5121.468583985834,5347.754881835522,0.044183869165429546,362,0,362,8_POSSA
query_cycle_4_10.graph,4,0.1,362,5121.468583985834,5000.551973892645,0.023609753356933473,362,0,362,MAB
query_cycle_4_10.graph,4,0.1,362,5121.468583985834,6821.99104295354,0.3320380533593468,362,0,362,PO
query_cycle_4_10.graph,4,0.1,362,5121.468583985834,2403.993083876392,0.5306047387670471,362,0,362,UN
query_cycle_4_10.graph,4,0.1,362,5121.468583985834,4440.9495485185025,0.13287576098684387,362,0,362,WO
query_cycle_4_10.graph,5,0.1,362,5121.468583985834,5301.927130259772,0.03523570306341588,362,0,362,8_POSSA
query_cycle_4_10.graph,5,0.1,362,5121.468583985834,5314.71137760914,0.03773191037968118,362,0,362,MAB
query_cycle_4_10.graph,5,0.1,362,5121.468583985834,3319.9465858564718,0.35175886927481836,362,0,362,PO
query_cycle_4_10.graph,5,0.1,362,5121.468583985834,5524.3331878595545,0.07866193012165024,362,0,362,UN
query_cycle_4_10.graph,5,0.1,362,5121.468583985834,6312.392688324159,0.2325356652703465,362,0,362,WO
query_cycle_4_11.graph,1,0.1,929,673.0402269210933,711.2631575764814,0.056791450386618966,929,0,929,8_POSSA
query_cycle_4_11.graph,1,0.1,929,673.0402269210933,666.4431154987743,0.00980195708731754,929,0,929,MAB
query_cycle_4_11.graph,1,0.1,929,673.0402269210933,732.7044724606222,0.08864885508028318,929,0,929,PO
query_cycle_4_11.graph,1,0.1,929,673.0402269210933,294.16118295961576,0.5629366994818529,929,0,929,UN
query_cycle_4_11.graph,1,0.1,929,673.0402269210933,627.5399921602609,0.06760403455968589,929,0,929,WO
query_cycle_4_11.graph,2,0.1,929,673.0402269210933,726.3415832505895,0.07919490425309321,929,0,929,8_POSSA
query_cycle_4_11.graph,2,0.1,929,673.0402269210933,736.1124456565534,0.09371240560759915,929,0,929,MAB
query_cycle_4_11.graph,2,0.1,929,673.0402269210933,541.437317964322,0.19553498244645093,929,0,929,PO
query_cycle_4_11.graph,2,0.1,929,673.0402269210933,1000.3996590148276,0.48638910276029257,929,0,929,UN
query_cycle_4_11.graph,2,0.1,929,673.0402269210933,937.2286142282875,0.39252986187134303,929,0,929,WO
query_cycle_4_11.graph,3,0.1,929,673.0402269210933,730.4482599338407,0.08529658513186891,929,0,929,8_POSSA
query_cycle_4_11.graph,3,0.1,929,673.0402269210933,758.1769848335571,0.12649579402100894,929,0,929,MAB
query_cycle_4_11.graph,3,0.1,929,673.0402269210933,671.5656071678943,0.002190983085728552,929,0,929,PO
query_cycle_4_11.graph,3,0.1,929,673.0402269210933,895.7501645447136,0.33090137664197977,929,0,929,UN
query_cycle_4_11.graph,3,0.1,929,673.0402269210933,762.5595293700401,0.13300735805713126,929,0,929,WO
query_cycle_4_11.graph,4,0.1,929,673.0402269210933,690.1755257440841,0.025459546305840186,929,0,929,8_POSSA
query_cycle_4_11.graph,4,0.1,929,673.0402269210933,772.9548411872759,0.14845266340654617,929,0,929,MAB
query_cycle_4_11.graph,4,0.1,929,673.0402269210933,722.4035691357597,0.07334382142429302,929,0,929,PO
query_cycle_4_11.graph,4,0.1,929,673.0402269210933,557.9706241232059,0.1709698740063246,929,0,929,UN
query_cycle_4_11.graph,4,0.1,929,673.0402269210933,736.2843483275309,0.0939678177866956,929,0,929,WO
query_cycle_4_11.graph,5,0.1,929,673.0402269210933,691.3698615173943,0.027234084774029242,929,0,929,8_POSSA
query_cycle_4_11.graph,5,0.1,929,673.0402269210933,616.4503151528196,0.08408102443913548,929,0,929,MAB
query_cycle_4_11.graph,5,0.1,929,673.0402269210933,681.4464701381544,0.012489956589246466,929,0,929,PO
query_cycle_4_11.graph,5,0.1,929,673.0402269210933,544.1481693614284,0.19150721220527606,929,0,929,UN
query_cycle_4_11.graph,5,0.1,929,673.0402269210933,587.9055031898818,0.12649277164408287,929,0,929,WO
query_cycle_4_12.graph,1,0.1,341,1525.8646281254978,1359.0215635703923,0.1093432939461148,341,0,341,8_POSSA
query_cycle_4_12.graph,1,0.1,341,1525.8646281254978,1263.3606194558504,0.17203623691842815,341,0,341,MAB
query_cycle_4_12.graph,1,0.1,341,1525.8646281254978,628.7433591902858,0.5879428963743083,341,0,341,PO
query_cycle_4_12.graph,1,0.1,341,1525.8646281254978,1670.860114012582,0.09502513081072535,341,0,341,UN
query_cycle_4_12.graph,1,0.1,341,1525.8646281254978,1473.2682531366293,0.034469882858142155,341,0,341,WO
query_cycle_4_12.graph,2,0.1,341,1525.8646281254978,1473.9528886034452,0.0340211959601065,341,0,341,8_POSSA
query_cycle_4_12.graph,2,0.1,341,1525.8646281254978,1373.4885902128935,0.09986209464714833,341,0,341,MAB
query_cycle_4_12.graph,2,0.1,341,1525.8646281254978,1671.253420861201,0.09528289079897682,341,0,341,PO
query_cycle_4_12.graph,2,0.1,341,1525.8646281254978,84.404168150581,0.9446843667552145,341,0,341,UN
query_cycle_4_12.graph,2,0.1,341,1525.8646281254978,1742.6943873609378,0.1421028807134825,341,0,341,WO
query_cycle_4_12.graph,3,0.1,341,1525.8646281254978,1477.9680472632467,0.03138979695799838,341,0,341,8_POSSA
query_cycle_4_12.graph,3,0.1,341,1525.8646281254978,1360.8315236429032,0.10815710741347699,341,0,341,MAB
query_cycle_4_12.graph,3,0.1,341,1525.8646281254978,1530.859295301528,0.003273335710105561,341,0,341,PO
query_cycle_4_12.graph,3,0.1,341,1525.8646281254978,259.4420068692258,0.8299704953591156,341,0,341,UN
query_cycle_4_12.graph,3,0.1,341,1525.8646281254978,1281.6378544715005,0.1600579560940647,341,0,341,WO
query_cycle_4_12.graph,4,0.1,341,1525.8646281254978,1473.673936720111,0.034204011577031124,341,0,341,8_POSSA
query_cycle_4_12.graph,4,0.1,341,1525.8646281254978,1783.441698178588,0.16880728821240182,341,0,341,MAB
query_cycle_4_12.graph,4,0.1,341,1525.8646281254978,796.1212846276914,0.47824907272035355,341,0,341,PO
query_cycle_4_12.graph,4,0.1,341,1525.8646281254978,3647.187596041478,1.3902432291926148,341,0,341,UN
query_cycle_4_12.graph,4,0.1,341,1525.8646281254978,1604.6951850244939,0.05166287719496994,341,0,341,WO
query_cycle_4_12.graph,5,0.1,341,1525.8646281254978,1515.2353332412065,0.006966079879149728,341,0,341,8_POSSA
query_cycle_4_12.graph,5,0.1,341,1525.8646281254978,1320.1954055964334,0.1347886429359897,341,0,341,MAB
query_cycle_4_12.graph,5,0.1,341,1525.8646281254978,1708.693692284178,0.11981997667989921,341,0,341,PO
query_cycle_4_12.graph,5,0.1,341,1525.8646281254978,398.72096210420597,0.7386917851329782,341,0,341,UN
query_cycle_4_12.graph,5,0.1,341,1525.8646281254978,1308.9742276212476,0.1421426229472905,341,0,341,WO
query_cycle_4_13.graph,1,0.1,481,5970.711749004785,5893.180563877578,0.012985250065058044,481,0,481,8_POSSA
query_cycle_4_13.graph,1,0.1,481,5970.711749004785,5684.617615098574,0.04791625285777663,481,0,481,MAB
query_cycle_4_13.graph,1,0.1,481,5970.711749004785,2177.859103542934,0.6352429668195009,481,0,481,PO
query_cycle_4_13.graph,1,0.1,481,5970.711749004785,8049.711365369244,0.3481996290829134,481,0,481,UN
query_cycle_4_13.graph,1,0.1,481,5970.711749004785,6079.050559840715,0.01814504122628071,481,0,481,WO
query_cycle_4_13.graph,2,0.1,481,5970.711749004785,5825.787421295068,0.02427253798240604,481,0,481,8_POSSA
query_cycle_4_13.graph,2,0.1,481,5970.711749004785,6023.6184444821365,0.008861036623677276,481,0,481,MAB
query_cycle_4_13.graph,2,0.1,481,5970.711749004785,5793.207697719818,0.02972912757253006,481,0,481,PO
query_cycle_4_13.graph,2,0.1,481,5970.711749004785,21417.515233661914,2.587095832792773,481,0,481,UN
query_cycle_4_13.graph,2,0.1,481,5970.711749004785,5770.480125402173,0.03353563729416128,481,0,481,WO
query_cycle_4_13.graph,3,0.1,481,5970.711749004785,5769.298804087968,0.03373348997301517,481,0,481,8_POSSA
query_cycle_4_13.graph,3,0.1,481,5970.711749004785,5310.837574057874,0.11051851147510187,481,0,481,MAB
query_cycle_4_13.graph,3,0.1,481,5970.711749004785,6031.121578818121,0.010117693225335338,481,0,481,PO
query_cycle_4_13.graph,3,0.1,481,5970.711749004785,11868.029968562134,0.9877077419690091,481,0,481,UN
query_cycle_4_13.graph,3,0.1,481,5970.711749004785,5877.245540835513,0.01565411496960165,481,0,481,WO
query_cycle_4_13.graph,4,0.1,481,5970.711749004785,5867.285039171919,0.01732234182132557,481,0,481,8_POSSA
query_cycle_4_13.graph,4,0.1,481,5970.711749004785,6130.252501582009,0.02672055850021851,481,0,481,MAB
query_cycle_4_13.graph,4,0.1,481,5970.711749004785,8754.096920014603,0.4661730942669876,481,0,481,PO
query_cycle_4_13.graph,4,0.1,481,5970.711749004785,858.7464531721632,0.8561735201309456,481,0,481,UN
query_cycle_4_13.graph,4,0.1,481,5970.711749004785,5786.252554176694,0.03089400436369039,481,0,481,WO
query_cycle_4_13.graph,5,0.1,481,5970.711749004785,5846.213013704287,0.020851573570144277,481,0,481,8_POSSA
query_cycle_4_13.graph,5,0.1,481,5970.711749004785,5233.97775013701,0.12339131913219155,481,0,481,MAB
query_cycle_4_13.graph,5,0.1,481,5970.711749004785,4042.4693821815395,0.32295016873736204,481,0,481,PO
query_cycle_4_13.graph,5,0.1,481,5970.711749004785,5952.3565344758,0.003074208787929599,481,0,481,UN
query_cycle_4_13.graph,5,0.1,481,5970.711749004785,6033.618985618795,0.01053596945531585,481,0,481,WO
query_cycle_4_14.graph,1,0.1,487,5970.711749004785,5994.109487468063,0.003918751975788829,487,0,487,8_POSSA
query_cycle_4_14.graph,1,0.1,487,5970.711749004785,5823.7649672970465,0.024611267112707613,487,0,487,MAB
query_cycle_4_14.graph,1,0.1,487,5970.711749004785,8354.293797152583,0.39921238008937543,487,0,487,PO
query_cycle_4_14.graph,1,0.1,487,5970.711749004785,48.93028151563848,0.9918049499670127,487,0,487,UN
query_cycle_4_14.graph,1,0.1,487,5970.711749004785,5170.116416918127,0.134087084713159,487,0,487,WO
query_cycle_4_14.graph,2,0.1,487,5970.711749004785,5914.8135232684335,0.009362070735648669,487,0,487,8_POSSA
query_cycle_4_14.graph,2,0.1,487,5970.711749004785,5716.0155738759295,0.04265759022302641,487,0,487,MAB
query_cycle_4_14.graph,2,0.1,487,5970.711749004785,3856.946787121672,0.35402227585939666,487,0,487,PO
query_cycle_4_14.graph,2,0.1,487,5970.711749004785,1018.7209357362925,0.8293803187021889,487,0,487,UN
query_cycle_4_14.graph,2,0.1,487,5970.711749004785,5551.697555236698,0.0701782654032712,487,0,487,WO
query_cycle_4_14.graph,3,0.1,487,5970.711749004785,6019.073022321739,0.008099750138668958,487,0,487,8_POSSA
query_cycle_4_14.graph,3,0.1,487,5970.711749004785,5432.334159161721,0.09016975068890276,487,0,487,MAB
query_cycle_4_14.graph,3,0.1,487,5970.711749004785,5685.655488712739,0.04774242540507173,487,0,487,PO
query_cycle_4_14.graph,3,0.1,487,5970.711749004785,3764.489559016108,0.36950740259005405,487,0,487,UN
query_cycle_4_14.graph,3,0.1,487,5970.711749004785,5828.162686873756,0.0238747184797172,487,0,487,WO
query_cycle_4_14.graph,4,0.1,487,5970.711749004785,5981.191523034933,0.0017551967789929048,487,0,487,8_POSSA
query_cycle_4_14.graph,4,0.1,487,5970.711749004785,5586.444029641202,0.06435877924062128,487,0,487,MAB
query_cycle_4_14.graph,4,0.1,487,5970.711749004785,4625.241854022201,0.22534497586604327,487,0,487,PO
query_cycle_4_14.graph,4,0.1,487,5970.711749004785,12432.261916383779,1.0822076896370056,487,0,487,UN
query_cycle_4_14.graph,4,0.1,487,5970.711749004785,6281.128935268327,0.05198998030934643,487,0,487,WO
query_cycle_4_14.graph,5,0.1,487,5970.711749004785,5891.090967169013,0.013335224539862104,487,0,487,8_POSSA
query_cycle_4_14.graph,5,0.1,487,5970.711749004785,5622.172807657332,0.058374772723796056,487,0,487,MAB
query_cycle_4_14.graph,5,0.1,487,5970.711749004785,6485.621406668798,0.08623924237338032,487,0,487,PO
query_cycle_4_14.graph,5,0.1,487,5970.711749004785,30554.918675802088,4.117466720930728,487,0,487,UN
