query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_0.graph,1,0.1,516,5874.683194573747,5811.135319296279,0.010817242934251337,516,0,516,8_POSSA
query_cycle_4_0.graph,2,0.1,516,5874.683194573747,5871.41952988319,0.0005555473516548421,516,0,516,8_POSSA
query_cycle_4_0.graph,3,0.1,516,5874.683194573747,6013.922283806854,0.02370154859784055,516,0,516,8_POSSA
query_cycle_4_0.graph,4,0.1,516,5874.683194573747,5962.982270946186,0.015030440527243786,516,0,516,8_POSSA
query_cycle_4_0.graph,5,0.1,516,5874.683194573747,5992.948985831728,0.020131433022161922,516,0,516,8_POSSA
query_cycle_4_1.graph,1,0.1,515,5874.683194573747,5871.970298921426,0.0004617943746867759,515,0,515,8_POSSA
query_cycle_4_1.graph,2,0.1,515,5874.683194573747,6002.942907757805,0.02183261785121073,515,0,515,8_POSSA
query_cycle_4_1.graph,3,0.1,515,5874.683194573747,6003.587242119171,0.021942297699472275,515,0,515,8_POSSA
query_cycle_4_1.graph,4,0.1,515,5874.683194573747,5937.109796549736,0.010626377611928129,515,0,515,8_POSSA
query_cycle_4_1.graph,5,0.1,515,5874.683194573747,6067.29429889307,0.03278663681766394,515,0,515,8_POSSA
query_cycle_4_10.graph,1,0.1,360,5121.468583985834,5340.095195073999,0.04268826558299746,360,0,360,8_POSSA
query_cycle_4_10.graph,2,0.1,360,5121.468583985834,5362.296074074453,0.04702313138103693,360,0,360,8_POSSA
query_cycle_4_10.graph,3,0.1,360,5121.468583985834,5221.293672890885,0.01949149687595302,360,0,360,8_POSSA
query_cycle_4_10.graph,4,0.1,360,5121.468583985834,5352.874754892928,0.04518355762850344,360,0,360,8_POSSA
query_cycle_4_10.graph,5,0.1,360,5121.468583985834,5350.049286412282,0.04463186655897682,360,0,360,8_POSSA
query_cycle_4_11.graph,1,0.1,923,673.0402269210933,722.915719508986,0.07410477203725888,923,0,923,8_POSSA
query_cycle_4_11.graph,2,0.1,923,673.0402269210933,715.3985339167596,0.06293577308066652,923,0,923,8_POSSA
query_cycle_4_11.graph,3,0.1,923,673.0402269210933,720.9748754632757,0.07122107509303774,923,0,923,8_POSSA
query_cycle_4_11.graph,4,0.1,923,673.0402269210933,704.825150357492,0.04722588957543116,923,0,923,8_POSSA
query_cycle_4_11.graph,5,0.1,923,673.0402269210933,718.0101577367892,0.06681611145505588,923,0,923,8_POSSA
query_cycle_4_12.graph,1,0.1,341,1525.8646281254978,1338.2917429293614,0.12292891632632376,341,0,341,8_POSSA
query_cycle_4_12.graph,2,0.1,341,1525.8646281254978,1442.9805936294051,0.05431938913081333,341,0,341,8_POSSA
query_cycle_4_12.graph,3,0.1,341,1525.8646281254978,1518.4771686376964,0.004841490753263456,341,0,341,8_POSSA
query_cycle_4_12.graph,4,0.1,341,1525.8646281254978,1449.145513007893,0.0502791097607742,341,0,341,8_POSSA
query_cycle_4_12.graph,5,0.1,341,1525.8646281254978,1541.4288203180845,0.010200244442200006,341,0,341,8_POSSA
query_cycle_4_13.graph,1,0.1,483,5970.711749004785,5922.546355895313,0.008066943294909505,483,0,483,8_POSSA
query_cycle_4_13.graph,2,0.1,483,5970.711749004785,5800.471315103451,0.02851258628080813,483,0,483,8_POSSA
query_cycle_4_13.graph,3,0.1,483,5970.711749004785,5872.883661369109,0.016384660949673543,483,0,483,8_POSSA
query_cycle_4_13.graph,4,0.1,483,5970.711749004785,6052.387563476881,0.013679410077987786,483,0,483,8_POSSA
query_cycle_4_13.graph,5,0.1,483,5970.711749004785,5889.286641251292,0.013637420658779065,483,0,483,8_POSSA
query_cycle_4_14.graph,1,0.1,486,5970.711749004785,5885.147433905624,0.014330672572398596,486,0,486,8_POSSA
query_cycle_4_14.graph,2,0.1,486,5970.711749004785,5869.642802559422,0.016927453659475195,486,0,486,8_POSSA
query_cycle_4_14.graph,3,0.1,486,5970.711749004785,5896.096097934466,0.01249694411771858,486,0,486,8_POSSA
query_cycle_4_14.graph,4,0.1,486,5970.711749004785,5811.604919051292,0.02664788330805169,486,0,486,8_POSSA
query_cycle_4_14.graph,5,0.1,486,5970.711749004785,5887.388932097886,0.013955256996083819,486,0,486,8_POSSA
query_cycle_4_2.graph,1,0.1,956,453.9140126205758,417.1149193458645,0.08107062626742803,956,0,956,8_POSSA
query_cycle_4_2.graph,2,0.1,956,453.9140126205758,420.1700161707994,0.07434006334143037,956,0,956,8_POSSA
query_cycle_4_2.graph,3,0.1,956,453.9140126205758,410.88298758621767,0.09479994853194264,956,0,956,8_POSSA
query_cycle_4_2.graph,4,0.1,956,453.9140126205758,412.2602285711859,0.09176580341485971,956,0,956,8_POSSA
query_cycle_4_2.graph,5,0.1,956,453.9140126205758,439.0417954926004,0.03276439306668207,956,0,956,8_POSSA
query_cycle_4_3.graph,1,0.1,272,1346.537704918033,1342.1100570989656,0.0032881721788375635,272,0,272,8_POSSA
query_cycle_4_3.graph,2,0.1,272,1346.537704918033,1270.83999689152,0.05621655283029801,272,0,272,8_POSSA
query_cycle_4_3.graph,3,0.1,272,1346.537704918033,1356.685653655142,0.007536327204240336,272,0,272,8_POSSA
