query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_4_3.graph,1,0.1,268,2440.0,2606.5802367169244,0.06827058881841166,268,0,268,8_POSSA
query_cycle_4_3.graph,2,0.1,268,2440.0,2638.504775536292,0.0813544162033984,268,0,268,8_POSSA
query_cycle_4_3.graph,3,0.1,268,2440.0,2445.8375673632772,0.0023924456406873894,268,0,268,8_POSSA
query_cycle_4_3.graph,4,0.1,268,2440.0,2423.449122469547,0.006783146528874143,268,0,268,8_POSSA
query_cycle_4_3.graph,5,0.1,268,2440.0,2478.2445560124643,0.015673998365764046,268,0,268,8_POSSA
query_cycle_6_104.graph,1,0.1,335,81954.0,80634.43907609742,0.016101238791304633,335,0,335,8_POSSA
query_cycle_6_104.graph,2,0.1,335,81954.0,80823.21166846703,0.013797841856809519,335,0,335,8_POSSA
query_cycle_6_104.graph,3,0.1,335,81954.0,80112.18246806158,0.022473796665671196,335,0,335,8_POSSA
query_cycle_6_104.graph,4,0.1,335,81954.0,84970.02772886124,0.03680147068918224,335,0,335,8_POSSA
query_cycle_6_104.graph,5,0.1,335,81954.0,83597.91133339066,0.020058951770391402,335,0,335,8_POSSA
query_cycle_4_12.graph,1,0.1,345,12558.0,12208.712220318295,0.027813965574271755,345,0,345,8_POSSA
query_cycle_4_12.graph,2,0.1,345,12558.0,12690.253961627528,0.010531450997573502,345,0,345,8_POSSA
query_cycle_4_12.graph,3,0.1,345,12558.0,12671.174484048599,0.009012142383229732,345,0,345,8_POSSA
query_cycle_4_12.graph,4,0.1,345,12558.0,12867.43605527082,0.02464055225918302,345,0,345,8_POSSA
query_cycle_4_12.graph,5,0.1,345,12558.0,12244.11876077667,0.02499452454398235,345,0,345,8_POSSA
query_cycle_4_10.graph,1,0.1,359,93742.0,95414.90285115004,0.017845819922233754,359,0,359,8_POSSA
query_cycle_4_10.graph,2,0.1,359,93742.0,95463.67533163555,0.018366104111663353,359,0,359,8_POSSA
query_cycle_4_10.graph,3,0.1,359,93742.0,94987.2874655308,0.01328419988405194,359,0,359,8_POSSA
query_cycle_4_10.graph,4,0.1,359,93742.0,98629.7883107133,0.05214085800082455,359,0,359,8_POSSA
