query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_6_143.graph,1,0.01,16,764928128.0,591363644.734719,0.22690299508149472,16,0,16,8_POSSA
query_cycle_6_143.graph,2,0.01,16,764928128.0,1018221855.0982714,0.33113402138909365,16,0,16,8_POSSA
query_cycle_6_143.graph,3,0.01,16,764928128.0,619201626.1606238,0.19051005774934218,16,0,16,8_POSSA
query_cycle_6_143.graph,4,0.01,16,764928128.0,604976883.739362,0.20910623940428297,16,0,16,8_POSSA
query_cycle_6_143.graph,5,0.01,16,764928128.0,791416358.9465361,0.03462839184093393,16,0,16,8_POSSA
query_cycle_6_143.graph,1,0.05,84,764928128.0,834291840.6930326,0.09068003927949767,84,0,84,8_POSSA
query_cycle_6_143.graph,2,0.05,84,764928128.0,794733482.9066842,0.0389649090099667,84,0,84,8_POSSA
query_cycle_6_143.graph,3,0.05,84,764928128.0,808585340.3240479,0.05707361348862298,84,0,84,8_POSSA
query_cycle_6_143.graph,4,0.05,84,764928128.0,808589215.3619621,0.05707867937360264,84,0,84,8_POSSA
query_cycle_6_143.graph,5,0.05,84,764928128.0,799555705.132356,0.04526905975191966,84,0,84,8_POSSA
query_cycle_6_143.graph,1,0.075,127,764928128.0,811697189.3469255,0.06114177219395637,127,0,127,8_POSSA
query_cycle_6_143.graph,2,0.075,127,764928128.0,808685929.4669887,0.057205114918964885,127,0,127,8_POSSA
query_cycle_6_143.graph,3,0.075,127,764928128.0,823038569.0553874,0.07596849812194038,127,0,127,8_POSSA
query_cycle_6_143.graph,4,0.075,127,764928128.0,809137011.6579388,0.05779482024478362,127,0,127,8_POSSA
query_cycle_6_143.graph,5,0.075,127,764928128.0,808367519.3874872,0.05678885348492136,127,0,127,8_POSSA
query_cycle_6_143.graph,1,0.1,169,764928128.0,811902210.3375312,0.061409798670040816,169,0,169,8_POSSA
query_cycle_6_143.graph,2,0.1,169,764928128.0,810338007.2722692,0.059364896661597534,169,0,169,8_POSSA
query_cycle_6_143.graph,3,0.1,169,764928128.0,810165291.680537,0.05913910343291361,169,0,169,8_POSSA
query_cycle_6_143.graph,4,0.1,169,764928128.0,810621292.8892584,0.0597352394514879,169,0,169,8_POSSA
query_cycle_6_143.graph,5,0.1,169,764928128.0,809835266.2352513,0.05870765708755752,169,0,169,8_POSSA
query_cycle_6_143.graph,1,0.125,212,764928128.0,808771673.1354868,0.057317208677005065,212,0,212,8_POSSA
query_cycle_6_143.graph,2,0.125,212,764928128.0,812047814.9061737,0.061600149323014185,212,0,212,8_POSSA
query_cycle_6_143.graph,3,0.125,212,764928128.0,809647634.4536095,0.05846236373936751,212,0,212,8_POSSA
query_cycle_6_143.graph,4,0.125,212,764928128.0,811874026.0098379,0.061372952949950696,212,0,212,8_POSSA
query_cycle_6_143.graph,5,0.125,212,764928128.0,811851189.7482398,0.061343098822795226,212,0,212,8_POSSA
query_cycle_6_143.graph,1,0.15,254,764928128.0,810695059.1519008,0.059831674998753304,254,0,254,8_POSSA
query_cycle_6_143.graph,2,0.15,254,764928128.0,810643796.2070588,0.05976465831709981,254,0,254,8_POSSA
query_cycle_6_143.graph,3,0.15,254,764928128.0,810634923.943315,0.059753059497002874,254,0,254,8_POSSA
query_cycle_6_143.graph,4,0.15,254,764928128.0,810705642.3231164,0.05984551050934346,254,0,254,8_POSSA
query_cycle_6_143.graph,5,0.15,254,764928128.0,810763713.2081118,0.059921427295338996,254,0,254,8_POSSA
