query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_post,n_comment,oracle_cost,method
query_cycle_6_123.graph,1,0.05,56,121981094.0,133459938.36839359,0.0941034712182003,56,0,56,POSSA_Q1_Low
query_cycle_6_123.graph,2,0.05,56,121981094.0,113750419.09079152,0.0674750048495915,56,0,56,POSSA_Q1_Low
query_cycle_6_123.graph,3,0.05,56,121981094.0,119898511.63920724,0.017072992973753424,56,0,56,POSSA_Q1_Low
query_cycle_6_123.graph,4,0.05,56,121981094.0,109210838.71742375,0.10469044721451874,56,0,56,POSSA_Q1_Low
query_cycle_6_123.graph,5,0.05,56,121981094.0,128443193.8967254,0.05297624152088193,56,0,56,POSSA_Q1_Low
query_cycle_6_123.graph,1,0.05,56,121981094.0,109898175.1920103,0.09905566847916368,56,0,56,POSSA_Q2_Med
query_cycle_6_123.graph,2,0.05,56,121981094.0,118643937.55856621,0.027357980913286343,56,0,56,POSSA_Q2_Med
query_cycle_6_123.graph,3,0.05,56,121981094.0,106155244.01080638,0.12974018735389944,56,0,56,POSSA_Q2_Med
query_cycle_6_123.graph,4,0.05,56,121981094.0,144224302.99182904,0.18234964339497592,56,0,56,POSSA_Q2_Med
query_cycle_6_123.graph,5,0.05,56,121981094.0,105201487.84149146,0.13755907254372174,56,0,56,POSSA_Q2_Med
query_cycle_6_123.graph,1,0.05,56,121981094.0,140352458.49261948,0.1506082942051617,56,0,56,POSSA_Q3_High
query_cycle_6_123.graph,2,0.05,56,121981094.0,126962309.37310654,0.04083596244108566,56,0,56,POSSA_Q3_High
query_cycle_6_123.graph,3,0.05,56,121981094.0,119302567.88853548,0.02195853491414428,56,0,56,POSSA_Q3_High
query_cycle_6_123.graph,4,0.05,56,121981094.0,131156583.82656157,0.07522058972976231,56,0,56,POSSA_Q3_High
query_cycle_6_123.graph,5,0.05,56,121981094.0,117328563.8970303,0.038141403314268574,56,0,56,POSSA_Q3_High
query_cycle_6_123.graph,1,0.05,56,121981094.0,112112895.52581638,0.0808994094952421,56,0,56,POSSA_Q4_Best
query_cycle_6_123.graph,2,0.05,56,121981094.0,128030243.83074161,0.0495908802944628,56,0,56,POSSA_Q4_Best
query_cycle_6_123.graph,3,0.05,56,121981094.0,121151106.76044326,0.00680422852705965,56,0,56,POSSA_Q4_Best
query_cycle_6_123.graph,4,0.05,56,121981094.0,116393609.94979714,0.04580614804293247,56,0,56,POSSA_Q4_Best
query_cycle_6_123.graph,5,0.05,56,121981094.0,108586119.57284573,0.10981188959622114,56,0,56,POSSA_Q4_Best
query_cycle_6_123.graph,1,0.1,113,121981094.0,123514175.8668317,0.012568192467856575,113,0,113,POSSA_Q1_Low
query_cycle_6_123.graph,2,0.1,113,121981094.0,129002785.81235301,0.057563771418159396,113,0,113,POSSA_Q1_Low
query_cycle_6_123.graph,3,0.1,113,121981094.0,113390056.28937083,0.07042925611594503,113,0,113,POSSA_Q1_Low
query_cycle_6_123.graph,4,0.1,113,121981094.0,121354854.70448017,0.005133904566553804,113,0,113,POSSA_Q1_Low
query_cycle_6_123.graph,5,0.1,113,121981094.0,120636046.12741631,0.011026691337787865,113,0,113,POSSA_Q1_Low
query_cycle_6_123.graph,1,0.1,113,121981094.0,126206807.60842471,0.03464236522116049,113,0,113,POSSA_Q2_Med
query_cycle_6_123.graph,2,0.1,113,121981094.0,117247664.49315746,0.03880461595829382,113,0,113,POSSA_Q2_Med
query_cycle_6_123.graph,3,0.1,113,121981094.0,149140162.83597487,0.22264982175004,113,0,113,POSSA_Q2_Med
query_cycle_6_123.graph,4,0.1,113,121981094.0,115383832.63910384,0.054084294086558654,113,0,113,POSSA_Q2_Med
query_cycle_6_123.graph,5,0.1,113,121981094.0,114981743.01199508,0.05738062152488092,113,0,113,POSSA_Q2_Med
query_cycle_6_123.graph,1,0.1,113,121981094.0,122485478.90676089,0.004134943295072319,113,0,113,POSSA_Q3_High
query_cycle_6_123.graph,2,0.1,113,121981094.0,117836903.0557461,0.033974043094365976,113,0,113,POSSA_Q3_High
query_cycle_6_123.graph,3,0.1,113,121981094.0,122829678.92217623,0.0069566921753975,113,0,113,POSSA_Q3_High
query_cycle_6_123.graph,4,0.1,113,121981094.0,123693749.29051925,0.014040333910427565,113,0,113,POSSA_Q3_High
query_cycle_6_123.graph,5,0.1,113,121981094.0,117744416.1615569,0.03473224988819251,113,0,113,POSSA_Q3_High
query_cycle_6_123.graph,1,0.1,113,121981094.0,127242767.90794913,0.04313515919072782,113,0,113,POSSA_Q4_Best
query_cycle_6_123.graph,2,0.1,113,121981094.0,115937433.17340754,0.049545881483834375,113,0,113,POSSA_Q4_Best
query_cycle_6_123.graph,3,0.1,113,121981094.0,130408419.5525594,0.06908714519775831,113,0,113,POSSA_Q4_Best
query_cycle_6_123.graph,4,0.1,113,121981094.0,129736208.42963548,0.06357636397026804,113,0,113,POSSA_Q4_Best
query_cycle_6_123.graph,5,0.1,113,121981094.0,116520174.09545341,0.04476857622334973,113,0,113,POSSA_Q4_Best
query_cycle_6_123.graph,1,0.15,169,121981094.0,120709635.80280873,0.010423403787403876,169,0,169,POSSA_Q1_Low
