comments,body,bodywithurls,createdAt,createdAtformatted,creator,datatype,depth,depthRaw,followers,following,hashtags,id,lastseents,links,media,posts,sensitive,shareLink,upvotes,urls,username,verified,article,impressions,preview,reposts,state,parent,color,commentDepth,controversy,downvotes,post,score,isPrimary,conversation,replyingTo
1,Warnock is a racist lying piece of shit,"Warnock is a racist lying piece of shit
",20201122203038.0,2020-11-22 20:30:38 UTC,701d82dbd28948df810ae688ee407423,comments,1.0,1.0,150.0,36.0,[],ab06d8a3bf634afda75fdd86eb4ad06e,2021-01-09T16:06:40.983490+00:00,[],0.0,632.0,False,https://parler.com/comment/ab06d8a3bf634afda75fdd86eb4ad06e,2.0,[],Brorick61,False,,,,,,51d219364d2b40d88eaf169a8d61889e,#a60303,0.0,0.0,0.0,51d219364d2b40d88eaf169a8d61889e,2.0,True,,
0,Freedom with President Trump Australia 🇦🇺,"Freedom with President Trump Australia 🇦🇺
",20201123195223.0,2020-11-23 19:52:23 UTC,38849593ccd34dfba79846cc74795530,comments,1.0,1.0,568.0,78.0,[],85856a5ecf474c43a68f27960a1a418e,2020-12-25T11:42:52.605814+00:00,[],0.0,6600.0,False,https://parler.com/comment/85856a5ecf474c43a68f27960a1a418e,0.0,[],Peterandlindamacdonnell,False,,,,,,ebed556110f64d1b8facd5a07fca64fc,#a60303,0.0,0.0,0.0,ebed556110f64d1b8facd5a07fca64fc,0.0,True,,
0,❣️💯‼️,"❣️💯‼️
",20201114143504.0,2020-11-14 14:35:04 UTC,b7d1aa6351a944f1aee73de7f3adb14b,comments,2.0,2.0,1200.0,1000.0,[],f8d93df711da4bb3a1a33e981538597f,2021-01-08T22:51:45.662688+00:00,[],222.0,429.0,False,https://parler.com/comment/f8d93df711da4bb3a1a33e981538597f,0.0,[],DreamWeaver1,False,,,,,,677345a8eb554539b53e4b92c193f204,#808080,1.0,0.0,0.0,bb67cbdd7e644d7caf43d6435c219d80,0.0,False,,
0,My home state!! The excitement for Trump was off the charts!!,"My home state!! The excitement for Trump was off the charts!!
",20201104033429.0,2020-11-04 03:34:29 UTC,538dd3200d8cdefa683012ccc1a055f8,comments,1.0,1.0,145.0,43.0,[],938b10face544e4789a45e403b951c42,2021-01-08T06:10:30.319650+00:00,[],3.0,26.0,False,https://parler.com/comment/938b10face544e4789a45e403b951c42,7.0,[],IndependentGal,False,,,,,,4c10499db1a04ef18f7027afdfdabec4,#a60303,0.0,0.0,0.0,4c10499db1a04ef18f7027afdfdabec4,7.0,True,,
0,"Amen brother, God is what made this country great to begin with.","Amen brother, God is what made this country great to begin with.
",20201121053151.0,2020-11-21 05:31:51 UTC,8310dda14a8d4a7ab60b73da18a542ee,comments,2.0,2.0,10000.0,17000.0,[],995b3f4ca9724f57ba5956b909533796,2021-01-09T23:53:22.718556+00:00,[],43.0,724.0,False,https://parler.com/comment/995b3f4ca9724f57ba5956b909533796,0.0,[],MagaMikeMoore,False,,,,,,6ca25fa371094ae381effb968f5ff623,#808080,1.0,0.0,0.0,a069ea167bc64f0dad6fa030e7d66b23,0.0,False,,
1,Joe looks very happy in this photo. *eyeroll*,"Joe looks very happy in this photo. *eyeroll*
",20201129221351.0,2020-11-29 22:13:51 UTC,f43b921cd2234d5dbca6e96fc6e54be5,comments,1.0,1.0,630.0,839.0,[],d51c79e418b04f8ca84d38ce61365d46,2020-12-25T08:13:50.222662+00:00,[],6.0,2400.0,False,https://parler.com/comment/d51c79e418b04f8ca84d38ce61365d46,1.0,[],Ferdinand0,False,,,,,,e0a73ea1ed01476c883db5f95bedf58f,#a60303,0.0,0.0,0.0,e0a73ea1ed01476c883db5f95bedf58f,1.0,True,,
0,Amazing,"Amazing
",20201124231850.0,2020-11-24 23:18:50 UTC,bcd91e184c944fd4bc8caacd2514c297,comments,1.0,1.0,34.0,106.0,[],6aa6ec6e59d44b11aea85ce86f0a34ca,2021-01-09T18:39:09.786124+00:00,[],0.0,67.0,False,https://parler.com/comment/6aa6ec6e59d44b11aea85ce86f0a34ca,0.0,[],zurco,False,,,,,,88936cc4fc684a0980a0e5cbf2103205,#a60303,0.0,0.0,0.0,88936cc4fc684a0980a0e5cbf2103205,0.0,True,,
0,@Jop84151 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣. I love it! Made my day! 😊 I bow before your wittiness!,"@Jop84151 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣. I love it! Made my day! 😊 I bow before your wittiness!
",20190909193150.0,2019-09-09 19:31:50 UTC,0f90060e69794aa8a1d8c28b56adc22f,comments,11.0,11.0,10000.0,14000.0,[],63f4c44f07434216889eba084c2a4e01,2020-12-13T11:54:49.601185+00:00,[],403.0,23000.0,False,https://parler.com/comment/63f4c44f07434216889eba084c2a4e01,0.0,[],Climmyr50,False,,,,,,d9c9fd5e4a0b400ab476314a07937e81,#df529f,1.0,0.0,0.0,ce2c5a368f374e69adbcc3646071008f,0.0,,ce291399d7854c61a0b0b27f14c46dbf,ae1b5714eca748bb91d0ebfd9dfc6def
0,"#saveamerica 
#marchfortrump #proudboys #supporttrump #kag #trump2020 #1776
#americafirst #dominion
#maga #maga2020 #wwg1wga #kag2020 #adrenochrome #thesepeoplearesick #bidencrimefamily #frazzledrip #pedowood #democratcriminalcabal #elections2020 #pedogate #obamagate
#GODWINS #patriots 
#mailinballots #whereshunter #laptopfromhell 
#treason 
#stopthesteal #holdtheline #poyb #nevergiveup #standup #maxwell #epstein @davidwilliams128
@TheProudBoys #thesepeopleareevil #hrc #orionlines #freedom 
#USA #truth #1a #2a 
#tunnels #communism
#humantrafficking
#trump #satanist #clintonbodycount
@teamtrump
#savethechildren
@warroompandemic
#voterfraud #electionfraud 
#greatestpresidentever
@theinfowars #smartmatic #releasethekraken
#digitalsoldiers
#wakeupamerica #walkaway #kracken @davidwilliams128
#qanonarmy
#GodblessAmerica @HowieCarr #bigtech #Trump2020landslide
@EricTrump #Trumptrain 
Don’t lockdown🔥
‼️IT IS NOT THE LAW‼️#fightback in masses #resist #revolution #sayit
#wearethenewsnow","#saveamerica 
#marchfortrump #proudboys #supporttrump #kag #trump2020 #1776
#americafirst #dominion
#maga #maga2020 #wwg1wga #kag2020 #adrenochrome #thesepeoplearesick #bidencrimefamily #frazzledrip #pedowood #democratcriminalcabal #elections2020 #pedogate #obamagate
#GODWINS #patriots 
#mailinballots #whereshunter #laptopfromhell 
#treason 
#stopthesteal #holdtheline #poyb #nevergiveup #standup #maxwell #epstein @davidwilliams128
@TheProudBoys #thesepeopleareevil #hrc #orionlines #freedom 
#USA #truth #1a #2a 
#tunnels #communism
#humantrafficking
#trump #satanist #clintonbodycount
@teamtrump
#savethechildren
@warroompandemic
#voterfraud #electionfraud 
#greatestpresidentever
@theinfowars #smartmatic #releasethekraken
#digitalsoldiers
#wakeupamerica #walkaway #kracken @davidwilliams128
#qanonarmy
#GodblessAmerica @HowieCarr #bigtech #Trump2020landslide
@EricTrump #Trumptrain 
Don’t lockdown🔥
‼️IT IS NOT THE LAW‼️#fightback in masses #resist #revolution #sayit
#wearethenewsnow
",20201127145741.0,2020-11-27 14:57:41 UTC,d8351de608ea4442a8feeb58c4bd191a,comments,5.0,5.0,4200.0,954.0,"['saveamerica', 'marchfortrump', 'proudboys', 'supporttrump', 'kag', 'trump2020', '1776', 'americafirst', 'dominion', 'maga', 'maga2020', 'wwg1wga', 'kag2020', 'adrenochrome', 'thesepeoplearesick', 'bidencrimefamily', 'frazzledrip', 'pedowood', 'democratcriminalcabal', 'elections2020', 'pedogate', 'obamagate', 'godwins', 'patriots', 'mailinballots', 'whereshunter', 'laptopfromhell', 'treason', 'stopthesteal', 'holdtheline', 'poyb', 'nevergiveup', 'standup', 'maxwell', 'epstein', 'thesepeopleareevil', 'hrc', 'orionlines', 'freedom', 'usa', 'truth', '1a', '2a', 'tunnels', 'communism', 'humantrafficking', 'trump', 'satanist', 'clintonbodycount', 'savethechildren', 'voterfraud', 'electionfraud', 'greatestpresidentever', 'smartmatic', 'releasethekraken', 'digitalsoldiers', 'wakeupamerica', 'walkaway', 'kracken', 'qanonarmy', 'godblessamerica', 'bigtech', 'trump2020landslide', 'trumptrain', 'fightback', 'resist', 'revolution', 'sayit', 'wearethenewsnow']",3dbb86f199e24c6f96c013d9166ad565,2021-01-09T23:01:07.470094+00:00,[],250.0,17000.0,False,https://parler.com/comment/3dbb86f199e24c6f96c013d9166ad565,0.0,[],Reeseysnotsorry,False,,,,,,7674903ad84347cfb3c38fc79f2d0941,#808080,1.0,0.0,0.0,01180b83549e45188a2b4e1f8372acb0,0.0,False,,
-1,It ain't over til the FAT lady sings!,"It ain't over til the FAT lady sings!
",20201108225531.0,2020-11-08 22:55:31 UTC,1750d336c8524a6d96207ad6e0f037b8,comments,1.0,1.0,24.0,24.0,[],3246a2db420c44768b6a1aafddcff8b5,2021-01-08T20:08:52.408403+00:00,[],1.0,67.0,False,https://parler.com/comment/3246a2db420c44768b6a1aafddcff8b5,0.0,[],adh1982,False,,,,,,88936cc4fc684a0980a0e5cbf2103205,#a60303,0.0,0.0,0.0,88936cc4fc684a0980a0e5cbf2103205,0.0,True,,
