query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,n_post,trials
query_dense_1_1.graph,Uniform,10681.0,11872.174339622641,0.11152273566357468,0.11152273566357468,0.09433962264150944,1970,2650
query_dense_1_1.graph,Importance,10681.0,10528.51651675652,-0.014276142986937627,0.014276142986937627,0.12754716981132075,1970,2650
query_dense_1_2.graph,Uniform,1620.0,1924.4701,0.1879445061728395,0.1879445061728395,0.001425,684,40000
query_dense_1_2.graph,Importance,1620.0,881.7204039011866,-0.45572814574000825,0.45572814574000825,0.002425,663,40000
query_dense_1_3.graph,Uniform,357282.0,474318.5634782609,0.32757475461473257,0.32757475461473257,0.08521739130434783,484,575
query_dense_1_3.graph,Importance,357282.0,251467.08966325546,-0.2961663625280438,0.2961663625280438,0.12920353982300886,484,565
query_path_4_0.graph,Uniform,375950.0,300595.94910179643,-0.20043636360740408,0.20043636360740408,0.08233532934131736,548,668
query_path_4_0.graph,Importance,375950.0,289175.4060310862,-0.23081418797423534,0.23081418797423534,0.12691131498470948,548,654
query_path_4_2.graph,Uniform,283607.0,286870.779342723,0.011508105733367021,0.011508105733367021,0.09702660406885759,518,639
query_path_4_2.graph,Importance,283607.0,229879.3248368301,-0.18944410809031473,0.18944410809031473,0.13270142180094788,518,633
query_path_4_4.graph,Uniform,375950.0,365781.29538461537,-0.027048023980275653,0.027048023980275653,0.08615384615384615,556,650
query_path_4_4.graph,Importance,375950.0,307930.01195252326,-0.18092828314264328,0.18092828314264328,0.12923076923076923,556,650
query_path_6_0.graph,Uniform,3999965.0,3874614.3223374174,-0.031337943622652346,0.031337943622652346,0.03204524033930255,434,1061
query_path_6_0.graph,Importance,3999965.0,609910.6073524241,-0.8475210139707663,0.8475210139707663,0.07367475292003593,434,1113
query_path_6_1.graph,Uniform,81954.0,154999.3972155043,0.8912975231898905,0.8912975231898905,0.002157003725733708,410,15299
query_path_6_1.graph,Importance,81954.0,38096.485164526,-0.5351479468418138,0.5351479468418138,0.003381066030230708,410,15084
query_path_6_2.graph,Uniform,608451.0,3536358.557849256,4.812067952635883,4.812067952635883,0.005760921747479597,494,8332
query_path_6_2.graph,Importance,608451.0,1286749.7355053565,1.11479599097603,1.11479599097603,0.013087515648116535,494,8787
query_path_6_3.graph,Uniform,71286.0,5869.703693116853,-0.9176597972516783,0.9176597972516783,0.0014578092842442258,612,34984
query_path_6_3.graph,Importance,71286.0,11977.313988840162,-0.8319822407086923,0.8319822407086923,0.003088398111998135,612,34322
query_path_8_2.graph,Uniform,216478.0,127539.03645,-0.4108452755014366,0.4108452755014366,0.0006,301,40000
query_path_8_2.graph,Importance,216478.0,258601.03045568228,0.19458342397695047,0.19458342397695047,0.001875,254,40000
query_path_8_3.graph,Uniform,396355.0,154429.66363701425,-0.610375386618021,0.610375386618021,0.0017175982251485006,276,13973
query_path_8_3.graph,Importance,396355.0,221830.3402478578,-0.44032410276681816,0.44032410276681816,0.003155479059093517,276,13944
query_tree_4_0.graph,Uniform,375950.0,239012.3883792049,-0.36424421231758236,0.36424421231758236,0.07186544342507645,548,654
query_tree_4_0.graph,Importance,375950.0,430903.6372412696,0.14617272839811032,0.14617272839811032,0.11441307578008915,548,673
query_tree_4_1.graph,Uniform,2636.0,2395.849728213221,-0.0911040484775337,0.0911040484775337,0.011748202700333159,1146,11406
query_tree_4_1.graph,Importance,2636.0,2467.9735565619017,-0.06374296033311773,0.06374296033311773,0.01737612238111074,1146,12028
query_tree_4_2.graph,Uniform,375950.0,244799.67927382753,-0.3488504341698962,0.3488504341698962,0.09833585476550681,562,661
query_tree_4_2.graph,Importance,375950.0,235736.1643412845,-0.37295873296639315,0.37295873296639315,0.12314540059347182,562,674
query_tree_4_3.graph,Uniform,283607.0,423209.7856,0.4922402676943799,0.4922402676943799,0.1024,518,625
query_tree_4_3.graph,Importance,283607.0,202819.4982624375,-0.2848572205113502,0.2848572205113502,0.11885895404120443,518,631
