query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,n_post,trials
query_cycle_4_0.graph,Uniform,375950.0,412676.21589205397,0.09768909666725353,0.09768909666725353,0.08095952023988005,548,667
query_cycle_4_0.graph,Importance,375950.0,230699.90531827192,-0.3863548202732493,0.3863548202732493,0.13117283950617284,548,648
query_cycle_4_1.graph,Uniform,375950.0,786912.500777605,1.0931307375385158,1.0931307375385158,0.1026438569206843,550,643
query_cycle_4_1.graph,Importance,375950.0,377008.1248765776,0.0028145361792195284,0.0028145361792195284,0.1156773211567732,550,657
query_cycle_4_10.graph,Uniform,93742.0,16872.145665485015,-0.820015087522295,0.820015087522295,0.009023525620367387,440,3103
query_cycle_4_10.graph,Importance,93742.0,73532.48926115286,-0.2155865112633306,0.2155865112633306,0.05220142367519114,440,3793
query_cycle_4_11.graph,Uniform,11634.0,8508.1836,-0.26867942238267145,0.26867942238267145,0.003525,1176,40000
query_cycle_4_11.graph,Importance,11634.0,17257.441025052016,0.48336264612790236,0.48336264612790236,0.007375,1077,40000
query_cycle_4_12.graph,Uniform,12558.0,6670.1334160719825,-0.4688538448740259,0.4688538448740259,0.010549177784672665,348,3223
query_cycle_4_12.graph,Importance,12558.0,11453.486580697227,-0.08795297175527739,0.08795297175527739,0.01565377532228361,348,3258
query_cycle_4_13.graph,Uniform,283607.0,260557.1008264463,-0.0812740841148269,0.0812740841148269,0.07933884297520662,504,605
query_cycle_4_13.graph,Importance,283607.0,270642.21200228727,-0.04571392101645139,0.04571392101645139,0.15097402597402598,504,616
query_cycle_4_14.graph,Uniform,283607.0,386101.2064,0.361395192643341,0.361395192643341,0.0848,522,625
query_cycle_4_14.graph,Importance,283607.0,249789.06074452805,-0.11924225867299451,0.11924225867299451,0.15311004784688995,522,627
query_cycle_4_2.graph,Uniform,296183.0,459993.02857142856,0.5530703266947413,0.5530703266947413,0.0423861852433281,1206,3185
query_cycle_4_2.graph,Importance,296183.0,195269.03680256184,-0.34071490665378557,0.34071490665378557,0.09448818897637795,1206,3302
query_cycle_4_3.graph,Uniform,2440.0,1968.9685534591194,-0.1930456748118363,0.1930456748118363,0.0015723270440251573,392,15900
query_cycle_4_3.graph,Importance,2440.0,2520.2216619479054,0.03287773030651862,0.03287773030651862,0.00835,383,40000
query_cycle_4_4.graph,Uniform,2636.0,1826.0393455026956,-0.3072688370627103,0.3072688370627103,0.010309278350515464,1148,10573
query_cycle_4_4.graph,Importance,2636.0,2651.951832387991,0.006051529737477652,0.006051529737477652,0.02195757350204689,1148,10748
query_cycle_4_5.graph,Uniform,296183.0,1826742.5058236273,5.167614298672197,5.167614298672197,0.03161397670549085,1208,4207
query_cycle_4_5.graph,Importance,296183.0,567399.2087867452,0.91570484729625,0.91570484729625,0.06504986400725295,1208,4412
query_cycle_4_6.graph,Uniform,2636.0,2635.197905381004,-0.00030428475682695456,0.00030428475682695456,0.010653665583243047,1136,11076
query_cycle_4_6.graph,Importance,2636.0,2090.6620424078205,-0.206880864033452,0.206880864033452,0.019052956010086858,1136,10707
query_cycle_4_7.graph,Uniform,70146.0,125769.59044715448,0.7929688142895458,0.7929688142895458,0.01600609756097561,556,3936
query_cycle_4_7.graph,Importance,70146.0,77541.2811308059,0.1054269827332407,0.1054269827332407,0.02660526988999744,556,3909
query_cycle_4_8.graph,Uniform,93742.0,593109.6454956152,5.327042792938226,5.327042792938226,0.008769598724422003,436,3763
query_cycle_4_8.graph,Importance,93742.0,108386.89091752612,0.15622550102969984,0.15622550102969984,0.041021347844286314,436,4778
query_cycle_4_9.graph,Uniform,900.0,635.6884754363035,-0.2936794717374405,0.2936794717374405,0.002959944645191051,660,26014
query_cycle_4_9.graph,Importance,900.0,830.2694351763927,-0.0774784053595637,0.0774784053595637,0.0038469609008882984,660,28594
query_cycle_6_104.graph,Uniform,81954.0,52359.7196538937,-0.3611084309015582,0.3611084309015582,0.00865265760197775,398,4045
query_cycle_6_104.graph,Importance,81954.0,55741.45526889233,-0.31984460466978637,0.31984460466978637,0.018312985571587125,398,3604
query_cycle_6_106.graph,Uniform,81954.0,93688.39457202505,0.14318269482911206,0.14318269482911206,0.00861169102296451,400,3832
query_cycle_6_106.graph,Importance,81954.0,162002.71764696005,0.9767518076843114,0.9767518076843114,0.017415862555895504,400,4249
query_cycle_6_109.graph,Uniform,81954.0,136265.6267095736,0.6627086744951267,0.6627086744951267,0.009922231161169213,398,3729
query_cycle_6_109.graph,Importance,81954.0,60504.63244175793,-0.2617244741957936,0.2617244741957936,0.016770963704630788,398,3995
query_cycle_6_112.graph,Uniform,3999965.0,20508423.772988506,4.127150805816678,4.127150805816678,0.05459770114942529,446,696
query_cycle_6_112.graph,Importance,3999965.0,2102331.5458143624,-0.47441251465591266,0.47441251465591266,0.09400544959128065,446,734
query_cycle_6_113.graph,Uniform,561906.0,32558.8921,-0.9420563366470548,0.9420563366470548,0.000375,175,40000
query_cycle_6_113.graph,Importance,561906.0,159004.02927575284,-0.7170273510591578,0.7170273510591578,0.000975,183,40000
query_cycle_6_116.graph,Uniform,380975.0,12114.947394695788,-0.9682001512049458,0.9682001512049458,0.001060842433697348,228,16025
query_cycle_6_116.graph,Importance,380975.0,59243.48248144105,-0.8444950915901541,0.8444950915901541,0.0022738756947953513,228,15832
query_cycle_6_118.graph,Uniform,380975.0,17264.369873228934,-0.9546837197369147,0.9546837197369147,0.0014914243102162564,228,14751
query_cycle_6_118.graph,Importance,380975.0,245774.31480904238,-0.3548807275830635,0.3548807275830635,0.003726193762075628,228,14492
query_cycle_6_119.graph,Uniform,702727.0,671167.1884528057,-0.04491048664302675,0.04491048664302675,0.014271813168991242,700,6166
query_cycle_6_119.graph,Importance,702727.0,826165.3359937854,0.17565617372576464,0.17565617372576464,0.019029068025172312,700,6674
query_cycle_6_120.graph,Uniform,236262.0,248121.6831206357,0.050197167215361285,0.050197167215361285,0.0018919197826012177,518,29071
query_cycle_6_120.graph,Importance,236262.0,226312.04608703643,-0.042114067911740216,0.042114067911740216,0.004062026499887166,518,31019
query_cycle_6_121.graph,Uniform,71286.0,3529.9772853672102,-0.9504814790370171,0.9504814790370171,0.0012879430963322893,608,34163
query_cycle_6_121.graph,Importance,71286.0,25257.485489574592,-0.6456879963867436,0.6456879963867436,0.003391301988659486,608,36859
query_cycle_6_122.graph,Uniform,1643774.0,271344.4671044161,-0.83492592831836,0.83492592831836,0.003862495171881035,370,7767
query_cycle_6_122.graph,Importance,1643774.0,216640.08673204508,-0.8682056738140127,0.8682056738140127,0.009007912355447352,370,8215
query_cycle_6_123.graph,Uniform,380975.0,68158.88970738694,-0.8210935370893445,0.8210935370893445,0.0008696541845713117,228,19548
query_cycle_6_123.graph,Importance,380975.0,55489.532837965024,-0.8543486243507711,0.8543486243507711,0.0015872176075339929,228,18901
query_cycle_6_124.graph,Uniform,1657561.0,3549639.3294314384,1.1414833779459328,1.1414833779459328,0.005255613951266125,492,8372
query_cycle_6_124.graph,Importance,1657561.0,593776.7035520058,-0.6417768615743217,0.6417768615743217,0.012817412333736396,492,8270
query_cycle_6_125.graph,Uniform,3999965.0,1954712.294117647,-0.5113176505000301,0.5113176505000301,0.06302521008403361,436,714
query_cycle_6_125.graph,Importance,3999965.0,2898401.445979598,-0.27539329819645975,0.27539329819645975,0.08380681818181818,436,704
query_cycle_6_126.graph,Uniform,380975.0,129528.47116849206,-0.6600079502106646,0.6600079502106646,0.0012330456226880395,228,13787
query_cycle_6_126.graph,Importance,380975.0,49495.05012944944,-0.8700832072197665,0.8700832072197665,0.0036191088949654175,228,12434
query_cycle_6_127.graph,Uniform,483.0,227.381,-0.5292318840579711,0.5292318840579711,0.00025,89,40000
query_cycle_6_127.graph,Importance,483.0,316.71494424065304,-0.3442754777626231,0.3442754777626231,0.000425,89,40000
query_cycle_6_128.graph,Uniform,3999965.0,4004731.0443786983,0.0011915215204878888,0.0011915215204878888,0.05917159763313609,436,676
query_cycle_6_128.graph,Importance,3999965.0,876983.5251142124,-0.7807522003031996,0.7807522003031996,0.07602339181286549,436,684
query_cycle_6_129.graph,Uniform,1509704.0,5321500.749820788,2.524863648649529,2.524863648649529,0.005017921146953405,382,6975
query_cycle_6_129.graph,Importance,1509704.0,465828.6156059624,-0.6914437428754494,0.6914437428754494,0.0125,382,7360
query_cycle_6_130.graph,Uniform,31196.0,27860.301610099024,-0.1069271185376643,0.1069271185376643,0.002796885630055182,338,13229
query_cycle_6_130.graph,Importance,31196.0,28104.56309055516,-0.09909722110029623,0.09909722110029623,0.0034741413343861035,338,12665
query_cycle_6_132.graph,Uniform,48378.0,43799.26321243523,-0.0946450202068041,0.0946450202068041,0.0027387120651369357,358,13510
query_cycle_6_132.graph,Importance,48378.0,3471.0658034870917,-0.928251151277707,0.928251151277707,0.0030635278942276684,358,12404
query_cycle_6_133.graph,Uniform,1643774.0,313962.37884378847,-0.8089990601848013,0.8089990601848013,0.008610086100861008,364,5691
query_cycle_6_133.graph,Importance,1643774.0,613446.4722546188,-0.6268060741594533,0.6268060741594533,0.01271489971346705,364,5584
query_cycle_6_135.graph,Uniform,1657561.0,3522505.066447908,1.1251133843327081,1.1251133843327081,0.004570491034806047,498,8533
query_cycle_6_135.graph,Importance,1657561.0,1204171.640702805,-0.2735280084999556,0.2735280084999556,0.014516700106219757,498,8473
query_cycle_6_136.graph,Uniform,482985.0,91511.28665840562,-0.8105297542192705,0.8105297542192705,0.0011506461320587714,456,33894
query_cycle_6_136.graph,Importance,482985.0,408075.04550059844,-0.15509789020239045,0.15509789020239045,0.0025565014006364056,456,36769
query_cycle_6_138.graph,Uniform,81954.0,2967.267698340452,-0.9637934975920583,0.9637934975920583,0.0014704852601358448,390,14281
query_cycle_6_138.graph,Importance,81954.0,91665.80117319652,0.11850307700901144,0.11850307700901144,0.00382262996941896,390,15696
query_cycle_6_140.graph,Uniform,236262.0,288796.51404631225,0.2223570190987643,0.2223570190987643,0.0022084375304472085,514,30791
query_cycle_6_140.graph,Importance,236262.0,315332.0128066361,0.33467088573971315,0.33467088573971315,0.003875382239849829,514,33029
