query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,n_post,trials
query_cycle_4_0.graph,Uniform,491800.0,622708.5031185031,0.2661823975569401,0.2661823975569401,0.158004158004158,416,481
query_cycle_4_0.graph,Importance,491800.0,511726.31789487816,0.04051711650036226,0.04051711650036226,0.18487394957983194,416,476
query_cycle_4_1.graph,Uniform,491800.0,783055.4748358863,0.5922234136557265,0.5922234136557265,0.1050328227571116,410,457
query_cycle_4_1.graph,Importance,491800.0,509549.8044866797,0.03609150973298034,0.03609150973298034,0.19381443298969073,410,485
query_cycle_4_10.graph,Uniform,130348.0,56634.587520706795,-0.5655124166024275,0.5655124166024275,0.01932633903920486,309,1811
query_cycle_4_10.graph,Importance,130348.0,94644.02699615616,-0.27391270294783077,0.27391270294783077,0.08038461538461539,309,2600
query_cycle_4_11.graph,Uniform,18124.0,21232.998300764655,0.1715404050300516,0.1715404050300516,0.006294894570170696,821,25894
query_cycle_4_11.graph,Importance,18124.0,17230.19344256688,-0.04931618613071725,0.04931618613071725,0.010547636335842856,821,26167
query_cycle_4_12.graph,Uniform,19762.0,15850.36679245283,-0.1979371120102808,0.1979371120102808,0.01169811320754717,266,2650
query_cycle_4_12.graph,Importance,19762.0,10046.649305084708,-0.4916177864039719,0.4916177864039719,0.030983385720700495,266,2227
query_cycle_4_13.graph,Uniform,370871.0,459185.05240174674,0.2381260664806543,0.2381260664806543,0.13973799126637554,393,458
query_cycle_4_13.graph,Importance,370871.0,394988.7144313135,0.0650299280108542,0.0650299280108542,0.1895424836601307,393,459
query_cycle_4_14.graph,Uniform,370871.0,321769.1278538813,-0.13239609499291863,0.13239609499291863,0.11643835616438356,382,438
query_cycle_4_14.graph,Importance,370871.0,300525.8829599106,-0.18967543172717574,0.18967543172717574,0.21603563474387527,382,449
query_cycle_4_2.graph,Uniform,443091.0,297681.99336492893,-0.32816962347479656,0.32816962347479656,0.06208530805687204,819,2110
query_cycle_4_2.graph,Importance,443091.0,193357.124057155,-0.56361757729867,0.56361757729867,0.12827586206896552,819,2175
query_cycle_4_3.graph,Uniform,5560.0,3358.3648171356954,-0.3959775508748749,0.3959775508748749,0.002278682921271505,245,8777
query_cycle_4_3.graph,Importance,5560.0,6477.3965030479485,0.1649993710517893,0.1649993710517893,0.013352794896745594,245,18498
query_cycle_4_4.graph,Uniform,4396.0,3587.8798356727148,-0.1838307926131222,0.1838307926131222,0.021739130434782608,670,5842
query_cycle_4_4.graph,Importance,4396.0,4598.819226786941,0.04613722174407207,0.04613722174407207,0.03272792663190074,670,5561
query_cycle_4_5.graph,Uniform,443091.0,1289582.9076421587,1.910424512441369,1.910424512441369,0.042013763129300975,817,2761
query_cycle_4_5.graph,Importance,443091.0,345331.4726171788,-0.22063081259339773,0.22063081259339773,0.10798452339078438,817,2843
query_cycle_4_6.graph,Uniform,4396.0,3797.7457212713934,-0.1360906002567349,0.1360906002567349,0.01781348236115962,672,5726
query_cycle_4_6.graph,Importance,4396.0,3564.125345567021,-0.18923445278275222,0.18923445278275222,0.027441361336808218,672,6523
query_cycle_4_7.graph,Uniform,95992.0,65909.35049205148,-0.3133870479617939,0.3133870479617939,0.021196063588190765,391,2642
query_cycle_4_7.graph,Importance,95992.0,91865.63404283248,-0.042986560933906195,0.042986560933906195,0.03765690376569038,391,2629
query_cycle_4_8.graph,Uniform,130348.0,18110.665181885674,-0.8610591249433388,0.8610591249433388,0.011878247958426132,302,2694
query_cycle_4_8.graph,Importance,130348.0,112524.22414494972,-0.13673992585271946,0.13673992585271946,0.062100456621004566,302,3285
query_cycle_4_9.graph,Uniform,1502.0,973.4312905078349,-0.35190992642620844,0.35190992642620844,0.004020018049060628,339,12189
query_cycle_4_9.graph,Importance,1502.0,1035.9494438686995,-0.3102866552139151,0.3102866552139151,0.006494027098532831,339,12473
query_cycle_6_104.graph,Uniform,111915.0,98958.46533490012,-0.11577120730107567,0.11577120730107567,0.014884449667058363,283,2553
query_cycle_6_104.graph,Importance,111915.0,56994.670889606154,-0.49073251226729075,0.49073251226729075,0.022934109938114306,283,2747
query_cycle_6_106.graph,Uniform,111915.0,95964.60427807487,-0.14252241184760872,0.14252241184760872,0.01757066462948816,275,2618
query_cycle_6_106.graph,Importance,111915.0,91853.34780852283,-0.17925793853797234,0.17925793853797234,0.022385022385022386,275,2457
query_cycle_6_109.graph,Uniform,111915.0,134417.54066615028,0.20106813801680096,0.20106813801680096,0.017815646785437646,280,2582
query_cycle_6_109.graph,Importance,111915.0,134585.27410620838,0.20256689546717044,0.20256689546717044,0.03560250391236307,280,2556
query_cycle_6_112.graph,Uniform,5454872.0,5576636.885964912,0.02232222606963323,0.02232222606963323,0.09429824561403509,310,456
query_cycle_6_112.graph,Importance,5454872.0,5964240.9942137,0.0933787253328218,0.0933787253328218,0.1515748031496063,310,508
query_cycle_6_113.graph,Uniform,846918.0,42005.5391,-0.9504018817642321,0.9504018817642321,0.00065,178,40000
query_cycle_6_113.graph,Importance,846918.0,309461.9330131025,-0.6346022483722126,0.6346022483722126,0.001525,182,40000
query_cycle_6_116.graph,Uniform,626370.0,127600.77147669849,-0.7962853082416168,0.7962853082416168,0.0014972861688190156,154,10686
query_cycle_6_116.graph,Importance,626370.0,36372.21205847948,-0.9419317463185027,0.9419317463185027,0.004477611940298508,154,11390
query_cycle_6_118.graph,Uniform,626370.0,638296.798706548,0.0190411397521402,0.0190411397521402,0.00219424875851715,157,8659
query_cycle_6_118.graph,Importance,626370.0,162309.48113742468,-0.7408728369215883,0.7408728369215883,0.0030837004405286344,157,11350
query_cycle_6_119.graph,Uniform,976115.0,1974933.1076993584,1.023258640323485,1.023258640323485,0.01764436296975252,477,4364
query_cycle_6_119.graph,Importance,976115.0,522802.93365855375,-0.46440436458967055,0.46440436458967055,0.026288117770767613,477,4755
query_cycle_6_120.graph,Uniform,336746.0,491795.52459016396,0.46043464388638305,0.46043464388638305,0.002545565624681804,365,19642
query_cycle_6_120.graph,Importance,336746.0,196768.23744483694,-0.415677580595354,0.415677580595354,0.006444737643357353,365,19706
query_cycle_6_121.graph,Uniform,116775.0,11235.615754923414,-0.9037840654684357,0.9037840654684357,0.0027230731825917823,371,20565
query_cycle_6_121.graph,Importance,116775.0,525151.0392480375,3.4971187261660246,3.4971187261660246,0.004919221209610605,371,19312
query_cycle_6_122.graph,Uniform,2573014.0,11193735.615864707,3.3504371199941807,3.3504371199941807,0.007046506945842561,247,4967
query_cycle_6_122.graph,Importance,2573014.0,750426.1298264544,-0.7083474361871119,0.7083474361871119,0.01434834595456357,247,5018
query_cycle_6_123.graph,Uniform,626370.0,151624.6215693854,-0.7579312202541861,0.7579312202541861,0.002512562814070352,154,10348
query_cycle_6_123.graph,Importance,626370.0,835536.346490353,0.3339341706824289,0.3339341706824289,0.0033189746486830024,154,14161
query_cycle_6_124.graph,Uniform,2399067.0,1161552.2580428955,-0.5158316720446342,0.5158316720446342,0.00871313672922252,347,5968
query_cycle_6_124.graph,Importance,2399067.0,1336982.905876077,-0.4427071416196059,0.4427071416196059,0.01932759460776352,347,6157
query_cycle_6_125.graph,Uniform,5454872.0,2240636.379032258,-0.5892412546009773,0.5892412546009773,0.08266129032258064,315,496
query_cycle_6_125.graph,Importance,5454872.0,4089396.6805430246,-0.2503221559473761,0.2503221559473761,0.17073170731707318,315,492
query_cycle_6_126.graph,Uniform,626370.0,80809.02687569988,-0.8709883505345085,0.8709883505345085,0.002053004852556924,155,10716
query_cycle_6_126.graph,Importance,626370.0,44602.03952710342,-0.9287928228888621,0.9287928228888621,0.0045329959940965635,155,9486
query_cycle_6_127.graph,Uniform,1163.0,366.91025,-0.6845139724849527,0.6845139724849527,0.00035,100,40000
query_cycle_6_127.graph,Importance,1163.0,6376.8355972538675,4.483091657140041,4.483091657140041,0.000725,81,40000
query_cycle_6_128.graph,Uniform,5454872.0,5097146.454545454,-0.06557909066510559,0.06557909066510559,0.09740259740259741,306,462
query_cycle_6_128.graph,Importance,5454872.0,2320338.4775106567,-0.5746300779357139,0.5746300779357139,0.16594827586206898,306,464
query_cycle_6_129.graph,Uniform,2286698.0,481086.68670886074,-0.7896151189580518,0.7896151189580518,0.008815551537070525,251,4424
query_cycle_6_129.graph,Importance,2286698.0,1193832.6932925605,-0.47792288562260493,0.47792288562260493,0.017819460726846426,251,4265
query_cycle_6_130.graph,Uniform,42698.0,32279.603584325265,-0.2440019770404875,0.2440019770404875,0.0038785609201551423,218,7477
query_cycle_6_130.graph,Importance,42698.0,74692.43135275732,0.74931920354015,0.74931920354015,0.00726920281075842,218,8254
query_cycle_6_132.graph,Uniform,67470.0,9698.044280442804,-0.8562613860909619,0.8562613860909619,0.003057459146020032,252,9485
query_cycle_6_132.graph,Importance,67470.0,29645.094858817556,-0.5606181286672958,0.5606181286672958,0.005871251834766198,252,9538
query_cycle_6_133.graph,Uniform,2573014.0,843993.968836391,-0.6719823643258875,0.6719823643258875,0.008544860517718019,242,3979
query_cycle_6_133.graph,Importance,2573014.0,917321.3744159361,-0.6434837220411798,0.6434837220411798,0.02110167169087421,242,3649
query_cycle_6_135.graph,Uniform,2399067.0,461031.81118178775,-0.8078287054168192,0.8078287054168192,0.008034817542684968,341,5974
query_cycle_6_135.graph,Importance,2399067.0,893725.8934061867,-0.6274693898060426,0.6274693898060426,0.02182759896411395,341,5406
query_cycle_6_136.graph,Uniform,847026.0,167301.75309600864,-0.8024833321574442,0.8024833321574442,0.001941747572815534,307,23175
query_cycle_6_136.graph,Importance,847026.0,447304.5486386205,-0.4719116666564893,0.4719116666564893,0.0032356721776517,307,22561
query_cycle_6_138.graph,Uniform,111915.0,132827.84516129032,0.18686364795863214,0.18686364795863214,0.003543843707405725,284,11005
query_cycle_6_138.graph,Importance,111915.0,528033.9418832988,3.7181695204690954,3.7181695204690954,0.00542897096323106,284,12157
query_cycle_6_140.graph,Uniform,336746.0,388068.227840772,0.15240634733826686,0.15240634733826686,0.002509047044632087,358,20725
query_cycle_6_140.graph,Importance,336746.0,430787.01898954937,0.27926395262170706,0.27926395262170706,0.005576793343827299,358,22235
query_cycle_6_142.graph,Uniform,976115.0,196876.73657289002,-0.7983057973979601,0.7983057973979601,0.012148337595907928,474,4692
query_cycle_6_142.graph,Importance,976115.0,838028.5551062408,-0.14146534465074218,0.14146534465074218,0.029843786430403356,474,4289
query_cycle_6_143.graph,Uniform,557230.0,401139.08656457043,-0.2801193644194131,0.2801193644194131,0.003041164331486912,153,9207
query_cycle_6_143.graph,Importance,557230.0,186814.7550415974,-0.6647439028020792,0.6647439028020792,0.004382514889313406,153,8899
query_cycle_6_145.graph,Uniform,2573014.0,457038.38010657195,-0.8223723694831928,0.8223723694831928,0.010953226761397277,241,3378
query_cycle_6_145.graph,Importance,2573014.0,2396019.737624428,-0.06878868998597451,0.06878868998597451,0.01954120645709431,241,3531
query_cycle_6_147.graph,Uniform,2399067.0,4154562.8775113416,0.7317410799745657,0.7317410799745657,0.010153380859796932,343,4629
query_cycle_6_147.graph,Importance,2399067.0,8974875.840199733,2.7409859083550954,2.7409859083550954,0.025884383088869714,343,4636
query_cycle_6_153.graph,Uniform,111915.0,59615.77743069114,-0.46731200079800617,0.46731200079800617,0.01483795392424834,280,2561
query_cycle_6_153.graph,Importance,111915.0,174418.99961425754,0.5584952831546937,0.5584952831546937,0.029754724567752314,280,2487
query_cycle_6_154.graph,Uniform,557230.0,194406.34547346513,-0.6511201021598529,0.6511201021598529,0.0026014568158168575,153,7688
query_cycle_6_154.graph,Importance,557230.0,974096.6162567444,0.7481051204291663,0.7481051204291663,0.00528060911212084,153,8143
query_cycle_6_155.graph,Uniform,210455.0,1262337.2828278926,4.9981339613118845,4.9981339613118845,0.0009658103148541626,168,25885
query_cycle_6_155.graph,Importance,210455.0,83433.45757420853,-0.6035567813822027,0.6035567813822027,0.00140131851332845,168,31399
query_cycle_6_156.graph,Uniform,2286698.0,1994184.8806801524,-0.12791943637500341,0.12791943637500341,0.008795074758135445,252,3411
query_cycle_6_156.graph,Importance,2286698.0,579953.6485577896,-0.7463794307084759,0.7463794307084759,0.0183206106870229,252,3930
