query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,n_post
query_cycle_4_0.graph,Uniform,443091.0,1572070.892,2.5479639442010784,2.5479639442010784,0.065,810
query_cycle_4_0.graph,Importance (Post),443091.0,627676.8932913463,0.41658687107466924,0.41658687107466924,0.122,742
query_cycle_4_1.graph,Uniform,443091.0,340492.712,-0.23155127953400093,0.23155127953400093,0.0635,782
query_cycle_4_1.graph,Importance (Post),443091.0,1053173.9633771314,1.3768796102316034,1.3768796102316034,0.134,762
query_cycle_4_2.graph,Uniform,19762.0,5002.382,-0.7468686367776541,0.7468686367776541,0.015,210
query_cycle_4_2.graph,Importance (Post),19762.0,17970.728498599772,-0.09064221745775872,0.09064221745775872,0.0255,205
query_cycle_4_3.graph,Uniform,130348.0,37736.494,-0.7104942615153281,0.7104942615153281,0.012,246
query_cycle_4_3.graph,Importance (Post),130348.0,168462.24819165491,0.29240378211905754,0.29240378211905754,0.078,210
query_cycle_4_4.graph,Uniform,443091.0,110217.772,-0.7512525147204525,0.7512525147204525,0.057,789
query_cycle_4_4.graph,Importance (Post),443091.0,216594.77419569754,-0.5111731581194437,0.5111731581194437,0.121,772
query_cycle_4_5.graph,Uniform,443091.0,211050.91,-0.5236849541064927,0.5236849541064927,0.0685,793
query_cycle_4_5.graph,Importance (Post),443091.0,113078.37301206852,-0.7447965022713878,0.7447965022713878,0.125,769
query_cycle_4_6.graph,Uniform,443091.0,161378.497,-0.6357892690214877,0.6357892690214877,0.054,627
query_cycle_4_6.graph,Importance (Post),443091.0,104142.25989347116,-0.7649641723856473,0.7649641723856473,0.1045,633
query_cycle_4_7.graph,Uniform,19762.0,2397.836,-0.878664305232264,0.878664305232264,0.0095,199
query_cycle_4_7.graph,Importance (Post),19762.0,6578.59589101634,-0.6671088001712205,0.6671088001712205,0.021,207
query_cycle_6_0.graph,Uniform,5454872.0,14243827.983,1.6112121389832794,1.6112121389832794,0.093,1136
query_cycle_6_0.graph,Importance (Post),5454872.0,5885143.541702408,0.0788783937922665,0.0788783937922665,0.1495,1131
query_cycle_6_1.graph,Uniform,2399067.0,508485.929,-0.7880484667581189,0.7880484667581189,0.0055,105
