query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,Cost,Trials
query_cycle_4_0.graph,WJ_uniform_multi,375950.0,588873.2923649907,0.5663606659528945,0.5663606659528945,0.1973929236499069,1000,537
query_cycle_4_0.graph,WJ_importance_multi,375950.0,761668.2953546339,1.0259829641032956,1.0259829641032956,0.27137546468401486,1000,538
query_cycle_4_1.graph,WJ_uniform_multi,375950.0,1023351.7836812144,1.7220422494512952,1.7220422494512952,0.1840607210626186,1001,527
query_cycle_4_1.graph,WJ_importance_multi,375950.0,473514.4492499482,0.2595144281153031,0.2595144281153031,0.2518248175182482,1001,548
query_cycle_4_10.graph,WJ_uniform_multi,93742.0,150950.0524379025,0.6102713024887723,0.6102713024887723,0.027598896044158234,1001,2174
query_cycle_4_10.graph,WJ_importance_multi,93742.0,53756.245855793706,-0.42655110989957856,0.42655110989957856,0.03775563712637651,1000,1907
query_cycle_4_11.graph,WJ_uniform_multi,11634.0,33968.94273255814,1.919799100271458,1.919799100271458,0.008648255813953488,1000,13760
query_cycle_4_11.graph,WJ_importance_multi,11634.0,10204.825519686252,-0.1228446347183899,0.1228446347183899,0.00892204183121252,1001,13674
query_cycle_4_12.graph,WJ_uniform_multi,12558.0,8729.653719008264,-0.3048531837069387,0.3048531837069387,0.024380165289256198,1001,4840
query_cycle_4_12.graph,WJ_importance_multi,12558.0,19160.676857262322,0.5257745546474217,0.5257745546474217,0.028012358393408855,1001,4855
query_cycle_4_13.graph,WJ_uniform_multi,283607.0,944737.0294659301,2.331148488809973,2.331148488809973,0.356353591160221,1000,1086
query_cycle_4_13.graph,WJ_importance_multi,283607.0,1133467.1677078577,2.996612099517493,2.996612099517493,0.4116022099447514,1000,1086
query_cycle_4_14.graph,WJ_uniform_multi,283607.0,1263614.0731261426,3.4555108764104645,3.4555108764104645,0.37294332723948814,1000,1094
query_cycle_4_14.graph,WJ_importance_multi,283607.0,859843.8691964553,2.0318146914443416,2.0318146914443416,0.36663611365719523,1000,1091
query_cycle_4_2.graph,WJ_uniform_multi,296183.0,119055.5564581641,-0.5980337951261075,0.5980337951261075,0.07229894394800974,1001,1231
query_cycle_4_2.graph,WJ_importance_multi,296183.0,2779489.622396488,8.384365822469514,8.384365822469514,0.10271646859083192,1001,1178
query_cycle_4_3.graph,WJ_uniform_multi,2440.0,4981.604412209127,1.0416411525447242,1.0416411525447242,0.0029465095194922937,1000,13236
query_cycle_4_3.graph,WJ_importance_multi,2440.0,4893.727804410806,1.005626149348691,1.005626149348691,0.005162827640984908,1000,10072
